"protein_accessions","glycan_composition","group1_name","group2_name","group1_mean_clr","group2_mean_clr","clr_difference","group1_sd","group2_sd","cohens_d","effect_size_interpretation","t_statistic","p_value","df","n_group1","n_group2","ci_lower","ci_upper","p_value_adj","significant","significance_level"
"P02675","HexNAc.4.Hex.5.NeuAc.2....N...rare1","Healthy","MECFS",2.71300536722538,2.25942433346392,-0.453581033761461,0.0932970948657844,0.148051991153857,-3.66556369027357,"large",-5.79576508483824,0.000762670239118663,6.74412505686071,5,5,-0.640071218935404,-0.267090848587519,0.191840321124085,FALSE,"NS"
"P0DOX5","HexNAc.5.Hex.5.Fuc.1....N...rare1","Healthy","MECFS",0.482710420626226,-0.445455969691586,-0.928166390317812,0.260991301800825,0.295683968717864,-3.32822097832565,"large",-5.26237942393147,0.00080100342849305,7.87854634321034,5,5,-1.33598806924258,-0.520344711393049,0.191840321124085,FALSE,"NS"
"P01859","HexNAc.4.Hex.5.NeuAc.1.Fuc.1....N...rare1","Healthy","MECFS",2.56538040988105,1.61629795952795,-0.949082450353095,0.20435165783458,0.522144756936139,-2.39376382722743,"large",-3.78487293728022,0.0119342479867905,5.19727281165173,5,5,-1.58638322833782,-0.311781672368366,0.46208879003619,FALSE,"NS"
"P01859","HexNAc.5.Hex.3.Fuc.1....N...rare1","Healthy","MECFS",0.594291638203763,1.7778889646493,1.18359732644553,0.679384107522231,0.308501337834786,2.24333629531038,"large",3.54702612545246,0.0136686225123999,5.58230431485184,5,5,0.352053349115513,2.01514130377555,0.46208879003619,FALSE,"NS"
"P01859","HexNAc.5.Hex.5.Fuc.1....N...rare1","Healthy","MECFS",0.75821540160863,-0.128694845511836,-0.886910247120466,0.435027907334212,0.434425596040186,-2.04015517992623,"large",-3.22576857437876,0.0121337676025322,7.99998464329584,5,5,-1.52093569985437,-0.252884794386564,0.46208879003619,FALSE,"NS"
"P01871","HexNAc.5.Hex.4.NeuAc.1....N...rare1","Healthy","MECFS",-2.17743857999243,-0.528125757935587,1.64931282205684,0.900423723997761,0.502522355081579,2.26199604686481,"large",3.57652978319489,0.0108489381766912,6.27140607561111,5,5,0.532654304854956,2.76597133925873,0.46208879003619,FALSE,"NS"
"P02675","HexNAc.4.Hex.4.NeuAc.1....N...rare1","Healthy","MECFS",-2.18884065651124,-1.07630498198529,1.11253567452594,0.628602442345855,0.271885062958865,2.29727813188822,"large",3.63231565783173,0.0129451614480637,5.44600319114975,5,5,0.34420093076427,1.88087041828762,0.46208879003619,FALSE,"NS"
"P04003","HexNAc.4.Hex.5.NeuAc.1....N...rare1","Healthy","MECFS",-0.442006640039737,0.0231521746503886,0.465158814690125,0.26927897436285,0.114092244425896,2.24937348269388,"large",3.556571756849,0.0143350144299537,5.39130482674703,5,5,0.136164790930563,0.794152838449688,0.46208879003619,FALSE,"NS"
"P04003","HexNAc.4.Hex.5.NeuAc.2....N...rare1","Healthy","MECFS",0.442006640039737,-0.0231521746503885,-0.465158814690125,0.26927897436285,0.114092244425896,-2.24937348269388,"large",-3.556571756849,0.0143350144299537,5.39130482674702,5,5,-0.794152838449688,-0.136164790930562,0.46208879003619,FALSE,"NS"
"P05090","HexNAc.5.Hex.6.NeuAc.2....N...rare1","Healthy","MECFS",0.324497093869884,-0.0774555329036098,-0.401952626773494,0.18937634720836,0.148619202467205,-2.36134338267824,"large",-3.73361171351492,0.00635489684657655,7.57211806346042,5,5,-0.652675270547159,-0.15122998299983,0.46208879003619,FALSE,"NS"
"P0DOX2","HexNAc.5.Hex.5.NeuAc.1.Fuc.1....N...rare1","Healthy","MECFS",4.3120288867055,3.35795999774268,-0.954068888962819,0.393202205799957,0.374836529966354,-2.48371909128904,"large",-3.92710469825851,0.00439416291312354,7.98176482319867,5,5,-1.51452300959304,-0.393614768332593,0.46208879003619,FALSE,"NS"
"P0DOX5","HexNAc.4.Hex.5.NeuAc.1.Fuc.1....N...rare1","Healthy","MECFS",2.21554739630016,1.15445646783202,-1.06109092846814,0.282864731197292,0.525784351281364,-2.51339761672896,"large",-3.97403056725122,0.00700635356954679,6.13646339337228,5,5,-1.71092586774593,-0.411255989190343,0.46208879003619,FALSE,"NS"
"P0DOX5","HexNAc.4.Hex.5.NeuAc.2.Fuc.1....N...rare1","Healthy","MECFS",-2.51031671556519,-3.65149366768212,-1.14117695211693,0.289227313562579,0.558625912528294,-2.56552671649946,"large",-4.05645391107569,0.0066754993907442,6.00073392068422,5,5,-1.82953103831255,-0.452822865921305,0.46208879003619,FALSE,"NS"
"P0DOX5","HexNAc.5.Hex.5.NeuAc.1.Fuc.1....N...rare1","Healthy","MECFS",-2.03969413184083,-2.94693985945545,-0.907245727614617,0.162569694612941,0.455433814905541,-2.65321409635249,"large",-4.19509983226965,0.00851842391418577,5.00305418293696,5,5,-1.46306593018756,-0.351425525041678,0.46208879003619,FALSE,"NS"
"P23142","HexNAc.4.Hex.5.NeuAc.2.Fuc.1....N...rare1","Healthy","MECFS",0.448016840847484,0.672663501618378,0.224646660770894,0.130247190338081,0.0809168580737246,2.07191241697461,"large",3.27598117501215,0.0144704213998807,6.68735287308431,5,5,0.060945741417195,0.388347580124593,0.46208879003619,FALSE,"NS"
"P01859","HexNAc.5.Hex.5.NeuAc.1.Fuc.1....N...rare1","Healthy","MECFS",-1.43532429846714,-2.46551163832848,-1.03018733986135,0.286946986344199,0.618291274859725,-2.13737638402459,"large",-3.37948879528621,0.0163175542786279,5.64669463577798,5,5,-1.78755273180403,-0.27282194791866,0.487162663687452,FALSE,"NS"
"P01871","HexNAc.5.Hex.4....N...rare1","Healthy","MECFS",-1.40581218966317,-0.21573128154232,1.19008090812085,0.727235452565321,0.416679634790561,2.00803087435896,"large",3.17497558745685,0.0176974588941377,6.37079377020722,5,5,0.285687028946035,2.09447478729566,0.487162663687452,FALSE,"NS"
"P02675","HexNAc.3.Hex.4.NeuAc.1....N...rare1","Healthy","MECFS",-1.20659899186488,-1.90815750025465,-0.701558508389765,0.300362987585788,0.443516112464516,-1.85223080418191,"large",-2.92863404677009,0.0219560528312798,7.03146164017022,5,5,-1.26749426798399,-0.13562274879554,0.487162663687452,FALSE,"NS"
"P05155","HexNAc.3.Hex.4.NeuAc.1....N...rare1","Healthy","MECFS",-1.72168799589277,-1.91314459188887,-0.191456595996099,0.102621263057702,0.111273601617007,-1.78873061617406,"large",-2.82823143379322,0.022356278560718,7.9481472175255,5,5,-0.347738558349671,-0.0351746336425262,0.487162663687452,FALSE,"NS"
"P0DOX5","HexNAc.4.Hex.3....N...rare1","Healthy","MECFS",-1.09870597307587,0.40453036799468,1.50323634107055,0.949667395760054,0.623532206972684,1.87126908200178,"large",2.95873620708901,0.0214666508147014,6.9082853123016,5,5,0.298607841489527,2.70786484065158,0.487162663687452,FALSE,"NS"
