"protein_accessions","n_glycans_tested","n_significant","pct_significant","mean_abs_clr_diff","max_abs_clr_diff","min_p_value_adj"
"P02675",41,0,0,0.0774564954263151,1.11253567452594,0.191840321124085
"P0DOX5",41,0,0,0.329354199612949,2.31550015625628,0.191840321124085
"P01859",41,0,0,0.215927761935236,1.18359732644553,0.46208879003619
"P01871",41,0,0,0.365696566111376,1.99258375925815,0.46208879003619
"P04003",41,0,0,0.0226906738873232,0.465158814690125,0.46208879003619
"P05090",41,0,0,0.157280204321854,1.06492574439936,0.46208879003619
"P0DOX2",41,0,0,0.236654346673606,1.82440138265405,0.46208879003619
"P23142",41,0,0,0.0109583736961412,0.224646660770894,0.46208879003619
"P05155",41,0,0,0.0285888432250355,0.527813136611411,0.487162663687452
"P49908",41,0,0,0.0531520504058521,1.08961703331997,0.487162663687452
"O75882",41,0,0,0.0866137377319215,0.85748603087364,0.521438362011004
"P00450",41,0,0,0.0784513950092818,0.759438537803603,0.521438362011004
"P02787",41,0,0,0.0956589263639466,1.17476656199339,0.521438362011004
"P0DOX6",41,0,0,0.0708957089096635,1.15650546991242,0.521438362011004
"P19652",41,0,0,0.0684443995289155,1.06635494837281,0.521438362011004
"Q16610",41,0,0,0.0372131763596261,0.762870115372335,0.521438362011004
"P00738",41,0,0,0.235418544482441,1.9098254854417,0.557449013645814
"P01861",41,0,0,0.197309173766101,1.69919818062487,0.557449013645814
"P27169",41,0,0,0.0522720028870465,1.00770572722173,0.557449013645814
"P01024",41,0,0,0.114579876980537,0.982136968842833,0.586175151314071
"P02790",41,0,0,0.0860348395747297,0.611847940808919,0.586175151314071
"P04114",41,0,0,0.0938342942067176,1.35107515677524,0.586175151314071
"P0C0L4",41,0,0,0.0425046740041115,0.488685501176968,0.586175151314071
"P01019",41,0,0,0.110916296543306,1.24909267285137,0.593221357711589
"P01023",41,0,0,0.13718027392981,1.25524634264843,0.593221357711589
"P04196",41,0,0,0.0539902499560746,0.68061068646806,0.593221357711589
"P08603",41,0,0,0.0703633225399563,0.611343196852599,0.593221357711589
"P02765",41,0,0,0.0473252580989626,0.562632291304669,0.594315913954675
"P02679",41,0,0,0.0390988952069535,0.801527351742547,0.62019663774188
"Q08380",41,0,0,0.036551282950514,0.625627313827393,0.62019663774188
"P00748",41,0,0,0.0351755245988982,0.629130119720466,0.621174933888746
"P02763",41,0,0,0.0614540705651051,0.753688909317892,0.627207259402923
"P00751",41,0,0,0.0095891394621937,0.196577358974971,0.634510448166702
"P01011",41,0,0,0.0371002745152239,0.760555627562091,0.635720167828692
"P01591",41,0,0,0.0730495493374736,0.671004583140551,0.674935543893895
"P06681",41,0,0,0.0356579742507108,0.690051036121725,0.706656186450209
"P02749",41,0,0,0.0983668695899546,0.67601724616485,0.715086511396821
"P02751",41,0,0,0.0376691433930909,0.469898116084847,0.715086511396821
"P04004",41,0,0,0.0485099332766093,0.649581318329755,0.715086511396821
"P05156",41,0,0,0.0331450872702187,0.679474289039484,0.715086511396821
"P20851",41,0,0,0.0189358723958761,0.272103880465613,0.715086511396821
"P43652",41,0,0,0.0617207686866967,0.952251597002765,0.715086511396821
"P01031",41,0,0,0.0283154222238674,0.580466155589282,0.719206033046138
"P07358",41,0,0,0.00860563654577692,0.176415549188427,0.719206033046138
"P08519",41,0,0,0.0239229174253971,0.49041980722064,0.719206033046138
"P10909",41,0,0,0.130517374868587,1.12693806466172,0.731129904179566
"P04278",41,0,0,0.0350536527749091,0.718599881885636,0.737382109952931
"P27918",41,0,0,0.011472737354716,0.235191115771678,0.752004164539562
"P51884",41,0,0,0.0293471935778878,0.405601476386067,0.767619519746194
"P05543",41,0,0,0.00920002520789334,0.188600516761813,0.769963632754859
"P08571",41,0,0,0.0147781271573753,0.302951606726194,0.769963632754859
"O95445",41,0,0,0.0247265758289209,0.424408970333328,0.781678150418634
"P00734",41,0,0,0.0497769135822845,0.521773233777335,0.781678150418634
"P01008",41,0,0,0.044700306382594,0.784602511489864,0.781678150418634
"P01009",41,0,0,0.0273869594358725,0.561432668435386,0.781678150418634
"P13473",41,0,0,0.00183768848682267,0.0376726139798648,0.781678150418634
"P22792",41,0,0,0.014801374593155,0.303428179159677,0.781678150418634
"P43251",41,0,0,0.0190627890837398,0.390787176216666,0.781678150418634
"P80108",41,0,0,0.00717754342996385,0.147139640314259,0.781678150418634
"Q03591",41,0,0,0.0113995426420977,0.233690624163002,0.781678150418634
"P26045",41,0,0,0.00444501482522447,0.0911228039171016,0.796270246668008
"P55058",41,0,0,0.0115312541688932,0.23639071046231,0.796270246668008
"P01042",41,0,0,0.0283843604903225,0.324075883582686,0.811637424966273
"Q06033",41,0,0,0.0118435835502245,0.242793462779602,0.831642339388275
"P02760",41,0,0,0.0199418234359015,0.408807380435982,0.840900211417228
"P02750",41,0,0,0.0102854851949124,0.210852446495705,0.845825794608736
"Q14624",41,0,0,0.0144119164114764,0.295444286435266,0.845825794608736
"P25311",41,0,0,0.00755814535293945,0.154941979735259,0.855427652781375
"P10721",41,0,0,0.0126418514806716,0.177568087603317,0.867452502889739
"P02745",41,0,0,0.0133711314666525,0.274108195066377,0.884802295622171
"P00747",41,0,0,0.0143787645816965,0.294764673924778,0.907644858314911
"P06276",41,0,0,0.00301435078462021,0.0617941910847143,0.909189808766962
"P04217",41,0,0,0.0105919790784614,0.175568271743224,0.92123068481493
"P03952",41,0,0,0.00215815048269139,0.0442420848951737,0.940759096817902
"P05160",41,0,0,0.00158937943301889,0.0325822783768872,0.953831646162074
"P05546",41,0,0,0.00329532345865311,0.0675541309023889,0.953831646162074
"P17936",41,0,0,0.00036875965866739,0.00755957300268151,0.991874701085563
"P00736",41,0,0,0,0,Inf
"P01860",41,0,0,0,0,Inf
"P02748",41,0,0,0,0,Inf
"P02774",41,0,0,0,0,Inf
"P03951",41,0,0,0,0,Inf
"P04070",41,0,0,0,0,Inf
"P04180",41,0,0,0,0,Inf
"P07357",41,0,0,0,0,Inf
"P08185",41,0,0,0,0,Inf
