"protein","ilr_coordinate","n_compositions","n_samples","healthy_mean","mecfs_mean","difference","t_statistic","p_value","p_value_adj","significant","ci_lower","ci_upper"
"O75882","ILR_1",12,10,-0.632231891490313,-0.672263323041556,-0.0400314315512436,-0.0742835887629098,0.942730512248717,0.942730512248717,FALSE,-1.29767959117366,1.21761672807117
"O75882","ILR_2",12,10,-0.400780749121362,-0.1675515295374,0.233229219583962,0.885825656071335,0.401990693837503,0.692217803648982,FALSE,-0.375772249528024,0.842230688695948
"O75882","ILR_3",12,10,0.121482775541617,-0.202639769389219,-0.324122544930836,-0.815107265130715,0.440502238685716,0.692217803648982,FALSE,-1.25455010326617,0.606305013404494
"O75882","ILR_4",12,10,-0.0404678700520363,-0.196238854647039,-0.155770984595003,-0.669007556635779,0.522367802865261,0.718255728939734,FALSE,-0.692920957618747,0.381378988428741
"O75882","ILR_5",12,10,0.0966312967282407,-0.35452035289935,-0.451151649627591,-0.909874876612336,0.393979524762178,0.692217803648982,FALSE,-1.63052255727261,0.728219258017427
"O75882","ILR_6",12,10,-0.00128978307895751,-0.488494817827092,-0.487205034748135,-1.26189147907102,0.244816058449726,0.692217803648982,FALSE,-1.38797955740182,0.41356948790555
"O75882","ILR_7",12,10,0.824146998360709,0.641099061439146,-0.183047936921563,-0.481729933519392,0.648373021859598,0.785347412491217,FALSE,-1.13103267091194,0.764936797068818
"O75882","ILR_8",12,10,-0.147723155905193,-0.321783540997634,-0.174060385092441,-0.380864801185375,0.713952193173834,0.785347412491217,FALSE,-1.24200729381881,0.89388652363393
"O75882","ILR_9",12,10,2.5182706665972,2.17227917649213,-0.345991490105067,-1.25778008960595,0.24577159150345,0.692217803648982,FALSE,-0.986293922384594,0.29431094217446
"O75882","ILR_10",12,10,-0.278891081971896,-1.20689397096402,-0.92800288899212,-3.00048696022763,0.0258807804875394,0.284688585362933,FALSE,-1.69660562500971,-0.159400152974529
"O75882","ILR_11",12,10,0.087882258174726,-0.226115610674478,-0.313997868849204,-0.95919445304934,0.372049343982947,0.692217803648982,FALSE,-1.10178922479526,0.473793487096857
"O95445","ILR_1",6,10,-1.53889576452057,-1.29711959628752,0.241776168233049,0.639570090076148,0.540773385759888,0.893369912834648,FALSE,-0.633839566511213,1.11739190297731
"O95445","ILR_2",6,10,-0.780740881648756,-1.25614808536359,-0.475407203714831,-1.06709089282529,0.31878389951883,0.893369912834648,FALSE,-1.51306749089455,0.562253083464888
"O95445","ILR_3",6,10,1.32279499798126,1.21752812473281,-0.10526687324845,-0.328467772267969,0.752788181702065,0.893369912834648,FALSE,-0.873434147808013,0.662900401311114
"O95445","ILR_4",6,10,0.39218674033525,0.327085496522437,-0.065101243812813,-0.226602286841074,0.828394696818904,0.893369912834648,FALSE,-0.771338276284047,0.641135788658421
"O95445","ILR_5",6,10,-0.6886485126579,-0.767620326377421,-0.0789718137195207,-0.139301147142946,0.893369912834648,0.893369912834648,FALSE,-1.43637617714735,1.27843254970831
"P00450","ILR_1",10,10,-0.0479459469901234,0.209896067407247,0.25784201439737,0.42272703064031,0.683762579933429,0.861262340660967,FALSE,-1.15174149370201,1.66742552249675
"P00450","ILR_2",10,10,1.14170766028159,1.80340991553721,0.661702255255621,1.05237010367437,0.324559338881175,0.861262340660967,FALSE,-0.798391693537904,2.12179620404915
