"Input Files Workflow ID"	"Input Files Workflow Level"	"Input Files "	"Study File ID"	"File Name"	"Creation Date"	"RT Range [min]"	"Instrument Name"	"Software Revision"	"Instrument Hardware"	"Ref. File ID"
"1222"	"0"	"1833"	""	"F:\2025_mecfs\2025_JAN\PD\Quant_10S_MECFS_Plasma_250125\10S_MECFS_GPEPS_250125.msf"	"1/25/2025 5:22:27 PM"	""	""	"Created with Discoverer version: 2.5.0.400"	""	""
"-107"	"1"	"1820"	"F1"	"F:\2025_mecfs\2025_JAN\20250116_OE_TR_10S_MECFS_GPEP_HC13.raw"	"1/17/2025 8:47:31 PM"	"0.00 - 75.01"	"Orbitrap Exploris MA10790C"	"4.4-4.4.412.17/4.4.550.18"	"rev. 1"	"F2"
"-107"	"1"	"1821"	"F2"	"F:\2025_mecfs\2025_JAN\20250116_OE_TR_10S_MECFS_GPEP_HC14.raw"	"1/17/2025 1:04:56 PM"	"0.00 - 75.00"	"Orbitrap Exploris MA10790C"	"4.4-4.4.412.17/4.4.550.18"	"rev. 1"	"F7"
"-107"	"1"	"1822"	"F3"	"F:\2025_mecfs\2025_JAN\20250116_OE_TR_10S_MECFS_GPEP_HC20.raw"	"1/17/2025 10:17:54 PM"	"0.00 - 75.00"	"Orbitrap Exploris MA10790C"	"4.4-4.4.412.17/4.4.550.18"	"rev. 1"	"F2"
"-107"	"1"	"1823"	"F4"	"F:\2025_mecfs\2025_JAN\20250116_OE_TR_10S_MECFS_GPEP_HC22.raw"	"1/17/2025 5:40:26 PM"	"0.00 - 75.00"	"Orbitrap Exploris MA10790C"	"4.4-4.4.412.17/4.4.550.18"	"rev. 1"	"F2"
"-107"	"1"	"1824"	"F5"	"F:\2025_mecfs\2025_JAN\20250116_OE_TR_10S_MECFS_GPEP_HC25.raw"	"1/17/2025 9:57:07 AM"	"0.00 - 75.00"	"Orbitrap Exploris MA10790C"	"4.4-4.4.412.17/4.4.550.18"	"rev. 1"	"F2"
"-107"	"1"	"1825"	"F6"	"F:\2025_mecfs\2025_JAN\20250116_OE_TR_10S_MECFS_GPEP_M1.raw"	"1/17/2025 2:36:25 PM"	"0.00 - 75.01"	"Orbitrap Exploris MA10790C"	"4.4-4.4.412.17/4.4.550.18"	"rev. 1"	"F7"
"-107"	"1"	"1826"	"F7"	"F:\2025_mecfs\2025_JAN\20250116_OE_TR_10S_MECFS_GPEP_M10.raw"	"1/17/2025 11:51:40 PM"	"0.00 - 75.01"	"Orbitrap Exploris MA10790C"	"4.4-4.4.412.17/4.4.550.18"	"rev. 1"	""
"-107"	"1"	"1827"	"F8"	"F:\2025_mecfs\2025_JAN\20250116_OE_TR_10S_MECFS_GPEP_M11.raw"	"1/17/2025 4:08:41 PM"	"0.00 - 75.00"	"Orbitrap Exploris MA10790C"	"4.4-4.4.412.17/4.4.550.18"	"rev. 1"	"F7"
"-107"	"1"	"1828"	"F9"	"F:\2025_mecfs\2025_JAN\20250116_OE_TR_10S_MECFS_GPEP_M12.raw"	"1/17/2025 11:33:39 AM"	"0.00 - 75.00"	"Orbitrap Exploris MA10790C"	"4.4-4.4.412.17/4.4.550.18"	"rev. 1"	"F7"
"-107"	"1"	"1829"	"F10"	"F:\2025_mecfs\2025_JAN\20250116_OE_TR_10S_MECFS_GPEP_M15.raw"	"1/17/2025 7:12:44 PM"	"0.00 - 75.01"	"Orbitrap Exploris MA10790C"	"4.4-4.4.412.17/4.4.550.18"	"rev. 1"	"F7"
