"Pathway Protein Groups Group ID"	"Checked"	"Tags"	"Pathway Accession"	"Pathway Level"	"Pathway Description"	"Pathway Source"	"# Master Proteins"	"# Proteins"	"# Reference Proteins"	"Coverage [%]"
"1"	"False"	""	"R-HSA-166663"	"IntermediateAnnotation"	"Initial triggering of complement"	"ReactomePathway"	"23"	"29"	"73"	"40"
"2"	"False"	""	"R-HSA-173623"	"LeafAnnotation"	"Classical antibody-mediated complement activation"	"ReactomePathway"	"20"	"25"	"64"	"39"
"3"	"False"	""	"R-HSA-2029481"	"LeafAnnotation"	"FCGR activation"	"ReactomePathway"	"17"	"22"	"70"	"31"
"4"	"False"	""	"R-HSA-2029482"	"LeafAnnotation"	"Regulation of actin dynamics for phagocytic cup formation"	"ReactomePathway"	"17"	"22"	"93"	"24"
"5"	"False"	""	"R-HSA-2029485"	"LeafAnnotation"	"Role of phospholipids in phagocytosis"	"ReactomePathway"	"17"	"22"	"83"	"27"
"6"	"False"	""	"R-HSA-9664323"	"LeafAnnotation"	"FCGR3A-mediated IL10 synthesis"	"ReactomePathway"	"18"	"23"	"92"	"25"
"7"	"False"	""	"R-HSA-9664422"	"LeafAnnotation"	"FCGR3A-mediated phagocytosis"	"ReactomePathway"	"17"	"22"	"92"	"24"
"8"	"False"	""	"R-HSA-977606"	"LeafAnnotation"	"Regulation of Complement cascade"	"ReactomePathway"	"45"	"51"	"103"	"50"
"9"	"False"	""	"R-HSA-6785807"	"LeafAnnotation"	"Interleukin-4 and Interleukin-13 signaling"	"ReactomePathway"	"2"	"2"	"63"	"3"
"10"	"False"	""	"WP4313"	"LeafAnnotation"	"Ferroptosis"	"WikiPathway"	"2"	"2"	"28"	"7"
"11"	"False"	""	"WP4577"	"LeafAnnotation"	"Neurodegeneration with brain iron accumulation (NBIA) subtypes pathway"	"WikiPathway"	"1"	"1"	"8"	"12"
"12"	"False"	""	"WP5172"	"LeafAnnotation"	"Iron metabolism disorders"	"WikiPathway"	"2"	"2"	"12"	"17"
"13"	"False"	""	"R-HSA-381426"	"LeafAnnotation"	"Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"	"ReactomePathway"	"24"	"24"	"79"	"30"
"14"	"False"	""	"R-HSA-8957275"	"LeafAnnotation"	"Post-translational protein phosphorylation"	"ReactomePathway"	"22"	"22"	"68"	"32"
"15"	"False"	""	"R-HSA-425410"	"IntermediateAnnotation"	"Metal ion SLC transporters"	"ReactomePathway"	"1"	"1"	"9"	"11"
"16"	"False"	""	"R-HSA-917937"	"IntermediateAnnotation"	"Iron uptake and transport"	"ReactomePathway"	"2"	"2"	"17"	"12"
"17"	"False"	""	"R-HSA-5619049"	"LeafAnnotation"	"Defective SLC40A1 causes hemochromatosis 4 (HFE4) (macrophages)"	"ReactomePathway"	"1"	"1"	"2"	"50"
"18"	"False"	""	"R-HSA-5619060"	"LeafAnnotation"	"Defective CP causes aceruloplasminemia (ACERULOP)"	"ReactomePathway"	"1"	"1"	"2"	"50"
"19"	"False"	""	"WP15"	"LeafAnnotation"	"Selenium micronutrient network"	"WikiPathway"	"13"	"13"	"46"	"28"
"20"	"False"	""	"WP1533"	"LeafAnnotation"	"Vitamin B12 metabolism"	"WikiPathway"	"13"	"13"	"37"	"35"
