"Protein Groups Protein Group ID"	"Checked"	"Tags"	"# Proteins"	"# Unique Peptides"	"# Peptides"	"# PSMs"	"Group Description"	"Found in File: [F1]"	"Found in File: [F2]"	"Found in File: [F3]"	"Found in File: [F4]"	"Found in File: [F5]"	"Found in File: [F6]"	"Found in File: [F7]"	"Found in File: [F8]"	"Found in File: [F9]"	"Found in File: [F10]"	"Found in Sample: [S1] F1: Sample, Healthy, HC13, 1"	"Found in Sample: [S2] F2: Sample, Healthy, HC14, 2"	"Found in Sample: [S3] F3: Sample, Healthy, HC20, 3"	"Found in Sample: [S4] F4: Sample, Healthy, HC22, 4"	"Found in Sample: [S5] F5: Sample, Healthy, HC25, 5"	"Found in Sample: [S6] F6: Sample, MECFS, M1, 1"	"Found in Sample: [S7] F7: Sample, MECFS, M10, 2"	"Found in Sample: [S8] F8: Sample, MECFS, M11, 3"	"Found in Sample: [S9] F9: Sample, MECFS, M12, 4"	"Found in Sample: [S10] F10: Sample, MECFS, M15, 5"	"Found in Sample Group: Healthy"	"Found in Sample Group: MECFS"
"1"	"False"	""	"2"	"1"	"1"	"1"	"[Master Protein] Immunoglobulin kappa variable 2-40 OS=Homo sapiens OX=9606 GN=IGKV2-40 PE=3 SV=2"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"High"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"High"	"Peak Found"	"High"
"2"	"False"	""	"1"	"11"	"11"	"1031"	"[Master Protein] Immunoglobulin heavy constant gamma 4 OS=Homo sapiens OX=9606 GN=IGHG4 PE=1 SV=2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"3"	"False"	""	"1"	"19"	"19"	"2588"	"[Master Protein] Immunoglobulin heavy constant gamma 2 OS=Homo sapiens OX=9606 GN=IGHG2 PE=1 SV=3"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"4"	"False"	""	"1"	"33"	"33"	"1227"	"[Master Protein] Ceruloplasmin OS=Homo sapiens OX=9606 GN=CP PE=1 SV=2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"5"	"False"	""	"1"	"4"	"4"	"56"	"[Master Protein] Hemoglobin subunit alpha OS=Homo sapiens OX=9606 GN=HBA1 PE=1 SV=2"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"6"	"False"	""	"1"	"7"	"7"	"62"	"[Master Protein] Lysosome-associated membrane glycoprotein 2 OS=Homo sapiens OX=9606 GN=LAMP2 PE=1 SV=2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"7"	"False"	""	"1"	"13"	"13"	"83"	"[Master Protein] Inter-alpha-trypsin inhibitor heavy chain H2 OS=Homo sapiens OX=9606 GN=ITIH2 PE=1 SV=2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"8"	"False"	""	"1"	"4"	"4"	"7"	"[Master Protein] N-acetylmuramoyl-L-alanine amidase OS=Homo sapiens OX=9606 GN=PGLYRP2 PE=1 SV=1"	"Peak Found"	"High"	"Not Found"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"High"	"Not Found"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"High"
"9"	"False"	""	"1"	"2"	"2"	"25"	"[Master Protein] Mannan-binding lectin serine protease 1 OS=Homo sapiens OX=9606 GN=MASP1 PE=1 SV=3"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"10"	"False"	""	"1"	"10"	"10"	"261"	"[Master Protein] Complement factor I OS=Homo sapiens OX=9606 GN=CFI PE=1 SV=2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
