glycans,glycan_class
HexNAc(2)Hex(10),Oligomannose
HexNAc(2)Hex(5),Oligomannose
HexNAc(2)Hex(6),Oligomannose
HexNAc(2)Hex(7),Oligomannose
HexNAc(2)Hex(8),Oligomannose
HexNAc(2)Hex(9),Oligomannose
HexNAc(3)Hex(4)NeuAc(1),Hybrid
HexNAc(3)Hex(4)NeuAc(1)Fuc(1),Complex
HexNAc(3)Hex(5),Hybrid
HexNAc(3)Hex(5)NeuAc(1),Complex
HexNAc(3)Hex(6),Hybrid
HexNAc(3)Hex(6)NeuAc(1),Hybrid
HexNAc(4)Hex(3),Complex
HexNAc(4)Hex(3)Fuc(1),Complex
HexNAc(4)Hex(4),Complex
HexNAc(4)Hex(4)Fuc(1),Complex
HexNAc(4)Hex(4)NeuAc(1),Complex
HexNAc(4)Hex(5),Complex
HexNAc(4)Hex(5)Fuc(1),Complex
HexNAc(4)Hex(5)NeuAc(1),Complex
HexNAc(4)Hex(5)NeuAc(1)Fuc(1),Complex
HexNAc(4)Hex(5)NeuAc(2),Complex
HexNAc(4)Hex(5)NeuAc(2)Fuc(1),Complex
HexNAc(4)Hex(6)NeuAc(1),Complex
HexNAc(5)Hex(3),Complex
HexNAc(5)Hex(3)Fuc(1),Complex
HexNAc(5)Hex(4),Complex
HexNAc(5)Hex(4)Fuc(1),Complex
HexNAc(5)Hex(4)NeuAc(1),Complex
HexNAc(5)Hex(4)NeuAc(1)Fuc(1),Complex
HexNAc(5)Hex(5),Complex
HexNAc(5)Hex(5)Fuc(1),Complex
HexNAc(5)Hex(5)NeuAc(1),Complex
HexNAc(5)Hex(5)NeuAc(1)Fuc(1),Complex
HexNAc(5)Hex(5)NeuAc(2)Fuc(1),Complex
HexNAc(5)Hex(6)NeuAc(1),Complex
HexNAc(5)Hex(6)NeuAc(2),Complex
HexNAc(5)Hex(6)NeuAc(2)Fuc(1),Complex
HexNAc(5)Hex(6)NeuAc(3),Complex
HexNAc(6)Hex(7)NeuAc(1),Complex
HexNAc(6)Hex(7)NeuAc(2)Fuc(1),Complex
