"protein_id","Healthy","MECFS","category"
"O14791",5,5,"Common"
"O42043",15,15,"Common"
"O60271",5,5,"Common"
"O75882",20,20,"Common"
"O95445",5,5,"Common"
"P00450",25,25,"Common"
"P00734",15,15,"Common"
"P00736",5,5,"Common"
"P00738",15,15,"Common"
"P00748",10,10,"Common"
"P01008",5,5,"Common"
"P01009",10,10,"Common"
"P01011",15,15,"Common"
"P01019",5,5,"Common"
"P01023",25,25,"Common"
"P01024",5,5,"Common"
"P01031",5,5,"Common"
"P01042",15,15,"Common"
"P01591",5,5,"Common"
"P01859",5,5,"Common"
"P01860",5,5,"Common"
"P01861",5,5,"Common"
"P01871",15,15,"Common"
"P02671",10,10,"Common"
"P02675",5,5,"Common"
"P02679",5,5,"Common"
"P02745",5,5,"Common"
"P02749",15,15,"Common"
"P02750",5,5,"Common"
"P02751",15,15,"Common"
"P02760",5,5,"Common"
"P02763",10,10,"Common"
"P02765",10,10,"Common"
"P02787",10,10,"Common"
"P02790",15,15,"Common"
"P04004",10,10,"Common"
"P04114",5,5,"Common"
"P04180",5,5,"Common"
"P04196",5,5,"Common"
"P04217",5,5,"Common"
"P04275",20,20,"Common"
"P04278",5,5,"Common"
"P05090",10,10,"Common"
"P05155",15,15,"Common"
"P05156",15,15,"Common"
"P05160",5,5,"Common"
"P05543",5,5,"Common"
"P05546",5,5,"Common"
"P06681",5,5,"Common"
"P07358",5,5,"Common"
"P08185",5,5,"Common"
"P08571",5,5,"Common"
"P08603",30,30,"Common"
"P0C0L4; P0C0L5",5,5,"Common"
"P0DOX2",25,25,"Common"
"P0DOX5",5,5,"Common"
"P0DOX6",10,10,"Common"
"P0DP01",5,5,"Common"
"P10643",10,10,"Common"
"P10721",10,10,"Common"
"P10909",15,15,"Common"
"P12259",5,5,"Common"
"P13473",5,5,"Common"
"P17936",15,15,"Common"
"P19652",5,5,"Common"
"P19827",5,5,"Common"
"P20851",5,5,"Common"
"P21439",5,5,"Common"
"P23142",5,5,"Common"
"P25311",15,15,"Common"
"P26045",5,5,"Common"
"P26927",5,5,"Common"
"P27918",5,5,"Common"
"P29622",5,5,"Common"
"P43251",10,10,"Common"
"P43652",15,15,"Common"
"P48740",5,5,"Common"
"P49238",5,5,"Common"
"P49908",5,5,"Common"
"P51884",5,5,"Common"
"P55058",20,20,"Common"
"P80108",20,20,"Common"
"P98161",30,30,"Common"
"Q02985",10,10,"Common"
"Q03591",5,5,"Common"
"Q08380",15,15,"Common"
"Q08828",5,5,"Common"
"Q12816",5,5,"Common"
"Q14624",10,10,"Common"
"Q15762",5,5,"Common"
"Q16610",10,10,"Common"
"Q68D85",5,5,"Common"
"Q6EMK4",5,5,"Common"
"Q96KN2",5,5,"Common"
"Q96PD5",5,5,"Common"
"Q9BXR6",5,5,"Common"
"Q9HCH5",5,5,"Common"
