"glycan_composition","disease_status","n_observations","mean_intensity","median_intensity","sd_intensity","cv","min_intensity","max_intensity","q25","q75","relative_percentage","missing_values","percentage_diff_from_healthy"
"hexnac(2)hex(10)","Healthy",31,1676544.38,1280215,1410238.199,84.116,257915.953,5955885.5,657957.531,2438154.625,0.039,0,0.009
"hexnac(2)hex(10)","MECFS",33,2672138.674,1899614.375,2503179.63,93.677,38554.922,10322356,1035004.5,4115037,0.047,0,0.009
"hexnac(2)hex(5)","Healthy",164,4139051.762,1267138.188,13305266.166,321.457,34399.215,149001056,446128.461,3554670.5,0.504,0,0.212
"hexnac(2)hex(5)","MECFS",225,5955593.125,2175764.5,13065834.58,219.388,48434.438,105453800,560204.5,6462508,0.716,0,0.212
"hexnac(2)hex(6)","Healthy",306,5096410.938,2388022.875,8903302.225,174.697,50117.52,81961496,1134440.344,4882965.75,1.158,0,0.741
"hexnac(2)hex(6)","MECFS",385,9236369.936,3566119.25,21037960.502,227.773,57492.133,235810064,1696068,6835300,1.899,0,0.741
"hexnac(2)hex(7)","Healthy",183,5008475.552,2326264.5,10139986.77,202.457,29026.07,100053944,1235235.75,4413162.75,0.681,0,0.091
"hexnac(2)hex(7)","MECFS",181,7980384.325,3935558,15096477.631,189.17,53212.672,147330256,2017847.125,7074791.5,0.772,0,0.091
"hexnac(2)hex(8)","Healthy",219,4292414.846,1935408.625,8439794.251,196.621,45442.473,77925352,812758.031,3898834.375,0.698,0,-0.044
"hexnac(2)hex(8)","MECFS",205,5976291.385,2861397.75,11195321.313,187.329,30753.059,78313576,1304020.25,5271599,0.654,0,-0.044
"hexnac(2)hex(9)","Healthy",177,3491781.523,1236459.125,7323239.884,209.728,46323.793,49836220,616917.312,2371654,0.459,0,-0.013
"hexnac(2)hex(9)","MECFS",163,5126975.371,1786469.875,9862875.369,192.372,39907.281,65171636,937860.406,4623785.5,0.446,0,-0.013
"hexnac(3)hex(4)neuac(1)","Healthy",212,2307549.766,1428844.625,3047215.411,132.054,52755.816,28081328,557647.969,3119225.25,0.363,0,0.059
"hexnac(3)hex(4)neuac(1)","MECFS",237,3336826.762,2354935.25,3277083.313,98.21,50003.934,14911237,770862,4842299.5,0.422,0,0.059
"hexnac(3)hex(4)neuac(1)fuc(1)","Healthy",108,3657091.197,1013313.812,11502488.836,314.526,101213.391,98309200,571237.906,2055568.75,0.293,0,0.028
"hexnac(3)hex(4)neuac(1)fuc(1)","MECFS",99,6080579.502,1486114.875,20248425.27,333.002,99274.672,137722784,883290.188,2861027.625,0.322,0,0.028
"hexnac(3)hex(5)","Healthy",162,6199956.257,1807587.438,14169016.859,228.534,112298.602,95952016,764029.344,4275003.875,0.746,0,-0.05
"hexnac(3)hex(5)","MECFS",153,8513269.338,2832171,19218032.632,225.742,81395.242,159101840,1380814,6043097,0.696,0,-0.05
"hexnac(3)hex(5)neuac(1)","Healthy",75,4435482.236,2363768.75,5035437.742,113.526,92759.43,21594664,941400.25,5633660.5,0.247,0,-0.003
"hexnac(3)hex(5)neuac(1)","MECFS",100,4575482.388,2678774.375,5632104.17,123.093,95920.164,36041856,1085521.953,6108474.875,0.244,0,-0.003
"hexnac(3)hex(6)","Healthy",64,3241703.125,1925254.562,4717309.107,145.519,58400.758,29461538,564394.469,3677014.125,0.154,0,0.026
"hexnac(3)hex(6)","MECFS",73,4611792.234,2915379,4998947.998,108.395,98149.562,21638240,810034.188,6237911.5,0.18,0,0.026
"hexnac(3)hex(6)neuac(1)","Healthy",107,2780108.457,1324657.875,3120890.155,112.258,34512.016,13048805,649917.656,3891816.625,0.221,0,0.062
"hexnac(3)hex(6)neuac(1)","MECFS",132,4006074.733,1697991.5,4831774.222,120.611,26126.801,27213060,637578.547,5821371.375,0.282,0,0.062
"hexnac(4)hex(3)","Healthy",63,2151948.937,1880499.875,1934099.913,89.877,198376.734,12838846,843807.594,2710654,0.101,0,0.489
"hexnac(4)hex(3)","MECFS",188,5869771.079,2409501,10209939.708,173.941,70819.016,79402232,1404542.75,6630786,0.589,0,0.489
"hexnac(4)hex(3)fuc(1)","Healthy",646,11184826.081,2175906.25,32151438.306,287.456,116799.383,330528896,862061.406,7056423.5,5.366,0,0.566
"hexnac(4)hex(3)fuc(1)","MECFS",751,14787560.831,2942196.5,34872577.154,235.824,121246.344,462992960,1313101.5,11745601,5.932,0,0.566
"hexnac(4)hex(4)","Healthy",125,3438552.021,1565304.25,5277942.06,153.493,89335.633,35962340,989057.562,3420959,0.319,0,0.98
"hexnac(4)hex(4)","MECFS",217,11205126.576,2213296,26962057.287,240.623,115668.086,243130640,1100241.5,5860390,1.299,0,0.98
"hexnac(4)hex(4)fuc(1)","Healthy",937,17545191.361,1801605.25,58939562.499,335.93,75005.867,591962304,866711.75,5914857,12.209,0,-3.708
"hexnac(4)hex(4)fuc(1)","MECFS",835,19061086.715,2313454,65263904.565,342.393,60798.074,1004161984,1139731.5,7744017.75,8.502,0,-3.708
"hexnac(4)hex(4)neuac(1)","Healthy",98,2949620.883,1549829.125,3462125.974,117.375,43444.531,16328773,843975.266,3596420.938,0.215,0,0.127
"hexnac(4)hex(4)neuac(1)","MECFS",178,3591856.401,1521715.25,5108465.47,142.224,61228.969,34302304,665159.188,4493615.125,0.342,0,0.127
"hexnac(4)hex(5)","Healthy",262,4448581.075,1430472.188,16392874.766,368.497,29905.525,229052736,662940.203,2930462.188,0.866,0,0.042
"hexnac(4)hex(5)","MECFS",322,5279260.165,1848807.312,12740351,241.328,30449.896,131515096,754089.719,4748885.25,0.908,0,0.042
"hexnac(4)hex(5)fuc(1)","Healthy",669,13305137.314,1456956.5,48111242.169,361.599,61667.898,440439360,723572.375,3820920,6.611,0,-3.193
"hexnac(4)hex(5)fuc(1)","MECFS",509,12568186.106,2049097.75,40318963.186,320.802,103304.586,526830304,1042907.5,5084142,3.417,0,-3.193
"hexnac(4)hex(5)neuac(1)","Healthy",2482,5265763.921,1586909.188,21114449.912,400.976,23162.334,559351360,649571.609,4022579,9.706,0,3.898
"hexnac(4)hex(5)neuac(1)","MECFS",2925,8707172.861,2476367.5,37609447.683,431.936,26069.07,893666560,998277.312,5814264.5,13.604,0,3.898
"hexnac(4)hex(5)neuac(1)fuc(1)","Healthy",923,7950440.846,1505504.125,29846954.732,375.413,50633.031,370279712,702397.812,3587762,5.45,0,-0.918
"hexnac(4)hex(5)neuac(1)fuc(1)","MECFS",984,8621091.306,2125611.25,28127920.657,326.269,31896.449,472119648,1017932.094,5519603.125,4.531,0,-0.918
"hexnac(4)hex(5)neuac(2)","Healthy",5794,8630552.464,1909700.188,27778722.23,321.865,29176.936,525652288,768485.516,5180887.5,37.137,0,-1.438
"hexnac(4)hex(5)neuac(2)","MECFS",6029,11084974.46,2713162.75,34154348.725,308.114,30357.234,588153728,1096695.625,7172642,35.699,0,-1.438
"hexnac(4)hex(5)neuac(2)fuc(1)","Healthy",1063,4006504.628,1845866.75,6266022.369,156.396,46170.145,66560396,888089.906,4246446.5,3.163,0,0.441
"hexnac(4)hex(5)neuac(2)fuc(1)","MECFS",1189,5674169.634,2760517.75,8618066.258,151.882,57606.672,110681496,1279991.5,6585174,3.604,0,0.441
"hexnac(4)hex(6)neuac(1)","Healthy",73,1035989.385,614145.25,1482691.788,143.118,35754.25,8944921,130112.273,1298105,0.056,0,0.064
"hexnac(4)hex(6)neuac(1)","MECFS",105,2138125.106,1130440.75,2456106.953,114.872,37082.98,11224222,193866.828,3177788.5,0.12,0,0.064
"hexnac(5)hex(3)","Healthy",10,1460345.15,1668915,793537.498,54.339,211576.5,2445277.5,840322.109,1985191.719,0.011,0,0.112
"hexnac(5)hex(3)","MECFS",49,4705790.918,2360765.25,6784123.67,144.165,264757.125,41816800,1460430,5270862.5,0.123,0,0.112
"hexnac(5)hex(3)fuc(1)","Healthy",218,6291607.097,1643482.188,16594459.965,263.756,135883.609,145291344,789968.609,4764130.125,1.019,0,0.201
"hexnac(5)hex(3)fuc(1)","MECFS",265,8613608.572,2548825.25,19492763.046,226.302,176102.672,165259088,1385311.75,6862155,1.219,0,0.201
"hexnac(5)hex(4)","Healthy",24,1971943.983,1558490.75,1828343.884,92.718,137346.812,7608187,514794.898,2538742.625,0.035,0,0.142
"hexnac(5)hex(4)","MECFS",59,5636152.436,2138482.5,10736609.783,190.495,61617.547,70724200,996485.312,5668359,0.178,0,0.142
"hexnac(5)hex(4)fuc(1)","Healthy",294,10776708.551,2147239.75,31289608.954,290.345,208857.281,315310368,1025981.625,6122249.375,2.353,0,-0.544
"hexnac(5)hex(4)fuc(1)","MECFS",284,11922030.265,2670882.25,28987431.312,243.142,221489.25,219665296,1299177.125,8493535.5,1.809,0,-0.544
"hexnac(5)hex(4)neuac(1)","Healthy",35,2261553.68,1349386.5,3356356.872,148.409,133377.062,18738322,723848.438,2395895.875,0.059,0,0.051
"hexnac(5)hex(4)neuac(1)","MECFS",62,3325866.385,1378367.062,5927486.176,178.224,97739,33142520,704121.984,3167365.188,0.11,0,0.051
"hexnac(5)hex(4)neuac(1)fuc(1)","Healthy",140,2777324.034,1464779.625,3611428.353,130.033,134304.641,19167316,626851.406,3426143.5,0.289,0,0.061
"hexnac(5)hex(4)neuac(1)fuc(1)","MECFS",147,4458105.883,2184574.75,7087728.477,158.985,105638.789,47978500,985302.969,4588853.75,0.35,0,0.061
