"glycan_composition","disease_status","glycan_intensity","total_group_intensity","relative_percentage"
"hexnac(4)hex(5)neuac(2)","Healthy",50005420978.0488,134651362329.939,37.1369588192649
"hexnac(4)hex(4)fuc(1)","Healthy",16439844305.1328,134651362329.939,12.2091927037841
"hexnac(4)hex(5)neuac(1)","Healthy",13069626051.0566,134651362329.939,9.70627093919171
"hexnac(4)hex(5)fuc(1)","Healthy",8901136863.24219,134651362329.939,6.61050635450054
"hexnac(4)hex(5)neuac(1)fuc(1)","Healthy",7338256900.97266,134651362329.939,5.44982001963823
"hexnac(4)hex(3)fuc(1)","Healthy",7225397648.13281,134651362329.939,5.36600411841972
"hexnac(4)hex(5)neuac(2)fuc(1)","Healthy",4258914419.64453,134651362329.939,3.16291966598066
"hexnac(5)hex(6)neuac(3)","Healthy",4072713359.03906,134651362329.939,3.0246358362566
"hexnac(5)hex(5)neuac(1)fuc(1)","Healthy",3540025971.10156,134651362329.939,2.62903093577869
"hexnac(5)hex(4)fuc(1)","Healthy",3168352314.03125,134651362329.939,2.35300427653139
"hexnac(2)hex(6)","Healthy",1559501747.01953,134651362329.939,1.15817747405945
"hexnac(5)hex(3)fuc(1)","Healthy",1371570347.10938,134651362329.939,1.01860859287007
"hexnac(5)hex(6)neuac(2)","Healthy",1362577091.10156,134651362329.939,1.01192967343532
"hexnac(4)hex(5)","Healthy",1165528241.63477,134651362329.939,0.865589639396922
"hexnac(5)hex(5)fuc(1)","Healthy",1131280791.05469,134651362329.939,0.840155473720855
"hexnac(3)hex(5)","Healthy",1004392913.55469,134651362329.939,0.745921092943419
"hexnac(2)hex(8)","Healthy",940038851.285156,134651362329.939,0.698127991443381
"hexnac(2)hex(7)","Healthy",916551026.09375,134651362329.939,0.680684554715386
"hexnac(5)hex(5)neuac(2)fuc(1)","Healthy",824268591.671875,134651362329.939,0.612150205842069
"hexnac(5)hex(6)neuac(1)","Healthy",806957019.734375,134651362329.939,0.599293617064987
"hexnac(2)hex(5)","Healthy",678804489.011719,134651362329.939,0.504120030622808
"hexnac(2)hex(9)","Healthy",618045329.574219,134651362329.939,0.458996714834424
"hexnac(3)hex(4)neuac(1)","Healthy",489200550.316406,134651362329.939,0.363309024024359
"hexnac(4)hex(4)","Healthy",429819002.65625,134651362329.939,0.319208803549313
"hexnac(3)hex(4)neuac(1)fuc(1)","Healthy",394965849.234375,134651362329.939,0.293324807413816
"hexnac(5)hex(4)neuac(1)fuc(1)","Healthy",388825364.765625,134651362329.939,0.288764523460874
"hexnac(5)hex(6)neuac(2)fuc(1)","Healthy",362347117.132812,134651362329.939,0.269100223616709
"hexnac(3)hex(5)neuac(1)","Healthy",332661167.710938,134651362329.939,0.247053696267706
"hexnac(5)hex(5)neuac(1)","Healthy",307540379.78125,134651362329.939,0.228397525624491
"hexnac(3)hex(6)neuac(1)","Healthy",297471604.914062,134651362329.939,0.220919862797348
"hexnac(4)hex(4)neuac(1)","Healthy",289062846.578125,134651362329.939,0.214675025618996
"hexnac(3)hex(6)","Healthy",207468999.984375,134651362329.939,0.154078649034392
"hexnac(4)hex(3)","Healthy",135572783.046875,134651362329.939,0.100684301072779
"hexnac(6)hex(7)neuac(2)fuc(1)","Healthy",130845828.84375,134651362329.939,0.0971737876094676
"hexnac(5)hex(5)","Healthy",109266405.585938,134651362329.939,0.0811476420997505
"hexnac(6)hex(7)neuac(1)","Healthy",108424593.355469,134651362329.939,0.080522462958669
"hexnac(5)hex(4)neuac(1)","Healthy",79154378.796875,134651362329.939,0.058784684705173
"hexnac(4)hex(6)neuac(1)","Healthy",75627225.1289062,134651362329.939,0.0561652134967599
"hexnac(2)hex(10)","Healthy",51972875.765625,134651362329.939,0.0385981061508124
"hexnac(5)hex(4)","Healthy",47326655.59375,134651362329.939,0.0351475505147763
"hexnac(5)hex(3)","Healthy",14603451.5,134651362329.939,0.0108453796881882
"hexnac(4)hex(5)neuac(2)","MECFS",66831311020.7031,187210136335.252,35.6985536835586
"hexnac(4)hex(5)neuac(1)","MECFS",25468480618.3398,187210136335.252,13.6042209662897
"hexnac(4)hex(4)fuc(1)","MECFS",15916007407.2383,187210136335.252,8.5016803677426
"hexnac(4)hex(3)fuc(1)","MECFS",11105458183.9375,187210136335.252,5.93208167107473
"hexnac(4)hex(5)neuac(1)fuc(1)","MECFS",8483153845.48828,187210136335.252,4.5313539168076
"hexnac(4)hex(5)neuac(2)fuc(1)","MECFS",6746587695.14062,187210136335.252,3.60375128569907
"hexnac(4)hex(5)fuc(1)","MECFS",6397206727.875,187210136335.252,3.41712625881486
"hexnac(5)hex(5)neuac(1)fuc(1)","MECFS",6389376250.00781,187210136335.252,3.41294353771841
"hexnac(5)hex(6)neuac(3)","MECFS",5213750790.21875,187210136335.252,2.78497248721729
"hexnac(2)hex(6)","MECFS",3556002425.23438,187210136335.252,1.8994710942715
"hexnac(5)hex(4)fuc(1)","MECFS",3385856595.39062,187210136335.252,1.80858614905728
"hexnac(4)hex(4)","MECFS",2431512466.94531,187210136335.252,1.29881453779352
"hexnac(5)hex(6)neuac(2)","MECFS",2389415505.14453,187210136335.252,1.27632806210109
"hexnac(5)hex(3)fuc(1)","MECFS",2282606271.64062,187210136335.252,1.21927493688322
"hexnac(4)hex(5)","MECFS",1699921773.2168,187210136335.252,0.908028703196184
"hexnac(5)hex(6)neuac(1)","MECFS",1603310424.85938,187210136335.252,0.856422871242506
"hexnac(5)hex(5)fuc(1)","MECFS",1468598646.625,187210136335.252,0.784465347536025
"hexnac(2)hex(7)","MECFS",1444449562.89844,187210136335.252,0.771565894440538
"hexnac(5)hex(5)neuac(2)fuc(1)","MECFS",1372873501.1875,187210136335.252,0.733332888946241
"hexnac(2)hex(5)","MECFS",1340008453.15625,187210136335.252,0.715777724106023
