"glycan_composition","disease_status","n_observations","mean_intensity","relative_percentage","cv","percentage_diff_from_healthy"
"hexnac(4)hex(5)neuac(1)","Healthy",2482,5265763.921,9.706,400.976,3.898
"hexnac(4)hex(5)neuac(1)","MECFS",2925,8707172.861,13.604,431.936,3.898
"hexnac(4)hex(4)fuc(1)","Healthy",937,17545191.361,12.209,335.93,-3.708
"hexnac(4)hex(4)fuc(1)","MECFS",835,19061086.715,8.502,342.393,-3.708
"hexnac(4)hex(5)fuc(1)","Healthy",669,13305137.314,6.611,361.599,-3.193
"hexnac(4)hex(5)fuc(1)","MECFS",509,12568186.106,3.417,320.802,-3.193
"hexnac(4)hex(5)neuac(2)","Healthy",5794,8630552.464,37.137,321.865,-1.438
"hexnac(4)hex(5)neuac(2)","MECFS",6029,11084974.46,35.699,308.114,-1.438
"hexnac(4)hex(4)","Healthy",125,3438552.021,0.319,153.493,0.98
"hexnac(4)hex(4)","MECFS",217,11205126.576,1.299,240.623,0.98
"hexnac(4)hex(5)neuac(1)fuc(1)","Healthy",923,7950440.846,5.45,375.413,-0.918
"hexnac(4)hex(5)neuac(1)fuc(1)","MECFS",984,8621091.306,4.531,326.269,-0.918
"hexnac(5)hex(5)neuac(1)fuc(1)","Healthy",456,7763214.849,2.629,272.993,0.784
"hexnac(5)hex(5)neuac(1)fuc(1)","MECFS",455,14042585.165,3.413,294.17,0.784
"hexnac(2)hex(6)","Healthy",306,5096410.938,1.158,174.697,0.741
"hexnac(2)hex(6)","MECFS",385,9236369.936,1.899,227.773,0.741
"hexnac(4)hex(3)fuc(1)","Healthy",646,11184826.081,5.366,287.456,0.566
"hexnac(4)hex(3)fuc(1)","MECFS",751,14787560.831,5.932,235.824,0.566
"hexnac(5)hex(4)fuc(1)","Healthy",294,10776708.551,2.353,290.345,-0.544
"hexnac(5)hex(4)fuc(1)","MECFS",284,11922030.265,1.809,243.142,-0.544
"hexnac(4)hex(3)","Healthy",63,2151948.937,0.101,89.877,0.489
"hexnac(4)hex(3)","MECFS",188,5869771.079,0.589,173.941,0.489
"hexnac(4)hex(5)neuac(2)fuc(1)","Healthy",1063,4006504.628,3.163,156.396,0.441
"hexnac(4)hex(5)neuac(2)fuc(1)","MECFS",1189,5674169.634,3.604,151.882,0.441
"hexnac(5)hex(5)neuac(1)","Healthy",128,2402659.217,0.228,132.991,0.296
"hexnac(5)hex(5)neuac(1)","MECFS",201,4879624.888,0.524,168.734,0.296
"hexnac(5)hex(6)neuac(2)","Healthy",487,2797899.571,1.012,214.176,0.264
"hexnac(5)hex(6)neuac(2)","MECFS",477,5009256.824,1.276,230.28,0.264
"hexnac(5)hex(6)neuac(1)","Healthy",311,2594717.105,0.599,173.376,0.257
"hexnac(5)hex(6)neuac(1)","MECFS",360,4453640.069,0.856,220.586,0.257
"hexnac(5)hex(6)neuac(3)","Healthy",1085,3753652.865,3.025,162.056,-0.24
"hexnac(5)hex(6)neuac(3)","MECFS",987,5282422.28,2.785,181.358,-0.24
"hexnac(2)hex(5)","Healthy",164,4139051.762,0.504,321.457,0.212
"hexnac(2)hex(5)","MECFS",225,5955593.125,0.716,219.388,0.212
"hexnac(5)hex(3)fuc(1)","Healthy",218,6291607.097,1.019,263.756,0.201
"hexnac(5)hex(3)fuc(1)","MECFS",265,8613608.572,1.219,226.302,0.201
"hexnac(5)hex(4)","Healthy",24,1971943.983,0.035,92.718,0.142
"hexnac(5)hex(4)","MECFS",59,5636152.436,0.178,190.495,0.142
"hexnac(4)hex(4)neuac(1)","Healthy",98,2949620.883,0.215,117.375,0.127
"hexnac(4)hex(4)neuac(1)","MECFS",178,3591856.401,0.342,142.224,0.127
"hexnac(5)hex(5)neuac(2)fuc(1)","Healthy",156,5283773.024,0.612,167.837,0.121
"hexnac(5)hex(5)neuac(2)fuc(1)","MECFS",163,8422536.817,0.733,138.185,0.121
"hexnac(5)hex(3)","Healthy",10,1460345.15,0.011,54.339,0.112
"hexnac(5)hex(3)","MECFS",49,4705790.918,0.123,144.165,0.112
"hexnac(2)hex(7)","Healthy",183,5008475.552,0.681,202.457,0.091
"hexnac(2)hex(7)","MECFS",181,7980384.325,0.772,189.17,0.091
"hexnac(4)hex(6)neuac(1)","Healthy",73,1035989.385,0.056,143.118,0.064
"hexnac(4)hex(6)neuac(1)","MECFS",105,2138125.106,0.12,114.872,0.064
"hexnac(3)hex(6)neuac(1)","Healthy",107,2780108.457,0.221,112.258,0.062
"hexnac(3)hex(6)neuac(1)","MECFS",132,4006074.733,0.282,120.611,0.062
"hexnac(5)hex(4)neuac(1)fuc(1)","Healthy",140,2777324.034,0.289,130.033,0.061
"hexnac(5)hex(4)neuac(1)fuc(1)","MECFS",147,4458105.883,0.35,158.985,0.061
"hexnac(3)hex(4)neuac(1)","Healthy",212,2307549.766,0.363,132.054,0.059
"hexnac(3)hex(4)neuac(1)","MECFS",237,3336826.762,0.422,98.21,0.059
"hexnac(5)hex(5)fuc(1)","Healthy",188,6017451.016,0.84,207.032,-0.056
"hexnac(5)hex(5)fuc(1)","MECFS",233,6302998.483,0.784,206.177,-0.056
"hexnac(5)hex(4)neuac(1)","Healthy",35,2261553.68,0.059,148.409,0.051
"hexnac(5)hex(4)neuac(1)","MECFS",62,3325866.385,0.11,178.224,0.051
"hexnac(3)hex(5)","Healthy",162,6199956.257,0.746,228.534,-0.05
"hexnac(3)hex(5)","MECFS",153,8513269.338,0.696,225.742,-0.05
"hexnac(2)hex(8)","Healthy",219,4292414.846,0.698,196.621,-0.044
"hexnac(2)hex(8)","MECFS",205,5976291.385,0.654,187.329,-0.044
"hexnac(6)hex(7)neuac(2)fuc(1)","Healthy",60,2180763.814,0.097,103.757,0.044
"hexnac(6)hex(7)neuac(2)fuc(1)","MECFS",90,2928211.769,0.141,78.705,0.044
"hexnac(4)hex(5)","Healthy",262,4448581.075,0.866,368.497,0.042
"hexnac(4)hex(5)","MECFS",322,5279260.165,0.908,241.328,0.042
"hexnac(3)hex(4)neuac(1)fuc(1)","Healthy",108,3657091.197,0.293,314.526,0.028
"hexnac(3)hex(4)neuac(1)fuc(1)","MECFS",99,6080579.502,0.322,333.002,0.028
"hexnac(3)hex(6)","Healthy",64,3241703.125,0.154,145.519,0.026
"hexnac(3)hex(6)","MECFS",73,4611792.234,0.18,108.395,0.026
"hexnac(6)hex(7)neuac(1)","Healthy",68,1594479.314,0.081,123.125,0.022
"hexnac(6)hex(7)neuac(1)","MECFS",58,3300925.721,0.102,126.854,0.022
"hexnac(5)hex(6)neuac(2)fuc(1)","Healthy",155,2337723.336,0.269,115.363,0.021
"hexnac(5)hex(6)neuac(2)fuc(1)","MECFS",192,2832769.535,0.291,96.882,0.021
"hexnac(2)hex(9)","Healthy",177,3491781.523,0.459,209.728,-0.013
"hexnac(2)hex(9)","MECFS",163,5126975.371,0.446,192.372,-0.013
"hexnac(2)hex(10)","Healthy",31,1676544.38,0.039,84.116,0.009
"hexnac(2)hex(10)","MECFS",33,2672138.674,0.047,93.677,0.009
"hexnac(5)hex(5)","Healthy",44,2483327.4,0.081,204.854,-0.004
"hexnac(5)hex(5)","MECFS",58,2502805.929,0.078,120.62,-0.004
"hexnac(3)hex(5)neuac(1)","Healthy",75,4435482.236,0.247,113.526,-0.003
"hexnac(3)hex(5)neuac(1)","MECFS",100,4575482.388,0.244,123.093,-0.003
