"","Feature","P_Value","FDR","Fold_Change","Log2_FC","Mean_Group1","Mean_Group2","SD_Group1","SD_Group2","N_Group1","N_Group2","Significant"
"1","P01031_741_hexnac(4)hex(5)neuac(2)",0.220582581550954,0.684629904076212,1.03638503262685,0.0515600855178121,96.489236,100,5.41285551431774,0,5,5,FALSE
"2","P01031_741_hexnac(4)hex(5)neuac(2)fuc(1)",NA,NA,NA,NA,8.7769115,NA,4.97544160741381,NA,2,0,NA
"3","P04114_3224_hexnac(4)hex(5)neuac(1)",NA,NA,0.204687847321818,-2.28850264533018,4.399738,0.9005729,4.69384229149936,NA,3,1,NA
"4","P04114_3224_hexnac(5)hex(6)neuac(3)",NA,NA,1.74487097038944,0.803120356055656,44.789564,78.15201,30.7088107005063,NA,5,1,NA
"5","P04114_3224_hexnac(4)hex(5)neuac(2)",0.495300379659176,0.772085885939304,1.2320793613074,0.301095186614887,64.6267075,79.6252325,5.6384155315678,38.5504642210159,4,4,FALSE
"6","P04114_3224_hexnac(3)hex(4)neuac(1)",NA,NA,NA,NA,2.1730745,NA,0.711692368662542,NA,2,0,NA
"7","P04114_3224_hexnac(4)hex(3)",NA,NA,NA,NA,NA,2.446489,NA,NA,0,1,NA
"8","P02763_56_hexnac(4)hex(5)neuac(1)",0.949872589234386,0.994577568453583,1.02222155603171,0.0317079195109791,1.79995226,1.83995,1.23003938235184,0.447034544494047,5,3,FALSE
"9","P02763_56_hexnac(4)hex(5)neuac(2)",0.357507441569544,0.711070652497243,1.08733762954999,0.120799981621297,73.4755,79.892676,10.2338288090602,10.5480262502247,5,5,FALSE
"10","P02763_56_hexnac(5)hex(6)neuac(2)",0.469512492964706,0.762732938762587,1.63102186464868,0.705776122214595,2.21792694,3.61748733333333,1.23050795759652,2.69476236605055,5,3,FALSE
"11","P02763_56_hexnac(5)hex(6)neuac(3)",0.379665853944817,0.718653223538404,0.727336129617654,-0.459305852527418,22.0427752,16.0325068,10.4636814807397,9.9681557987124,5,5,FALSE
"12","P02763_56_hexnac(4)hex(5)neuac(2)fuc(1)",NA,NA,2.18717438680266,1.12906825328286,0.60988455,1.33392386666667,0.497632266246317,0.562175401237597,2,3,NA
"13","P10909_291_hexnac(5)hex(6)neuac(1)",0.760398740081255,0.915934846006966,0.905797592910314,-0.142739389348938,4.0488562,3.6674442,2.30932724671357,1.36186519887201,5,5,FALSE
"14","P10909_291_hexnac(4)hex(5)neuac(1)",0.938491692175761,0.994577568453583,0.982789032318043,-0.0250463372164463,15.3238798,15.060141,6.06212012292071,4.20581502790838,5,5,FALSE
"15","P10909_291_hexnac(5)hex(6)neuac(2)",0.310413552038812,0.700715655852658,1.20053140976756,0.263673149610058,4.4657064,5.3612208,1.44017158591791,1.15013409545353,5,5,FALSE
"16","P10909_291_hexnac(4)hex(5)neuac(2)",0.864445396072606,0.969642454853928,1.01497318595317,0.0214416141066339,67.253556,68.260556,11.0754952692974,6.12845032043419,5,5,FALSE
"17","P10909_291_hexnac(3)hex(4)neuac(1)",0.871250901061264,0.972132584342041,1.04060475730635,0.0574222079746123,1.09843336,1.14303498,0.37116332785698,0.465079846460167,5,5,FALSE
"18","P10909_291_hexnac(5)hex(6)neuac(3)",0.284646902166706,0.700581015663258,0.664371652501073,-0.589937577379677,4.9959314,3.3191552,2.79191478903804,1.57971568934957,5,5,FALSE
"19","P10909_291_hexnac(2)hex(10)",NA,NA,3.70281525236915,1.8886225697256,0.8394132,3.108192,0.556929745941874,NA,2,1,NA
"20","P10909_291_hexnac(2)hex(8)",NA,NA,NA,NA,1.123408,NA,NA,NA,1,0,NA
"21","P10721_486_hexnac(5)hex(6)neuac(1)",0.773972454192308,0.925535400136821,0.817397561689978,-0.290890155104793,17.75289098,14.5111698,22.1737127434823,9.15393740140609,5,5,FALSE
"22","P10721_486_hexnac(4)hex(5)neuac(1)",NA,NA,2.41089948470129,1.26957150330631,7.8687564,18.97078075,9.75517953374032,22.0382605250117,2,4,NA
"23","P10721_486_hexnac(6)hex(7)neuac(1)",NA,NA,1.83109818829066,0.872709154303988,1.246116,2.28176075,NA,0.877366928882238,1,4,NA
"24","P10721_486_hexnac(4)hex(5)",0.703512147127735,0.892302739650289,1.19463015023174,0.256564038277538,2.9284823,3.49845325,2.32453355842471,1.63010493095023,4,4,FALSE
"25","P10721_486_hexnac(5)hex(6)neuac(2)",0.97452287875672,0.994577568453583,1.02468503126736,0.0351805207950948,25.92896925,26.5690266666667,34.7051895747629,12.6610287450362,4,3,FALSE
"26","P10721_486_hexnac(6)hex(7)neuac(2)fuc(1)",NA,NA,4.14590859424216,2.05168830938336,2.558876,10.608866,NA,7.43698525450118,1,3,NA
"27","P10721_486_hexnac(4)hex(5)neuac(2)",NA,NA,0.442162554277395,-1.17735124306152,30.619791,13.538925,43.0731306667036,4.60962203548729,4,2,NA
"28","P10721_486_hexnac(4)hex(6)neuac(1)",NA,NA,0.433948402792166,-1.20440458092995,4.5055345,1.9551695,4.09436393063837,0.352821535074746,2,2,NA
"29","P10721_486_hexnac(5)hex(6)neuac(3)",NA,NA,1.06852602808246,0.095622050841095,33.5868,35.88837,24.6207390295214,26.2478320019159,4,2,FALSE
"30","P10721_486_hexnac(4)hex(5)neuac(1)fuc(1)",NA,NA,2.64179864877144,1.40152051219837,3.708773,9.7978315,NA,9.01622730004997,1,4,NA
"31","P10721_486_hexnac(3)hex(4)neuac(1)",NA,NA,NA,NA,2.033937,NA,NA,NA,1,0,NA
"32","P10721_486_hexnac(5)hex(6)neuac(2)fuc(1)",NA,NA,2.34586038216177,1.23011715149225,3.679611,8.63185366666667,NA,3.91427283999983,1,3,NA
"33","P10721_486_hexnac(4)hex(5)neuac(2)fuc(1)",NA,NA,15.3560071630939,3.94073123315684,1.003477,15.4094,NA,4.4655464381305,1,3,NA
"34","P10721_486_hexnac(3)hex(6)neuac(1)",NA,NA,NA,NA,NA,2.826477,NA,NA,0,1,NA
"35","P01871_46_hexnac(3)hex(4)neuac(1)fuc(1)",0.183303899958906,0.684629904076212,1.25250261556459,0.324813616161498,7.8677086,9.8543256,2.51340980477355,1.64407980708307,5,5,FALSE
"36","P01871_46_hexnac(5)hex(5)neuac(1)",0.0122166691970328,0.531665139725745,2.38037914929949,1.25119138582259,2.6842302,6.3894856,2.04019365712711,1.42546922797734,5,5,FALSE
"37","P01871_46_hexnac(4)hex(5)fuc(1)",0.472972814362252,0.765421653777079,1.15137366889437,0.203356124323938,1.3826476,1.59194404,0.21825770920932,0.564130631087967,5,5,FALSE
"38","P01871_46_hexnac(5)hex(5)fuc(1)",0.0356099903300461,0.580248741547228,1.65357701746543,0.725590242461471,1.3225208,2.18689,0.534024883870831,0.548850057405481,5,5,FALSE
"39","P01871_46_hexnac(3)hex(6)neuac(1)",0.0297766155046316,0.573876589725628,1.37761425458547,0.462171975920397,1.02627916,1.4138168,0.148281803599592,0.270685691429562,5,5,FALSE
"40","P01871_46_hexnac(4)hex(5)neuac(1)fuc(1)",0.00298510599551878,0.531665139725745,0.717829836363967,-0.478286205336396,47.223462,33.89841,5.47648893695313,4.21301229046985,5,5,FALSE
"41","P01871_46_hexnac(5)hex(5)neuac(1)fuc(1)",0.36670205273765,0.711070652497243,1.07094252235634,0.0988810525095837,28.194684,30.194886,3.65805216861105,2.88630610466561,5,5,FALSE
"42","P01871_46_hexnac(4)hex(5)neuac(1)",0.244600121413808,0.684629904076212,1.59706669834022,0.675424565319788,2.4701994,3.9450732,1.80248038222537,1.90877580440271,5,5,FALSE
"43","P01871_46_hexnac(4)hex(5)neuac(2)fuc(1)",0.0666330134649029,0.625245554824193,0.651729880179458,-0.617653954469628,1.7215412,1.12197984,0.43866108735925,0.454571453041261,5,5,FALSE
"44","P00748_249_hexnac(4)hex(5)neuac(1)",0.168243085036575,0.681156646116855,1.54002049495409,0.622949550772044,5.7089174,8.7918498,1.99831385195302,3.91494346121578,5,5,FALSE
"45","P00748_249_hexnac(4)hex(5)neuac(2)",0.20365457099657,0.684629904076212,0.946676712940811,-0.0790562608155127,92.096498,87.18561,3.31068502957772,6.9047785475459,5,5,FALSE
"46","P00748_249_hexnac(4)hex(5)neuac(2)fuc(1)",NA,NA,0.954897457187593,-0.0665822789640066,3.657643,3.492674,1.91709554371085,NA,3,1,FALSE
"47","P00748_249_hexnac(5)hex(6)neuac(2)",NA,NA,NA,NA,NA,8.205813,NA,8.44408109052596,0,2,NA
"48","P05156_494_hexnac(4)hex(5)neuac(1)",0.93940075099897,0.994577568453583,0.965011346762409,-0.0513821889609264,9.6521806,9.3144638,9.02386253042813,2.70481683287856,5,5,FALSE
"49","P05156_494_hexnac(4)hex(5)neuac(2)",0.939400535437833,0.994577568453583,1.00373797627299,0.00538270587436198,90.347818,90.685536,9.02386244209596,2.70481667131619,5,5,FALSE
"50","Q9Y561_75_hexnac(4)hex(5)neuac(1)",NA,NA,NA,NA,100,NA,NA,NA,1,0,NA
"51","Q9Y561_75_hexnac(3)hex(6)",NA,NA,NA,NA,NA,100,NA,NA,0,1,NA
