"","x"
"`P43652_hexnac(4)hex(5)neuac(2)`",1.09234622879996
"`Q03591_hexnac(4)hex(5)neuac(2)`",0.686244712751849
"`P02790_hexnac(4)hex(5)neuac(2)`",0.270377831809304
"`P00734_hexnac(4)hex(5)neuac(2)`",0.244429262015388
"`P0DOX5_hexnac(5)hex(4)neuac(1)fuc(1)`",0.210009480851595
"`P00747_hexnac(4)hex(5)neuac(2)`",0.206705362444554
"`P10909_hexnac(4)hex(6)neuac(1)`",0.176044980142743
"`P01871_hexnac(4)hex(4)fuc(1)`",0.158563177052925
"`P02765_hexnac(4)hex(5)neuac(2)`",0.158338570416931
"`P00748_hexnac(4)hex(5)neuac(2)`",0.153621995551279
"`P02751_hexnac(4)hex(5)neuac(1)`",0.137876238449526
"`P02675_hexnac(4)hex(4)neuac(1)`",0.132145607668331
"`P02787_hexnac(4)hex(5)neuac(2)`",0.12898930425147
"`P01871_hexnac(4)hex(5)`",0.120125919208374
"`P08603_hexnac(4)hex(5)neuac(2)fuc(1)`",0.117920883848405
"`P02679_hexnac(4)hex(5)neuac(1)`",0.115753357461651
"`P08603_hexnac(4)hex(5)neuac(1)fuc(1)`",0.115281482298849
"`P43652_hexnac(4)hex(5)neuac(1)`",0.106564016920633
"`P08603_hexnac(5)hex(6)neuac(1)`",0.104546297729179
"`P02765_hexnac(3)hex(4)neuac(1)`",0.103055343843474
"`P19652_hexnac(5)hex(6)neuac(3)`",0.0952171281187035
"`P05156_hexnac(4)hex(5)neuac(2)`",0.0843118650671585
"`P0DOX5_hexnac(5)hex(5)neuac(1)fuc(1)`",0.0739911176477874
"`P17936_hexnac(4)hex(5)neuac(2)fuc(1)`",0.0706676974445901
"`P01871_hexnac(3)hex(4)neuac(1)fuc(1)`",0.0671801558739948
"`P00751_hexnac(4)hex(5)neuac(2)`",0.0668774318414413
"`P0DOX5_hexnac(4)hex(4)neuac(1)`",0.066388228366134
"`P0DOX5_hexnac(4)hex(4)fuc(1)`",0.061964364337842
"`P01023_hexnac(2)hex(6)`",0.0598123736606305
"`P03952_hexnac(4)hex(5)neuac(2)`",0.0595538641608254
"`P02790_hexnac(3)hex(4)neuac(1)`",0.0589588096306701
"`P01019_hexnac(4)hex(5)neuac(2)`",0.0585985577962113
"`P02751_hexnac(4)hex(5)neuac(2)`",0.0583742470161513
"`P01859_hexnac(5)hex(3)fuc(1)`",0.0572764843145789
"`P01591_hexnac(5)hex(5)neuac(1)`",0.0561227330904201
"`P02763_hexnac(5)hex(6)neuac(2)fuc(1)`",0.0557272936857296
"`P01861_hexnac(4)hex(5)fuc(1)`",0.0554981509812104
"`P0DOX5_hexnac(4)hex(5)neuac(1)`",0.0552661071904752
"`P10909_hexnac(5)hex(6)neuac(2)`",0.0539312361821291
"`P02749_hexnac(4)hex(5)neuac(1)fuc(1)`",0.0525625827487663
"`P01023_hexnac(4)hex(4)neuac(1)`",0.051888558649584
"`P01871_hexnac(4)hex(6)neuac(1)`",0.0516795977275469
"`P01591_hexnac(4)hex(5)neuac(2)`",0.0505690863822078
"`P01859_hexnac(4)hex(4)fuc(1)`",0.0505480158414952
"`P49238_hexnac(5)hex(5)neuac(2)fuc(1)`",0.0495398794375392
"`P06681_hexnac(2)hex(6)`",0.0491409432163619
"`P02787_hexnac(4)hex(5)neuac(1)`",0.0453136214227463
"`P01859_hexnac(4)hex(5)fuc(1)`",0.0444614851166537
"`P49238_hexnac(5)hex(5)neuac(1)fuc(1)`",0.0440847008344733
"`P02787_hexnac(4)hex(5)neuac(1)fuc(1)`",0.0439395260847287
"`P01871_hexnac(3)hex(6)neuac(1)`",0.0437512029988445
"`P01861_hexnac(4)hex(5)neuac(1)fuc(1)`",0.0435328338119883
"`P02675_hexnac(4)hex(5)`",0.0433833159469917
"`P01008_hexnac(4)hex(5)neuac(2)`",0.0421850075656795
"`P02749_hexnac(4)hex(5)neuac(2)`",0.0417978904634874
"`P02787_hexnac(5)hex(6)neuac(2)`",0.0415692341269199
"`P20851_hexnac(4)hex(5)neuac(1)`",0.0415026784323443
"`P04114_hexnac(4)hex(5)neuac(1)`",0.0410842092961984
"`P51884_hexnac(4)hex(5)neuac(1)fuc(1)`",0.0409746321817374
"`P01871_hexnac(5)hex(4)neuac(1)`",0.040597087487777
"`P00734_hexnac(4)hex(5)neuac(1)`",0.0405803004678135
"`P02763_hexnac(5)hex(6)neuac(3)`",0.0405395138255612
"`P02745_hexnac(4)hex(5)neuac(1)fuc(1)`",0.0398391592037298
"`P01871_hexnac(5)hex(5)neuac(1)fuc(1)`",0.0393685351613202
"`P10909_hexnac(4)hex(5)neuac(2)`",0.0391790815402755
"`P01871_hexnac(2)hex(5)`",0.0384970307678219
"`P01861_hexnac(4)hex(3)fuc(1)`",0.0383690959060719
"`P02675_hexnac(4)hex(5)neuac(2)`",0.0373087523830881
"`P0DOX6_hexnac(2)hex(9)`",0.0357990487548464
"`P01023_hexnac(3)hex(4)neuac(1)`",0.0356666644320164
"`P05090_hexnac(5)hex(6)neuac(2)`",0.0352130768749963
"`P01024_hexnac(2)hex(6)`",0.0351131077006505
"`P01871_hexnac(4)hex(5)neuac(1)fuc(1)`",0.0342483142171283
"`P20851_hexnac(4)hex(5)neuac(2)`",0.0338172968780932
"`P03951_hexnac(4)hex(5)neuac(2)`",0.033708755448669
"`P01871_hexnac(3)hex(4)neuac(1)`",0.0336648563959822
"`P01871_hexnac(5)hex(4)fuc(1)`",0.0336095129416412
"`P01859_hexnac(4)hex(5)neuac(1)fuc(1)`",0.0334539384952478
