"Feature","Coefficient","Abs_Coefficient"
"P02675_hexnac(4)hex(4)neuac(1)",3.30477724048894,3.30477724048894
"(Intercept)",-1.33514050884951,1.33514050884951
"P01859_hexnac(4)hex(5)fuc(1)",-0.228673135134214,0.228673135134214
"P0DOX5_hexnac(4)hex(4)",0.218467556094701,0.218467556094701
"P01031_hexnac(4)hex(5)neuac(2)",0,0
"P04114_hexnac(4)hex(5)neuac(1)",0,0
"P04114_hexnac(4)hex(5)neuac(2)",0,0
"P02763_hexnac(4)hex(5)neuac(2)",0,0
"P02763_hexnac(5)hex(6)neuac(2)",0,0
"P02763_hexnac(5)hex(6)neuac(3)",0,0
"P02763_hexnac(6)hex(7)neuac(2)fuc(1)",0,0
"P02763_hexnac(5)hex(6)neuac(2)fuc(1)",0,0
"P10909_hexnac(5)hex(6)neuac(1)",0,0
"P10909_hexnac(4)hex(5)neuac(1)",0,0
"P10909_hexnac(4)hex(6)neuac(1)",0,0
"P10909_hexnac(6)hex(7)neuac(1)",0,0
"P10909_hexnac(5)hex(6)neuac(2)",0,0
"P10909_hexnac(4)hex(5)neuac(2)",0,0
"P10909_hexnac(4)hex(5)neuac(2)fuc(1)",0,0
"P10909_hexnac(3)hex(4)neuac(1)",0,0
"P10909_hexnac(5)hex(6)neuac(3)",0,0
"P10721_hexnac(5)hex(6)neuac(1)",0,0
"P01871_hexnac(2)hex(6)",0,0
"P01871_hexnac(2)hex(5)",0,0
"P01871_hexnac(3)hex(4)neuac(1)fuc(1)",0,0
"P01871_hexnac(4)hex(5)",0,0
"P01871_hexnac(5)hex(5)neuac(1)",0,0
"P01871_hexnac(4)hex(5)fuc(1)",0,0
"P01871_hexnac(4)hex(6)neuac(1)",0,0
"P01871_hexnac(5)hex(5)fuc(1)",0,0
"P01871_hexnac(3)hex(6)neuac(1)",0,0
"P01871_hexnac(4)hex(5)neuac(1)fuc(1)",0,0
"P01871_hexnac(3)hex(5)neuac(1)",0,0
"P01871_hexnac(5)hex(5)neuac(1)fuc(1)",0,0
"P01871_hexnac(3)hex(4)neuac(1)",0,0
"P01871_hexnac(4)hex(5)neuac(1)",0,0
"P01871_hexnac(5)hex(5)",0,0
"P01871_hexnac(4)hex(4)fuc(1)",0,0
"P01871_hexnac(5)hex(4)fuc(1)",0,0
"P01871_hexnac(5)hex(4)neuac(1)",0,0
"P01871_hexnac(5)hex(4)neuac(1)fuc(1)",0,0
"P01871_hexnac(4)hex(5)neuac(2)",0,0
"P01871_hexnac(4)hex(5)neuac(2)fuc(1)",0,0
"P00748_hexnac(4)hex(5)neuac(1)",0,0
"P00748_hexnac(4)hex(5)neuac(2)",0,0
"P05156_hexnac(4)hex(5)neuac(1)",0,0
"P05156_hexnac(4)hex(5)neuac(2)",0,0
"P01008_hexnac(4)hex(5)neuac(2)",0,0
"P00734_hexnac(4)hex(5)neuac(1)",0,0
"P00734_hexnac(4)hex(5)neuac(2)",0,0
"O75882_hexnac(4)hex(5)neuac(1)",0,0
"O75882_hexnac(4)hex(5)neuac(2)",0,0
"O75882_hexnac(2)hex(5)",0,0
"P43652_hexnac(4)hex(5)neuac(2)",0,0
"P43652_hexnac(4)hex(5)neuac(1)",0,0
"P43652_hexnac(4)hex(5)neuac(2)fuc(1)",0,0
"P43652_hexnac(5)hex(6)neuac(3)",0,0
"P0DOX5_hexnac(4)hex(5)fuc(1)",0,0
"P0DOX5_hexnac(4)hex(5)neuac(1)fuc(1)",0,0
"P0DOX5_hexnac(4)hex(5)",0,0
"P0DOX5_hexnac(4)hex(4)fuc(1)",0,0
"P0DOX5_hexnac(4)hex(3)fuc(1)",0,0
"P0DOX5_hexnac(5)hex(5)fuc(1)",0,0
"P0DOX5_hexnac(5)hex(4)fuc(1)",0,0
"P0DOX5_hexnac(5)hex(3)fuc(1)",0,0
"P0DOX5_hexnac(4)hex(3)",0,0
"P0DOX5_hexnac(4)hex(5)neuac(1)",0,0
"P0DOX5_hexnac(4)hex(4)neuac(1)",0,0
"P0DOX5_hexnac(5)hex(5)neuac(1)fuc(1)",0,0
"P0DOX5_hexnac(5)hex(4)neuac(1)fuc(1)",0,0
"P01861_hexnac(3)hex(5)",0,0
