"","HC13_Healthy","HC14_Healthy","HC20_Healthy","HC22_Healthy","HC25_Healthy","M1_MECFS","M10_MECFS","M11_MECFS","M12_MECFS","M15_MECFS"
"P01031_hexnac(4)hex(5)neuac(2)",0.0264411857474224,-0.0507014093892875,0.0264411857474224,0.0264411857474224,-0.160828076590092,0.0264411857474224,0.0264411857474224,0.0264411857474224,0.0264411857474224,0.0264411857474224
"P01031_hexnac(4)hex(5)neuac(2)fuc(1)",NA,-0.543473808218325,NA,NA,0.543473808218324,NA,NA,NA,NA,NA
"P04114_hexnac(4)hex(5)neuac(1)",-0.136165895002705,0.0202253663702604,-0.107333333256301,-0.0118098095900643,0.245208645316741,-0.00998756380887207,0.155966375205779,0.3363472235272,-0.557454364676524,0.0650033559144865
"P04114_hexnac(4)hex(5)",0.0589645496222203,NA,NA,NA,NA,NA,NA,-0.05896454962222,NA,NA
"P04114_hexnac(3)hex(5)neuac(1)",0.486523443283323,NA,1.45390770459922,NA,-1.84887054412571,-0.477630903658839,0.970592543875937,0.837832822582959,NA,-1.42235506655688
"P04114_hexnac(4)hex(5)neuac(2)",0.375102772951503,0.817269602937246,-0.75638095700341,0.474305194004035,0.0261680250804914,0.736401239673495,-0.997635968886821,-1.90019750000405,0.65356660166353,0.571400989583976
"P04114_hexnac(5)hex(6)neuac(3)",-0.01945684703081,-0.188563870414208,-1.11233760322906,0.567155639541159,0.709641054412202,NA,0.043561626720717,NA,NA,NA
"P04114_hexnac(5)hex(5)neuac(1)",-0.138412380435955,NA,NA,NA,NA,NA,-0.378433875310395,NA,NA,0.51684625574635
"P04114_hexnac(4)hex(4)neuac(1)",NA,NA,0.562219705524614,NA,NA,NA,-0.562219705524614,NA,NA,NA
"P04114_hexnac(2)hex(7)",NA,NA,3.20342650381492e-16,NA,NA,NA,NA,NA,NA,NA
"P04114_hexnac(3)hex(4)neuac(1)",NA,NA,NA,0.0175966761679281,-0.0175966761679279,NA,NA,NA,NA,NA
"P04114_hexnac(2)hex(8)",NA,NA,NA,0.0581023900221171,NA,NA,NA,NA,-0.058102390022117,NA
"P04114_hexnac(3)hex(5)",NA,NA,NA,NA,NA,NA,NA,-1.13124006923035,1.13124006923035,NA
"P04114_hexnac(2)hex(9)",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"P04114_hexnac(4)hex(4)fuc(1)",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"P04114_hexnac(4)hex(3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"P02763_hexnac(4)hex(5)neuac(1)",-0.156937640277135,-0.411655400321818,-0.334486426812029,0.859403356828303,0.0995543888082366,-0.00787495418125971,-0.282543181517047,NA,NA,0.23453985747275
"P02763_hexnac(4)hex(5)neuac(2)",-0.546496762168483,-0.332029081663019,0.200286945856149,1.11076039698765,0.0736371447042319,0.949184187971442,-0.494384019824998,-1.36803998881807,-0.420558274083915,0.827639451039019
"P02763_hexnac(5)hex(6)neuac(2)",0.0697022614271782,-0.379649659136466,0.2714481970252,-0.585403077241143,0.158728119782121,-1.03142814959832,0.166197378319879,0.797944763793754,0.47879686699621,0.0536632986315935
"P02763_hexnac(5)hex(6)neuac(3)",0.237407196757341,0.427395337376469,0.0797778540405541,-0.516317074007762,0.0489773158444352,-0.532021725953499,0.268293165815164,0.132935063295058,0.0623947749037555,-0.208841908071518
"P02763_hexnac(6)hex(7)neuac(1)",-0.355865438571175,NA,0.182372039379393,NA,0.0932712230106877,NA,-0.694767600422213,0.774989776603308,NA,NA
"P02763_hexnac(6)hex(7)neuac(2)fuc(1)",-0.0127332306929274,-1.0223057543576,-0.799016160336789,0.560589212806938,0.00855396056675956,1.22372698576971,-0.312268469504271,-0.0532222004803456,0.568973355638702,-0.162297699410183
"P02763_hexnac(5)hex(6)neuac(2)fuc(1)",0.184794875554427,-1.29882389391962,-0.397234687739081,0.267840531602965,-0.151073562363718,0.691006925190393,-0.0447529013289287,0.231918841857285,0.578345737592867,-0.0620218664465889
