"","HC13_Healthy","HC14_Healthy","HC20_Healthy","HC22_Healthy","HC25_Healthy","M1_MECFS","M10_MECFS","M11_MECFS","M12_MECFS","M15_MECFS"
"P01031_hexnac(4)hex(5)neuac(2)",6.65821148275179,6.58106888761508,6.65821148275179,6.65821148275179,6.47094222041428,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179
"P01031_hexnac(4)hex(5)neuac(2)fuc(1)",NA,2.64587293674867,NA,NA,3.73282055318531,NA,NA,NA,NA,NA
"P04114_hexnac(4)hex(5)neuac(1)",5.81576625569568,5.97215751706864,5.84459881744208,5.94012234110832,6.19714079601512,5.94194458688951,6.10789852590416,6.28827937422558,5.39447778602186,6.01693550661287
"P04114_hexnac(4)hex(5)",1.4292961927327,NA,NA,NA,NA,NA,NA,1.31136709348826,NA,NA
"P04114_hexnac(3)hex(5)neuac(1)",3.71552551327408,NA,4.68290977458998,NA,1.38013152586504,2.75137116633192,4.1995946138667,4.06683489257372,NA,1.80664700343388
"P04114_hexnac(4)hex(5)neuac(2)",4.75933216425686,5.2014989942426,3.62784843430195,4.85853458530939,4.41039741638585,5.12063063097885,3.38659342241854,2.48403189130131,5.03779599296889,4.95563038088933
"P04114_hexnac(5)hex(6)neuac(3)",1.94593912541981,1.77683210203641,0.853058369221559,2.53255161199178,2.67503702686282,NA,2.00895759917134,NA,NA,NA
"P04114_hexnac(5)hex(5)neuac(1)",1.53931070493794,NA,NA,NA,NA,NA,1.2992892100635,NA,NA,2.19456934112024
"P04114_hexnac(4)hex(4)neuac(1)",NA,NA,1.89970542386383,NA,NA,NA,0.7752660128146,NA,NA,NA
"P04114_hexnac(2)hex(7)",NA,NA,2.30735828317829,NA,NA,NA,NA,NA,NA,NA
"P04114_hexnac(3)hex(4)neuac(1)",NA,NA,NA,0.494159666140603,0.458966313804747,NA,NA,NA,NA,NA
"P04114_hexnac(2)hex(8)",NA,NA,NA,2.88680783900098,NA,NA,NA,NA,2.77060305895675,NA
"P04114_hexnac(3)hex(5)",NA,NA,NA,NA,NA,NA,NA,1.00667287840121,3.26915301686191,NA
