"","HC13_Healthy","HC14_Healthy","HC20_Healthy","HC22_Healthy","HC25_Healthy","M1_MECFS","M10_MECFS","M11_MECFS","M12_MECFS","M15_MECFS"
"P01031_NeuAc 2",6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179
"P04114_NeuAc 1",6.13690199408904,5.97215754974192,6.40738411968242,5.94968922072537,6.23550913645212,6.07058854517585,6.46787717465996,6.55327407993871,5.39447786779031,6.14631956065309
"P04114_NeuAc 0",1.42929626489361,NA,2.30735825052068,2.88680779911321,NA,NA,NA,1.80365602050751,4.81186334151561,0.186055054522737
"P04114_NeuAc 2",4.75933210879448,5.20149897741251,3.62784836931539,4.85853451503835,4.41039753133195,5.12063062764777,3.38659341322065,2.48403192355141,5.03779602828992,4.95563052668169
"P04114_NeuAc 3",1.94593911365037,1.77683210520672,0.853058370479904,2.53255164176145,2.67503698137779,NA,2.00895763102129,NA,NA,NA
"P02763_NeuAc 1",1.63104375042989,0.0563400354913137,2.08594366650979,1.34733290352154,2.20315303182451,0.460120437234587,1.260534280699,2.64523140366426,NA,0.702535316276391
"P02763_NeuAc 2",5.01681370488429,4.63968794161933,5.25611488544358,5.91664409695951,5.29041311762239,5.95441385047695,4.98255545465844,5.08464476575966,5.39872112798572,5.69518419791427
"P02763_NeuAc 3",6.0774034213583,6.26739162445715,5.91977406101155,5.32367903858346,5.88897356910541,5.30797467235499,6.10828938213026,5.97293128254248,5.90239102928729,5.63115439206828
"P10909_NeuAc 1",4.13914680250341,4.44638327315998,3.05908818015737,4.83305713032076,4.65691928660173,3.44813431868484,3.88646696000303,3.82813611526931,4.54005878600247,3.76223260378576
"P10909_NeuAc 0",0.18830722316533,0.882801086573671,0.136217020199299,1.21830842187462,1.23900980156348,0.14531688092386,0.316431389052224,1.53402803474255,1.24049490669424,0.206977526172136
"P10909_NeuAc 2",6.09526996662588,6.27804775842175,6.24738536162772,6.03573705673913,5.9369462619741,6.42018344514135,6.11897169583369,5.69012324736722,6.23330234146233,6.32809961839578
"P10909_NeuAc 3",4.07651950541781,1.45981920724023,4.21684892468482,2.91930498981725,3.92116492332837,2.6648413255183,4.20665346040086,5.14042951155698,1.65041819034413,3.15928536827292
"P10721_NeuAc 1",3.30198503931865,5.43396669004603,5.47182036398386,0.697021247415165,6.06204493292091,5.35296811561359,6.00175780685756,5.85233350628003,6.27135299676899,5.91684876574259
"P10721_NeuAc 0",2.68612742608042,1.57493434933634,1.96158131293033,0.313830763441933,NA,NA,1.61684466851846,1.58276885643935,1.12774615011253,2.44758525378385
"P10721_NeuAc 2",6.43798418771254,3.85887649400086,3.34786827446864,6.63028778564865,3.86514093891541,5.93381014798501,3.2341324039011,5.03143422553839,4.55892395438967,5.21448993446687
"P10721_NeuAc 3",NA,5.43568209269244,5.5091960310912,1.05097064351688,4.43398862702085,NA,4.77848957249291,3.39592279876425,NA,NA
"P01871_NeuAc 0",2.94934756391106,2.38609150932592,2.30237951880026,2.74546665843224,2.42167453466416,2.97921305916791,3.0316884294315,2.74504134051899,3.23113734317111,2.99330101217111
"P01871_NeuAc 1",6.48752849614612,6.52783582273438,6.36973714844767,6.4863775189084,6.49928351205741,6.376887091755,6.44739890841351,6.43614252560038,6.50629847956313,6.47687961161358
"P01871_NeuAc 2",2.47128681122099,2.45934264575912,3.94221234422327,2.73006841638845,2.8434503217902,3.58593293889664,2.9170964685028,3.27873862468336,1.43522543045242,2.57684253605598
"P00748_NeuAc 1",2.50237548911607,2.86796078929946,1.99080374294757,2.23200972343886,2.0013818335871,1.88934312090663,2.46749915864816,2.20599413034855,3.20622651634608,2.09654264231959
"P00748_NeuAc 2",6.55514921464484,6.53996167922723,6.58523201532169,6.57761390726019,6.58927901694516,6.61905104304393,6.55894907678785,6.49387189416136,6.52049198776095,6.58976623742907
"P00748_NeuAc 3",1.72128764805708,1.40485139982204,1.58855542899849,1.48019699038891,1.43749760900702,NA,1.67112759588006,3.04615034582555,0.975430994023374,1.26482707718523
"P05156_NeuAc 1",3.44252145751523,3.25321430797442,3.61146898137811,3.90257650803574,4.18103260044338,3.72353932875178,3.81168143173269,5.03114771382129,3.87135466159389,3.86632377348726
"P05156_NeuAc 2",6.50982536279643,6.53083739377661,6.4882818158721,6.44368600195055,6.38992605578018,6.47232815804051,6.45874211241934,6.11481695612273,6.44898288054244,6.44982392247039
"Q9Y561_NeuAc 1",6.65821148275179,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q9Y561_NeuAc 0",NA,NA,NA,NA,NA,6.65821148275179,NA,6.65821148275179,NA,NA
"P01008_NeuAc 1",1.51277899946895,3.19378164231846,4.54667948624755,2.6257861350396,2.57687031167723,0.869124535239551,NA,4.11682815719496,3.18342406022647,4.3022487727268
"P01008_NeuAc 2",6.63148860274176,6.5312608379728,6.2969801117847,6.58237225745698,6.58546675862035,6.64635631669746,6.65821148275179,6.40344545963464,6.53274305595839,6.36231139201719
"P01008_NeuAc 3",NA,0.441133645622644,NA,NA,NA,NA,NA,NA,0.409311487531326,NA
"P00734_NeuAc 1",3.15808187411306,2.3012812281619,3.33277014392251,3.76495680091277,2.93118478355467,2.73513353534867,3.29838583529391,3.1383562345816,2.08754172093734,2.57756709288637
"P00734_NeuAc 2",6.53937288893501,6.59963277124725,6.52077358056188,6.46606335864269,6.54979737839741,6.57128464584146,6.48839436398513,6.54217751025119,6.61102136765791,6.58483822774685
"P00734_NeuAc 3",0.0837618089394084,0.124163745879155,0.140395519224628,NA,0.752157145143592,NA,1.25630986913674,NA,NA,NA
"P00734_NeuAc 0",NA,NA,NA,NA,NA,0.319209325169452,0.991700445737197,NA,NA,0.0551220212523295
"O75882_NeuAc 1",3.78988442368806,4.66642890920757,3.2778188445001,2.85954232056055,3.84011630237839,5.29216810259869,4.57684646751721,3.33326652043924,4.29260997599153,2.63684974966059
"O75882_NeuAc 2",6.2561636057151,6.18172558423714,6.03599161533603,6.20475499324777,6.04711209775576,5.47722480217167,5.73070907844038,5.53596422407293,6.02703023427166,6.28998970211723
"O75882_NeuAc 0",3.67054589491427,1.99096396225722,4.49063558507907,4.05242012026421,4.31123966292261,4.2683329454696,4.22153384307102,4.84767762036859,4.18522673051643,4.2119358042032
"O75882_NeuAc 3",NA,1.02814571674283,2.63305301006696,2.6759744399214,1.88815348077037,NA,3.06635276835396,4.22730390325457,NA,NA
"P12259_NeuAc 2",4.99905105885125,NA,6.59102713895803,6.65821148275179,5.29447511056093,6.32684992223095,6.5260390062276,5.48473278622668,NA,6.63998222073353
"P12259_NeuAc 3",6.12971661081282,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P12259_NeuAc 0",NA,4.74641582982742,2.48429197465081,NA,4.63789901127455,NA,NA,NA,6.65821148275179,1.18152424033749
"P12259_NeuAc 1",NA,6.2318563554212,NA,NA,5.28010184443327,4.44139117437704,3.29893743906688,5.8384865933434,NA,NA
"P08571_NeuAc 1",5.8553809823963,6.65821148275179,6.00415602559391,6.65821148275179,6.28483235439442,5.22693879917744,4.96947534254923,5.75016548734479,6.65821148275179,5.35113472307131
"P08571_NeuAc 2",5.46285176447059,NA,5.24090071503311,NA,4.58681300720279,4.05760365766119,6.14302490534235,5.59025635861678,NA,5.93503460727219
"P08571_NeuAc 0",NA,NA,NA,NA,NA,5.61167587563705,NA,NA,NA,NA
"Q16610_NeuAc 1",3.50267147352425,NA,NA,NA,NA,4.19507539522857,2.74404259162442,2.77020041157207,4.36020669071703,3.25233159364618
"Q16610_NeuAc 2",6.5024789474774,6.65821148275179,6.65821148275179,6.65821148275179,NA,6.38687053284041,6.5744126399936,6.57255582853311,6.34805964150875,6.53092838735868
"P43652_NeuAc 2",6.51559013711523,6.54150527501854,6.50159376985988,6.49582731158796,6.54662988624545,6.53350259091993,6.51879626304369,6.46814247122543,6.50491985367602,6.54370646387675
"P43652_NeuAc 1",2.79600992665142,2.15762639527936,2.7301462185976,3.12381643698456,2.54791762063541,3.03287909865301,2.70127700341493,3.12315693966051,3.12004752894005,2.90397763413002
"P43652_NeuAc 3",2.18959930736896,2.31415548635636,2.52483106031693,1.47114700478518,1.87548496320589,1.12398891621594,2.26292355706472,2.52459865581906,1.80198028220265,1.15154168095491
"P43652_NeuAc 0",NA,0.499456846008071,NA,1.17785643558389,NA,NA,NA,NA,NA,NA
"Q06033_NeuAc 2",5.86402609980064,NA,5.73022441360769,6.65821148275179,NA,5.61884503309419,6.10318526636117,5.59934951345597,NA,6.65821148275179
"Q06033_NeuAc 3",5.45142417257073,NA,3.90282589374515,NA,NA,NA,3.42502681414497,5.74197747756938,NA,NA
"Q06033_NeuAc 0",NA,NA,5.12752987599074,NA,NA,5.7240867819163,4.55545462029706,NA,NA,NA
"P0DOX5_NeuAc 0",6.55291328244555,6.44250878409633,6.5071985618558,6.55490731549904,6.58765716677868,6.55470696104102,6.56616039339175,6.54224938524123,6.54180745779701,6.5844307489556
"P0DOX5_NeuAc 1",3.00353969050511,3.89896403867897,3.44742728129984,2.98477741022296,2.51687769609604,2.98482114208732,2.85659032113234,3.13599617636799,3.1315121134803,2.58627670725793
"P0DOX5_NeuAc 2",0.123609822827503,0.1484771761256,0.174712521599585,0.0884348846502193,0.133698665987959,0.105721517621978,NA,0.0139971403932872,0.0916311718735359,0.0425172249183556
"P01861_NeuAc 0",6.56619944112605,6.39452234923324,6.52183216209912,6.5836966194408,6.43677875816712,6.54737016324651,6.57530151637541,6.52208261993073,6.5092258446458,6.54749627313063
"P01861_NeuAc 1",2.83957429373825,4.15959055147519,3.31458796178889,2.55469587067037,3.94213574185236,3.06883179354166,2.731338541787,3.33546728238847,3.44753687938211,3.08082627352757
"P01861_NeuAc 2",0.114183108802279,NA,0.215356514229415,0.273529816029526,NA,0.108663195532043,NA,NA,NA,NA
"P0DP01_NeuAc 0",6.65821148275179,NA,NA,NA,NA,6.65821148275179,6.65821148275179,NA,NA,NA
"P13473_NeuAc 0",6.65821148275179,NA,3.52575066779746,NA,2.86362944513465,3.40371730788662,5.85141040854693,6.57722107616206,6.13084381275839,6.33910673914737
"P13473_NeuAc 1",NA,3.98766189016772,6.43625449886887,5.96095269308147,5.03358316965325,6.46083889852906,NA,2.70348862886091,4.28269897179741,4.39518071558107
"P13473_NeuAc 2",NA,6.42854862067924,1.89244039044865,5.31139276758029,1.6732027606695,2.11464047408008,5.46804737515049,NA,3.7506850269541,NA
"P13473_NeuAc 3",NA,NA,1.11925748351537,NA,5.92549402852423,NA,NA,NA,NA,NA
"P08185_NeuAc 2",6.65821148275179,6.65821148275179,6.65821148275179,6.6373779903985,6.65821148275179,NA,NA,NA,6.65821148275179,6.65821148275179
"P08185_NeuAc 1",NA,NA,NA,1.29162000653542,NA,NA,NA,NA,NA,NA
