"","HC13_Healthy","HC14_Healthy","HC20_Healthy","HC22_Healthy","HC25_Healthy","M1_MECFS","M10_MECFS","M11_MECFS","M12_MECFS","M15_MECFS"
"P01031_Complex","100","100","100","100","100","100","100","100","100","100"
"P04114_Complex","100","100","96.05024","93.19518","99.62544","100","100","98.99073","83.37646","100"
"P04114_Oligomannose",NA,NA,"3.949759","6.396321",NA,NA,NA,NA,"7.982744",NA
"P04114_Hybrid",NA,NA,NA,"0.4085001","0.3745566",NA,NA,"1.009272","8.640801",NA
"P02763_Complex","100","100","100","99.96508","99.77726","100","100","100","100","100"
"P02763_Hybrid",NA,NA,NA,"0.03491539","0.2227365",NA,NA,NA,NA,NA
"P10909_Complex","98.75186","98.69194","99.58582","97.61603","97.80387","99.02532","99.41154","98.01524","98.32533","99.36987"
"P10909_Hybrid","1.248137","1.308061","0.4141843","1.263959","0.8357675","0.9746768","0.5884606","0.37834","1.674668","0.6301308"
"P10909_Oligomannose",NA,NA,NA,"1.120013","1.360365",NA,NA,"1.606423",NA,NA
"P10721_Complex","100","100","98.48191","100","100","100","100","98.44614","100","100"
"P10721_Hybrid",NA,NA,"1.518092",NA,NA,NA,NA,"1.553858",NA,NA
"P01871_Oligomannose","1.145776","0.904915","0.4572816","0.9991847","0.582659","0.9474309","0.9981454","0.5778011","3.321839","1.120527"
"P01871_Complex","97.71698","97.71516","98.76776","97.84531","98.5025","97.75177","98.04031","98.43163","94.50747","96.82636"
"P01871_Hybrid","1.137241","1.379921","0.7749565","1.155506","0.914838","1.300799","0.9615442","0.9905646","2.17069","2.053112"
"P00748_Complex","100","100","100","100","99.37034","100","100","100","100","100"
"P00748_Hybrid",NA,NA,NA,NA,"0.6296595",NA,NA,NA,NA,NA
"P05156_Complex","100","100","100","100","100","100","100","100","99.85314","100"
"P05156_Hybrid",NA,NA,NA,NA,NA,NA,NA,NA,"0.1468592",NA
"Q9Y561_Complex","100",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q9Y561_Hybrid",NA,NA,NA,NA,NA,"100",NA,"100",NA,NA
"P01008_Complex","100","99.39983","100","99.82716","100","100","100","100","99.2726","100"
"P01008_Hybrid",NA,"0.6001717",NA,"0.1728362",NA,NA,NA,NA,"0.7273966",NA
"P00734_Complex","99.24466","99.74","99.78095","98.02463","99.54298","99.04367","98.77157","99.52113","99.94385","100"
"P00734_Hybrid","0.7553409","0.2600005","0.2190465","1.975374","0.4570234","0.9563334","1.228432","0.4788663","0.0561481",NA
"O75882_Complex","83.4773","97.02497","73.22438","88.83691","81.14763","78.36388","82.34444","72.20637","82.80807","82.46814"
"O75882_Oligomannose","11.7334","2.975025","20.2624","9.088203","18.85237","18.27064","17.65556","27.79363","11.34036","17.53186"
"O75882_Hybrid","4.789303",NA,"6.513228","2.07489",NA,"3.365476",NA,NA,"5.851574",NA
"P12259_Complex","100",NA,"95.4044","100","76.10302","100","100","100",NA,"98.73184"
"P12259_Hybrid",NA,"100","4.595597",NA,"23.89698",NA,NA,NA,"100","1.268163"
"P08571_Complex","100","100","100","100","100","52.10294","100","100","100","100"
"P08571_Oligomannose",NA,NA,NA,NA,NA,"47.89706",NA,NA,NA,NA
"Q16610_Complex","100","100","100","100",NA,"100","100","100","100","100"
"P43652_Complex","100","99.58632","100","99.91167","100","100","99.71379","100","100","99.63066"
"P43652_Oligomannose",NA,"0.4136812",NA,NA,NA,NA,NA,NA,NA,NA
"P43652_Hybrid",NA,NA,NA,"0.08832728",NA,NA,"0.2862145",NA,NA,"0.3693424"
"Q06033_Complex","100",NA,"66.04251","100",NA,"48.14065","77.48589","100",NA,"100"
"Q06033_Oligomannose",NA,NA,"33.95749",NA,NA,"51.85935","22.51411",NA,NA,NA
"P0DOX5_Complex","100","100","99.90378","99.98357","100","99.96303","100","100","100","100"
"P0DOX5_Hybrid",NA,NA,"0.01411876",NA,NA,"0.036971",NA,NA,NA,NA
"P0DOX5_Oligomannose",NA,NA,"0.08210259","0.01643477",NA,NA,NA,NA,NA,NA
"P01861_Hybrid","2.140717","6.329523","21.38694","3.764294","2.710015","34.6479","13.34603","36.66942","8.269753","18.9492"
"P01861_Complex","97.85928","93.67048","78.61306","96.23571","97.28999","64.96125","86.65397","63.33058","91.73025","80.61689"
"P01861_Oligomannose",NA,NA,NA,NA,NA,"0.3908517",NA,NA,NA,"0.433911"
"P0DP01_Complex","100",NA,NA,NA,NA,"100","100",NA,NA,NA
"P13473_Complex","100","100","81.52549","100","100","100","100","100","100","100"
"P13473_Hybrid",NA,NA,"18.47451",NA,NA,NA,NA,NA,NA,NA
"P08185_Complex","100","100","100","100","100",NA,NA,NA,"100","100"
"P20851_Complex","100","100","100","100","100","100","100","100","100","100"
"P01860_Hybrid","16.4304","22.54337","73.60402",NA,"91.70441","7.792352",NA,NA,"4.717594","19.30946"
"P01860_Complex","83.5696","77.45663","26.39598","100","8.295587","92.20765","100","100","95.28241","80.69054"
"P55058_Complex","100","100","100","100","100","100","100","100","100","100"
"P02790_Complex","99.58995","99.34082","99.30509","99.71133","99.52409","99.6473","99.38137","99.67589","99.05341","99.66999"
"P02790_Hybrid","0.4100461","0.6591828","0.694906","0.2886731","0.4759108","0.3527024","0.618628","0.1966791","0.7912816","0.3300097"
"P02790_Oligomannose",NA,NA,NA,NA,NA,NA,NA,"0.1274339","0.1553035",NA
"P01859_Hybrid","0.2578364",NA,"0.1635315","0.01546331",NA,"0.04126788","0.01730395","0.01447709",NA,"0.1402876"
"P01859_Complex","99.74216","100","99.83647","99.98454","100","99.95873","99.9827","99.98552","100","99.77524"
"P01859_Oligomannose",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.08447185"
"P98161_Complex","100","100","100","100","100","100","100","100","100","100"
"P05155_Complex","94.73494","98.60101","91.1497","85.73517","96.8158","95.11288","87.33065","89.82829","90.49914","98.1682"
"P05155_Hybrid","5.265063","1.398991","8.850301","14.26483","3.184202","4.88712","12.66935","10.17171","9.500857","1.831802"
"P00736_Complex","100","100","100","100","100","100","100","100","100","100"
"Q9BXR6_Complex","100",NA,NA,NA,"100",NA,NA,NA,NA,"100"
"Q9BXR6_Oligomannose",NA,NA,NA,NA,NA,"100",NA,"3.743242",NA,NA
"Q9BXR6_Hybrid",NA,NA,NA,NA,NA,NA,NA,"96.25676",NA,NA
"P02750_Complex","100","100","100","100","100","100","100","100","100","100"
"P08603_Complex","98.94411","99.61104","99.39293","99.69377","99.35927","99.61269","99.17685","99.22294","99.6932","98.72283"
"P08603_Hybrid","1.055888","0.3889625","0.607073","0.3062329","0.6407263","0.3873116","0.8231465","0.7770563","0.3068024","1.27717"
"P26927_Complex","100","100","100","100","100","100","100","100","100","100"
"P48740_Complex","100","100","100","100","100","100","100","100","100","100"
"P25311_Complex","100","100","100","100","100","100","100","100","100","100"
"P19823_Complex","100","100","100","100","100","100","100","100","100","100"
"P05543_Complex","100","100","100","100","100","100","100","100","100","100"
"P10643_Complex","100","100","100","100","100","100","96.33337","100","99.7874","100"
"P10643_Hybrid",NA,NA,NA,NA,NA,NA,"3.666633",NA,NA,NA
"P10643_Oligomannose",NA,NA,NA,NA,NA,NA,NA,NA,"0.2125987",NA
"P05546_Complex","100","100","100","100","100","100","100","100","100","100"
"P06276_Complex","100","85.21394","100","100","100","93.23878","100","100","100","100"
"P06276_Oligomannose",NA,"14.78606",NA,NA,NA,"6.761219",NA,NA,NA,NA
"P01024_Oligomannose","66.70383","72.12778","76.83614","74.91173","52.81297","89.01887","78.57359","87.00604","73.98847","70.64272"
"P01024_Hybrid","33.29617","27.06689","23.16386","25.08827","46.76114","9.783074","21.42641","12.75812","25.72471","29.35728"
"P01024_Complex",NA,"0.8053315",NA,NA,"0.4258867","1.198058",NA,"0.2358476","0.2868133",NA
"Q08828_Complex","100","100","100","100","100",NA,"100",NA,"100",NA
"Q03591_Complex","100","100","100","100","100","100","100","100","100","100"
"P02749_Complex","99.33575","99.57344","99.52165","98.86897","99.05152","99.283","98.79272","99.65072","100","99.0608"
"P02749_Hybrid","0.2465178","0.4265608","0.4783536","1.131027","0.9484763","0.7169973","1.207279","0.3492796",NA,"0.9391994"
"P02749_Oligomannose","0.4177332",NA,NA,NA,NA,NA,NA,NA,NA,NA
"P0DOX2_Complex","100","100","100","99.80677","100","99.26485","99.94249","100","100","100"
"P0DOX2_Oligomannose",NA,NA,NA,"0.193228",NA,"0.7351452",NA,NA,NA,NA
"P0DOX2_Hybrid",NA,NA,NA,NA,NA,NA,"0.05750898",NA,NA,NA
"Q9Y5Y7_Complex","100",NA,"100","100",NA,"100","100","100",NA,"100"
"P80108_Complex","100","100","100","100","100","100","100","100","100","100"
"P29622_Complex","100","96.49596","88.34166","100",NA,"71.74447","100","94.19718","13.38742","100"
"P29622_Oligomannose",NA,"3.504042",NA,NA,NA,NA,NA,NA,"86.61258",NA
"P29622_Hybrid",NA,NA,"11.65834",NA,NA,"28.25553",NA,"5.802815",NA,NA
"P03951_Complex","100","71.85499","100","100","71.48355","100","100","100","73.02325","100"
