"","HC13_Healthy","HC14_Healthy","HC20_Healthy","HC22_Healthy","HC25_Healthy","M1_MECFS","M10_MECFS","M11_MECFS","M12_MECFS","M15_MECFS"
"P01031_hexnac(4)hex(5)neuac(2)","100","94.74126","100","100","87.70492","100","100","100","100","100"
"P01031_hexnac(4)hex(5)neuac(2)fuc(1)",NA,"5.258743",NA,NA,"12.29508",NA,NA,NA,NA,NA
"P04114_hexnac(4)hex(5)neuac(1)","55.32745","61.77671","56.46449","60.39811","72.37114","60.47571","67.97007","77.15571","41.06294","63.75571"
"P04114_hexnac(4)hex(5)","1.693153",NA,NA,NA,NA,NA,NA,"1.481766",NA,NA
"P04114_hexnac(3)hex(5)neuac(1)","12.13665",NA,"24.68599",NA,"1.602921","5.733568","17.37401","15.75866",NA,"2.498283"
"P04114_hexnac(4)hex(5)neuac(2)","26.08331","35.79656","11.36207","28.01113","20.26483","33.79072","9.458423","4.594588","31.84942","30.03083"
"P04114_hexnac(5)hex(6)neuac(3)","2.852885","2.426729","0.8063261","4.785941","5.386551",NA,"3.024913",NA,NA,NA
"P04114_hexnac(5)hex(5)neuac(1)","1.906556",NA,NA,NA,NA,NA,"1.461076",NA,NA,"3.57753"
"P04114_hexnac(4)hex(4)neuac(1)",NA,NA,"2.73137",NA,NA,NA,"0.7115056",NA,NA,NA
"P04114_hexnac(2)hex(7)",NA,NA,"3.949759",NA,NA,NA,NA,NA,NA,NA
"P04114_hexnac(3)hex(4)neuac(1)",NA,NA,NA,"0.4085001","0.3745566",NA,NA,NA,NA,NA
"P04114_hexnac(2)hex(8)",NA,NA,NA,"6.396321",NA,NA,NA,NA,"5.823931",NA
"P04114_hexnac(3)hex(5)",NA,NA,NA,NA,NA,NA,NA,"1.009272","8.640801",NA
"P04114_hexnac(2)hex(9)",NA,NA,NA,NA,NA,NA,NA,NA,"2.158812",NA
"P04114_hexnac(4)hex(4)fuc(1)",NA,NA,NA,NA,NA,NA,NA,NA,"10.46409",NA
"P04114_hexnac(4)hex(3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.1376486"
"P02763_hexnac(4)hex(5)neuac(1)","0.240617","0.03982449","0.09695855","1.509498","0.4820045","0.3756567","0.1371734",NA,NA,"0.6273621"
"P02763_hexnac(4)hex(5)neuac(2)","11.66349","13.69314","20.24994","38.94271","18.46401","34.71069","12.12928","6.165463","12.81862","31.82537"
"P02763_hexnac(5)hex(6)neuac(2)","9.845627","6.943031","11.47344","5.887289","10.53597","4.055701","10.59585","16.96708","13.40139","9.72572"
"P02763_hexnac(5)hex(6)neuac(3)","66.52751","76.0323","59.53821","39.04858","58.25946","38.61499","67.98876","61.81039","58.81316","48.56172"
"P02763_hexnac(6)hex(7)neuac(1)","1.856753",NA,"3.148569",NA,"2.900105",NA,"1.258671","5.255961",NA,NA
"P02763_hexnac(6)hex(7)neuac(2)fuc(1)","6.537799","2.743975","3.370688","10.21584","6.649845","16.76054","5.124568","6.329193","10.28121","5.795496"
"P02763_hexnac(5)hex(6)neuac(2)fuc(1)","3.328202","0.5477249","1.89134","3.584656","2.429265","5.147415","2.691533","3.471912","4.685624","2.647609"
"P02763_hexnac(4)hex(5)neuac(2)fuc(1)",NA,NA,"0.2308604","0.7765192","0.05659645","0.335","0.074165",NA,NA,"0.8167227"
"P02763_hexnac(3)hex(4)neuac(1)",NA,NA,NA,"0.03491539","0.2227365",NA,NA,NA,NA,NA
"P10909_hexnac(5)hex(6)neuac(1)","3.592397","1.610656","1.633715","4.066263","6.569433","3.008074","2.881636","1.944801","1.780166","2.27528"
"P10909_hexnac(4)hex(5)neuac(1)","10.6727","16.40906","5.118007","21.65211","15.3637","5.562791","9.705661","10.15505","18.60466","9.284526"
"P10909_hexnac(4)hex(5)neuac(1)fuc(1)","0.5565221","0.989227","0.01912782",NA,"0.7273431","0.3067831","0.3276102","0.05296697","0.01033996","0.1516306"
"P10909_hexnac(4)hex(6)neuac(1)","0.1234682","0.3702694","0.08065081","0.2208492","0.1080327","0.03795628","0.114532","0.08671053","0.03790069","0.09659774"
"P10909_hexnac(6)hex(7)neuac(1)","0.4268337","0.1146429","0.06877146","0.3001255","0.62312","0.02391764","0.171248","0.3860847","0.04624518","0.05187666"
"P10909_hexnac(4)hex(5)","0.139426","0.843952","0.09901953","0.2067243",NA,"0.1059735","0.2452465","0.2895098","1.362796","0.1542674"
"P10909_hexnac(5)hex(6)neuac(2)","5.27951","3.227688","2.351781","5.719606","3.129452","3.621104","4.498405","4.629251","3.62014","3.613804"
"P10909_hexnac(6)hex(7)neuac(2)fuc(1)","0.07797879",NA,"0.02555352",NA,NA,"0.02730702","0.1050779","0.01926069","0.07465336","0.04585323"
"P10909_hexnac(5)hex(6)neuac(2)fuc(1)","1.682123",NA,"0.851468","0.04541131","0.8621541","0.7251008","1.356067","0.2153907","1.088792","0.3039927"
"P10909_hexnac(4)hex(5)neuac(2)","60.21251","73.33108","70.7803","57.2254","56.25272","78.46015","61.18141","45.29725","69.01754","72.16911"
"P10909_hexnac(4)hex(5)neuac(2)fuc(1)","0.1168582","0.04461751","0.9623417","1.614729","0.01877052","1.80459","1.360517","0.4683284","0.4323247","3.210198"
"P10909_hexnac(3)hex(4)neuac(1)","1.248137","1.308061","0.4141843","1.263959","0.8357675","0.9746768","0.5884606","0.3622456","1.579368","0.6301308"
"P10909_hexnac(5)hex(6)neuac(3)","15.87154","1.750739","17.59508","6.564816","14.14915","5.341576","17.46413","34.27146","2.139246","7.933871"
"P10909_hexnac(2)hex(10)",NA,NA,NA,"1.120013","0.3863477",NA,NA,"1.606423",NA,NA
"P10909_hexnac(2)hex(8)",NA,NA,NA,NA,"0.974017",NA,NA,NA,NA,NA
"P10909_hexnac(3)hex(6)neuac(1)",NA,NA,NA,NA,NA,NA,NA,"0.01609439","0.09530004",NA
"P10909_hexnac(4)hex(4)neuac(1)",NA,NA,NA,NA,NA,NA,NA,"0.02655699","0.1105306",NA
"P10909_hexnac(3)hex(4)neuac(1)fuc(1)",NA,NA,NA,NA,NA,NA,NA,"0.1726074",NA,NA
"P10909_hexnac(5)hex(5)neuac(1)fuc(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.07886584"
"P10721_hexnac(5)hex(6)neuac(1)","3.576827","34.82949","1.507757","0.1414381","31.65909","1.394732","4.74734","8.213159","22.1079","21.74957"
"P10721_hexnac(4)hex(5)neuac(1)","0.9403337",NA,"11.02159","0.479716","12.32338","6.718057","11.44534",NA,"51.93156","5.274718"
