"","HC13_Healthy","HC14_Healthy","HC20_Healthy","HC22_Healthy","HC25_Healthy","M1_MECFS","M10_MECFS","M11_MECFS","M12_MECFS","M15_MECFS"
"P01031_FALSE","100","94.74126","100","100","87.70492","100","100","100","100","100"
"P01031_TRUE",NA,"5.258743",NA,NA,"12.29508",NA,NA,NA,NA,NA
"P04114_FALSE","100","100","100","100","100","100","100","100","89.53591","100"
"P04114_TRUE",NA,NA,NA,NA,NA,NA,NA,NA,"10.46409",NA
"P02763_FALSE","90.134","96.7083","94.50711","85.42298","90.86429","77.75705","92.10973","90.1989","85.03317","90.74017"
"P02763_TRUE","9.866001","3.2917","5.492888","14.57702","9.135706","22.24295","7.890266","9.801104","14.96683","9.259828"
"P10909_FALSE","97.56652","98.96616","98.14151","98.33986","98.39173","97.13622","96.85073","99.07145","98.39389","96.20946"
"P10909_TRUE","2.433482","1.033844","1.858491","1.66014","1.608268","2.863781","3.149272","0.928554","1.60611","3.790541"
"P10721_FALSE","94.38289","100","69.12354","99.00134","78.17002","36.12712","72.53407","51.50699","100","45.15895"
"P10721_TRUE","5.617114",NA,"30.87646","0.9986635","21.82998","63.87288","27.46593","48.49301",NA,"54.84105"
"P01871_FALSE","9.238131","7.584871","9.844944","16.07657","8.143897","15.04815","18.19733","12.40968","14.3897","23.29771"
"P01871_TRUE","90.76187","92.41513","90.15506","83.92343","91.8561","84.95185","81.80267","87.59032","85.6103","76.70229"
"P00748_FALSE","99.15255","99.07269","100","97.18191","100","94.82449","96.42163","98.88869","98.2595","97.97092"
"P00748_TRUE","0.8474545","0.9273112",NA,"2.818091",NA,"5.175513","3.578367","1.111312","1.740499","2.02908"
"P05156_FALSE","100","100","99.31707","99.90191","100","94.00717","100","100","100","100"
"P05156_TRUE",NA,NA,"0.6829335","0.09808672",NA,"5.992832",NA,NA,NA,NA
"Q9Y561_FALSE","100",NA,NA,NA,NA,"100",NA,"100",NA,NA
"P01008_FALSE","100","98.57303","100","100","100","100","100","100","100","88.74234"
"P01008_TRUE",NA,"1.426965",NA,NA,NA,NA,NA,NA,NA,"11.25766"
"P00734_FALSE","93.45435","100","97.13406","98.67205","97.08838","96.55166","93.50422","98.06579","99.14969","96.85044"
"P00734_TRUE","6.545652",NA,"2.86594","1.32795","2.911625","3.44834","6.495778","1.934209","0.850306","3.149563"
"O75882_FALSE","97.47102","81.07323","92.8627","92.46409","98.52301","60.8967","77.28282","99.11006","87.83326","98.79876"
"O75882_TRUE","2.528982","18.92677","7.137304","7.535915","1.476993","39.1033","22.71718","0.8899433","12.16674","1.201244"
"P12259_FALSE","100","100","100","100","62.14302","87.28477","95.95503","93.83822","100","100"
"P12259_TRUE",NA,NA,NA,NA,"37.85698","12.71523","4.044973","6.161776",NA,NA
"P08571_FALSE","100","100","100","100","100","81.40518","93.82745","100","100","54.01429"
"P08571_TRUE",NA,NA,NA,NA,NA,"18.59482","6.172554",NA,NA,"45.98571"
"Q16610_TRUE","100","100","100","100",NA,"100","100","100","100","100"
"P43652_FALSE","96.12083","96.91895","98.51677","96.56761","98.59608","93.74914","97.62668","97.37843","97.23707","94.52966"
"P43652_TRUE","3.879171","3.081055","1.48323","3.432393","1.403916","6.250856","2.373316","2.62157","2.762931","5.470341"
"Q06033_FALSE","100",NA,"100","100",NA,"100","100","100",NA,"100"
"P0DOX5_TRUE","97.2117","97.92233","97.05773","95.85372","97.65973","90.43793","84.29087","92.01481","96.91679","77.66818"
"P0DOX5_FALSE","2.788303","2.077667","2.942266","4.146283","2.340274","9.562066","15.70913","7.985189","3.083215","22.33182"
"P01861_FALSE","2.729407","13.1097","22.89338","3.921872","3.049196","46.47669","16.67392","39.66705","8.269753","33.79263"
"P01861_TRUE","97.27059","86.8903","77.10662","96.07813","96.9508","53.52331","83.32608","60.33295","91.73025","66.20737"
"P0DP01_FALSE","100",NA,NA,NA,NA,NA,NA,NA,NA,NA
"P0DP01_TRUE",NA,NA,NA,NA,NA,"100","100",NA,NA,NA
"P13473_FALSE","100","85.13625","35.85895","38.70896","70.83516","7.277836","100","96.43984","94.35374","74.58006"
"P13473_TRUE",NA,"14.86375","64.14105","61.29104","29.16484","92.72216",NA,"3.560162","5.646263","25.41994"
"P08185_FALSE","43.70866","91.52384",NA,"75.64894","67.72559",NA,NA,NA,"95.84732","53.38307"
"P08185_TRUE","56.29134","8.476156","100","24.35106","32.27441",NA,NA,NA,"4.152682","46.61693"
"P20851_FALSE","100","100","100","100","100","100","100","100","97.05764","100"
"P20851_TRUE",NA,NA,NA,NA,NA,NA,NA,NA,"2.942355",NA
"P01860_FALSE","16.4304","100","87.70448","89.15709","99.17159","53.25008","13.88482","76.01774","4.717594","52.56992"
"P01860_TRUE","83.5696",NA,"12.29552","10.84291","0.8284107","46.74992","86.11518","23.98226","95.28241","47.43008"
