"","HC13_Healthy","HC14_Healthy","HC20_Healthy","HC22_Healthy","HC25_Healthy","M1_MECFS","M10_MECFS","M11_MECFS","M12_MECFS","M15_MECFS"
"P01031_TRUE","100","100","100","100","100","100","100","100","100","100"
"P04114_TRUE","98.30685","100","96.05024","93.60368","100","100","100","97.50896","72.91236","99.86235"
"P04114_FALSE","1.693153",NA,"3.949759","6.396321",NA,NA,NA,"2.491038","27.08764","0.1376486"
"P02763_TRUE","100","100","100","100","100","100","100","100","100","100"
"P10909_TRUE","99.86057","99.15605","99.90098","98.67326","98.63964","99.89403","99.75475","98.10407","98.6372","99.84573"
"P10909_FALSE","0.139426","0.843952","0.09901953","1.326737","1.360365","0.1059735","0.2452465","1.895933","1.362796","0.1542674"
"P10721_TRUE","94.56416","98.02078","97.10511","99.757","100","100","97.93296","98.00456","98.81483","95.54498"
"P10721_FALSE","5.435835","1.979219","2.894887","0.2430038",NA,NA,"2.067035","1.995442","1.185171","4.455023"
"P01871_FALSE","6.723997","4.227393","3.932707","5.706066","4.357926","6.885559","7.177662","5.704089","8.390079","6.962939"
"P01871_TRUE","93.276","95.77261","96.06729","94.29393","95.64207","93.11444","92.82234","94.29591","91.60992","93.03706"
"P00748_TRUE","100","100","100","100","100","100","100","100","100","100"
"P05156_TRUE","100","100","100","100","100","100","100","100","100","100"
"Q9Y561_TRUE","100",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q9Y561_FALSE",NA,NA,NA,NA,NA,"100",NA,"100",NA,NA
"P01008_TRUE","100","100","100","100","100","100","100","100","100","100"
"P00734_TRUE","100","100","100","100","100","99.75235","99.01147","100","100","99.96105"
"P00734_FALSE",NA,NA,NA,NA,NA,"0.2476466","0.9885274",NA,NA,"0.03894697"
"O75882_TRUE","88.2666","97.02497","78.51898","84.40795","81.14763","81.72936","82.34444","72.20637","82.80807","82.46814"
"O75882_FALSE","11.7334","2.975025","21.48102","15.59205","18.85237","18.27064","17.65556","27.79363","17.19193","17.53186"
"P12259_TRUE","100","74.15808","95.4044","100","76.10302","100","100","100",NA,"98.73184"
"P12259_FALSE",NA,"25.84192","4.595597",NA,"23.89698",NA,NA,NA,"100","1.268163"
"P08571_TRUE","100","100","100","100","100","52.10294","100","100","100","100"
"P08571_FALSE",NA,NA,NA,NA,NA,"47.89706",NA,NA,NA,NA
"Q16610_TRUE","100","100","100","100",NA,"100","100","100","100","100"
"P43652_TRUE","100","99.58632","100","98.7376","100","100","100","100","100","100"
"P43652_FALSE",NA,"0.4136812",NA,"1.262404",NA,NA,NA,NA,NA,NA
"Q06033_TRUE","100",NA,"66.04251","100",NA,"48.14065","77.48589","100",NA,"100"
"Q06033_FALSE",NA,NA,"33.95749",NA,NA,"51.85935","22.51411",NA,NA,NA
"P0DOX5_FALSE","92.89089","85.97379","89.96241","93.02075","95.17948","93.0077","93.75699","92.19944","92.1709","94.96462"
"P0DOX5_TRUE","7.10911","14.02621","10.03759","6.979248","4.820524","6.992304","6.243015","7.80056","7.829104","5.035377"
"P01861_FALSE","93.75955","83.12848","90.88976","94.9158","85.62904","92.53084","94.35929","90.90571","90.09032","92.53901"
"P01861_TRUE","6.24045","16.87152","9.110242","5.084197","14.37096","7.469165","5.640715","9.094288","9.90968","7.460989"
"P0DP01_FALSE","100",NA,NA,NA,NA,"100","100",NA,NA,NA
"P13473_FALSE","100",NA,"10.51746",NA,"6.278441","9.583298","56.73645","94.48625","69.07577","79.95828"
"P13473_TRUE",NA,"100","89.48254","100","93.72156","90.4167","43.26355","5.513751","30.92423","20.04172"
"P08185_TRUE","100","100","100","100","100",NA,NA,NA,"100","100"
"P20851_TRUE","100","100","100","100","100","100","100","100","100","100"
"P01860_FALSE","88.3535","100","89.99453","100","99.17159","94.15068","13.88482","79.88401","100","52.56992"
"P01860_TRUE","11.6465",NA,"10.00547",NA,"0.8284107","5.849316","86.11518","20.11599",NA,"47.43008"
"P55058_TRUE","100","100","100","100","95.29393","100","100","100","100","73.46578"
"P55058_FALSE",NA,NA,NA,NA,"4.706071",NA,NA,NA,NA,"26.53422"
"P02790_TRUE","100","100","100","99.72203","99.79502","100","100","99.60607","99.45571","100"
"P02790_FALSE",NA,NA,NA,"0.2779726","0.2049803",NA,NA,"0.3939314","0.5442861",NA
"P01859_FALSE","86.68604","77.79204","94.26113","93.73844","81.70656","93.6064","92.32378","94.80203","91.86945","94.54856"
"P01859_TRUE","13.31396","22.20796","5.738872","6.261558","18.29344","6.393601","7.676223","5.197967","8.130545","5.451436"
"P98161_TRUE","93.13556","40.78319","91.50096","23.23592","67.16855","84.62402","90.12587","20.01693","93.43498","94.52373"
"P98161_FALSE","6.864442","59.21681","8.499037","76.76408","32.83145","15.37598","9.874128","79.98307","6.56502","5.476274"
"P05155_FALSE","1.236307",NA,NA,NA,NA,NA,"4.429369",NA,NA,NA
"P05155_TRUE","98.76369","100","100","100","100","100","95.57063","100","100","100"
"P00736_TRUE","100","100","100","100","100","100","100","100","100","100"
"Q9BXR6_TRUE","100",NA,NA,NA,"100",NA,NA,NA,NA,"100"
"Q9BXR6_FALSE",NA,NA,NA,NA,NA,"100",NA,"100",NA,NA
"P02750_TRUE","100","100","100","100","100","100","96.96114","100","100","100"
"P02750_FALSE",NA,NA,NA,NA,NA,NA,"3.038862",NA,NA,NA
"P08603_TRUE","99.92095","99.41902","99.63677","99.9238","99.92182","99.7255","99.28477","99.03528","98.93436","99.88906"
"P08603_FALSE","0.0790523","0.5809829","0.3632305","0.07620123","0.07818271","0.2745041","0.7152297","0.9647204","1.065644","0.1109361"
"P26927_TRUE","100","100","100","100","100","100","100","100","100","100"
"P48740_TRUE","100","100","100","100","100","100","100","100","100","100"
"P25311_TRUE","100","100","100","100","100","100","100","100","100","100"
"P19823_TRUE","100","100","100","100","100","100","100","100","100","100"
"P05543_TRUE","100","100","100","100","100","100","100","100","100","100"
"P10643_TRUE","100","100","100","100","100","100","100","97.66295","99.7874","100"
"P10643_FALSE",NA,NA,NA,NA,NA,NA,NA,"2.337052","0.2125987",NA
"P05546_TRUE","100","100","100","100","100","94.33053","100","100","94.96144","100"
"P05546_FALSE",NA,NA,NA,NA,NA,"5.669469",NA,NA,"5.038561",NA
"P06276_TRUE","100","85.21394","100","100","100","93.23878","100","100","100","100"
"P06276_FALSE",NA,"14.78606",NA,NA,NA,"6.761219",NA,NA,NA,NA
"P01024_FALSE","89.30801","95.80963","88.9944","93.14619","89.31027","93.52749","90.54474","95.92433","98.46273","86.98008"
"P01024_TRUE","10.69199","4.190373","11.0056","6.853809","10.68973","6.472508","9.455263","4.075668","1.537274","13.01992"
"Q08828_TRUE","100","100","100","100","100",NA,"100",NA,"100",NA
"Q03591_TRUE","100","100","100","100","100","100","100","100","100","100"
"P02749_TRUE","99.58227","100","100","99.89571","100","99.48483","100","100","99.8136","100"
"P02749_FALSE","0.4177332",NA,NA,"0.104291",NA,"0.5151665",NA,NA,"0.1863969",NA
"P0DOX2_FALSE","18.91281","7.873657","9.54994","8.464313","12.06907","10.31458","18.82537","10.38358","5.185865","15.20695"
"P0DOX2_TRUE","81.08719","92.12634","90.45006","91.53569","87.93093","89.68542","81.17463","89.61642","94.81413","84.79305"
"Q9Y5Y7_TRUE","100",NA,"100","100",NA,"100","100","100",NA,"100"
"P80108_TRUE","100","100","100","99.60912","100","100","100","100","100","93.54575"
"P80108_FALSE",NA,NA,NA,"0.3908787",NA,NA,NA,NA,NA,"6.45425"
"P29622_TRUE","100","96.49596","57.26934",NA,NA,"82.65697","100","61.80478",NA,"100"
"P29622_FALSE",NA,"3.504042","42.73066","100",NA,"17.34303",NA,"38.19522","100",NA
"P03951_TRUE","100","71.85499","100","100","71.48355","82.45145","100","100","73.02325","100"
"P03951_FALSE",NA,"28.14501",NA,NA,"28.51645","17.54855",NA,NA,"26.97675",NA
"P04278_TRUE","100","100","100","100","100","100","100","100","100","100"
"P01011_TRUE","97.45565","100","100","100","100",NA,"65.60531",NA,"100","100"
"P01011_FALSE","2.54435",NA,NA,NA,NA,NA,"34.39469",NA,NA,NA
"Q68D85_TRUE","100","100","100","100","100",NA,"100",NA,"100","100"
"P02751_TRUE","99.7154","98.83209","100","98.69388","100","100","99.20551","99.75063","98.15308","99.64456"
"P02751_FALSE","0.2846012","1.167911",NA,"1.306119",NA,NA,"0.7944891","0.249371","1.846919","0.3554422"
"P22792_TRUE","100",NA,"100","100","100","100","100","100",NA,"100"
"P03952_TRUE","100","97.34681","100","100","100","100","100","100","100","100"
"P03952_FALSE",NA,"2.653192",NA,NA,NA,NA,NA,NA,NA,NA
"P00738_TRUE","99.8131","99.5114","99.82638","99.02621","99.25351","98.88496","99.07105","99.46106","98.50149","99.70497"
"P00738_FALSE","0.186898","0.4886031","0.1736228","0.9737897","0.7464894","1.115038","0.9289477","0.5389443","1.498513","0.2950298"
"P49908_TRUE","100","100","100","100","100","100","100","100","100","100"
"P17936_TRUE","100","100","100","100","100","100","100","100","100","100"
"P01591_FALSE","0.2437143",NA,NA,NA,NA,"1.351346",NA,NA,"2.201363",NA
"P01591_TRUE","99.75629","100","100","100","100","98.64865","100","100","97.79864","100"
"P05090_TRUE","99.26654","100","91.57334","99.19758","97.32002","91.10603","94.65189","90.98841","100","94.80293"
"P05090_FALSE","0.7334566",NA,"8.426656","0.8024249","2.679983","8.893974","5.348108","9.011585",NA,"5.197066"
"Q6EMK4_TRUE","100","100","100","100","100","100","100",NA,NA,"100"
"P0C0L4; P0C0L5_FALSE","51.0632","40.64549","41.78307","37.32562","41.75477","36.55848","44.6942","30.30819","47.12547","39.09754"
"P0C0L4; P0C0L5_TRUE","48.9368","59.35451","58.21693","62.67438","58.24523","63.44152","55.3058","69.69181","52.87453","60.90246"
"P00450_TRUE","95.6791","96.5225","97.64096","97.83964","99.73627","99.5529","99.50352","98.34604","97.47086","99.02933"
"P00450_FALSE","4.320902","3.477496","2.359041","2.160356","0.2637304","0.4471008","0.4964769","1.65396","2.529138","0.9706691"
"P06681_FALSE","83.13486","44.38273","81.11455","52.05302","57.59129","69.00644","82.14083","93.23234","57.70689","83.66561"
