"","HC13_Healthy","HC14_Healthy","HC20_Healthy","HC22_Healthy","HC25_Healthy","M1_MECFS","M10_MECFS","M11_MECFS","M12_MECFS","M15_MECFS"
"P01031_NeuAc 2","100","100","100","100","100","100","100","100","100","100"
"P04114_NeuAc 1","69.37065","61.77671","83.88185","60.80661","74.34862","66.20928","87.51666","92.91437","41.06294","69.83152"
"P04114_NeuAc 0","1.693153",NA,"3.949759","6.396321",NA,NA,NA,"2.491038","27.08764","0.1376486"
"P04114_NeuAc 2","26.08331","35.79656","11.36207","28.01113","20.26483","33.79072","9.458423","4.594588","31.84942","30.03083"
"P04114_NeuAc 3","2.852885","2.426729","0.8063261","4.785941","5.386551",NA,"3.024913",NA,NA,NA
"P02763_NeuAc 1","2.09737","0.03982449","3.245527","1.544413","3.604846","0.3756567","1.395845","5.255961",NA,"0.6273621"
"P02763_NeuAc 2","31.37512","23.92787","37.21627","59.40701","38.13569","61.00935","30.6154","32.93365","41.18684","50.81092"
"P02763_NeuAc 3","66.52751","76.0323","59.53821","39.04858","58.25946","38.61499","67.98876","61.81039","58.81316","48.56172"
"P10909_NeuAc 1","16.62006","20.80192","7.334457","27.5033","24.22739","9.914199","13.78915","13.20312","22.26451","12.56891"
"P10909_NeuAc 0","0.139426","0.843952","0.09901953","1.326737","1.360365","0.1059735","0.2452465","1.895933","1.362796","0.1542674"
"P10909_NeuAc 2","67.36898","76.60339","74.97145","64.60515","60.26309","84.63825","68.50148","50.62948","74.23345","79.34295"
"P10909_NeuAc 3","15.87154","1.750739","17.59508","6.564816","14.14915","5.341576","17.46413","34.27146","2.139246","7.933871"
"P10721_NeuAc 1","8.862716","42.23017","43.37946","0.6211541","65.81244","39.86994","63.07803","56.7734","76.24411","59.41558"
"P10721_NeuAc 0","5.435835","1.979219","2.894887","0.2430038",NA,NA,"2.067035","1.995442","1.185171","4.455023"
"P10721_NeuAc 2","85.70145","13.509","9.18143","98.06392","13.57214","60.13006","8.409594","31.70488","22.57072","36.1294"
"P10721_NeuAc 3",NA,"42.2816","44.54422","1.071923","20.61541",NA,"26.44535","9.526273",NA,NA
"P01871_NeuAc 0","6.723997","4.227393","3.932707","5.706066","4.357926","6.885559","7.177662","5.704089","8.390079","6.962939"
"P01871_NeuAc 1","88.73062","91.27295","81.69551","88.65906","89.46473","82.10637","86.26909","85.59084","89.90568","88.07074"
"P01871_NeuAc 2","4.545382","4.499661","14.37178","5.634871","6.177345","11.00807","6.553244","8.70507","1.704244","4.966325"
"P00748_NeuAc 1","4.666176","6.300325","2.974584","3.69788","3.003833","2.704665","4.530842","3.613924","8.229334","3.276832"
"P00748_NeuAc 2","93.03652","92.05177","95.01794","94.51225","95.28766","97.29533","93.28452","89.12603","90.80444","95.32018"
"P00748_NeuAc 3","2.297306","1.647905","2.007481","1.789868","1.708507",NA,"2.184634","7.260049","0.9662285","1.402984"
"P05156_NeuAc 1","9.871819","8.534877","11.22251","13.95521","17.13912","12.20982","13.04205","31.69839","13.63504","13.58409"
"P05156_NeuAc 2","90.12818","91.46512","88.77749","86.04479","82.86088","87.79018","86.95795","68.30161","86.36496","86.41591"
"Q9Y561_NeuAc 1","100",NA,NA,NA,NA,NA,NA,NA,NA,NA
