"disease_status","mean_percentage","sd_percentage","median_percentage","n_samples","protein"
"Healthy",3.5107654977692,5.41285766626131,0,5,"P01031"
"MECFS",0,0,0,5,"P01031"
"Healthy",0,0,0,5,"P04114"
"MECFS",2.0928184426083,4.6796843022374,0,5,"P04114"
"Healthy",8.47266246060494,4.34066782323066,9.13570587678283,5,"P02763"
"MECFS",12.8321966331965,5.90531629520511,9.80110432995604,5,"P02763"
"Healthy",1.71884505966415,0.503762539076811,1.66013987978946,5,"P10909"
"MECFS",2.46765158996949,1.17075134933688,2.86378087987911,5,"P10909"
"Healthy",11.8644425110673,13.7715998609808,5.61711368465898,5,"P10721"
"MECFS",38.9345743674617,25.5623230517006,48.4930126908881,5,"P10721"
"Healthy",89.8223184114853,3.41501284822567,90.7618686852887,5,"P01871"
"MECFS",83.331486656438,4.24970071343793,84.9518516155702,5,"P01871"
"Healthy",0.918571355522463,1.15117936243069,0.847454535413804,5,"P00748"
"MECFS",2.72695405167593,1.64246494168462,2.02907975897936,5,"P00748"
"Healthy",0.156204041524131,0.297498167805701,0,5,"P05156"
"MECFS",1.19856636551382,2.68007586883377,0,5,"P05156"
"Healthy",0.285393012355813,0.638158175931036,0,5,"P01008"
"MECFS",2.25153112520175,5.03457664940771,0,5,"P01008"
"Healthy",2.73023325581461,2.45098508283184,2.86594027570004,5,"P00734"
"MECFS",3.17563921563106,2.12406960725774,3.14956270132948,5,"P00734"
"Healthy",7.52119265561659,6.92259506954651,7.13730398919595,5,"O75882"
"MECFS",15.2156827772101,16.1075931397403,12.1667407837844,5,"O75882"
"Healthy",7.57139584832458,16.9301558014134,0,5,"P12259"
"MECFS",4.58439644394383,5.26599916427737,4.04497344539391,5,"P12259"
"Healthy",0,0,0,5,"P08571"
"MECFS",14.1506168944387,19.3478248515132,6.17255362879883,5,"P08571"
"Healthy",2.65595294719802,1.14266234568624,3.08105475505138,5,"P43652"
"MECFS",3.89580298227771,1.8200605001934,2.7629313221662,5,"P43652"
"Healthy",0,0,0,3,"Q06033"
"MECFS",0,0,0,4,"Q06033"
"Healthy",97.1410412853173,0.798214858414056,97.2116970780677,5,"P0DOX5"
"MECFS",88.265714953974,7.4451739953978,90.4379337977655,5,"P0DOX5"
"Healthy",90.8592883251686,8.80818530005423,96.0781278468664,5,"P01861"
"MECFS",71.0239914726967,15.9989251594631,66.2073710967233,5,"P01861"
"Healthy",33.8921360002279,28.2789690148315,29.1648419967058,5,"P13473"
"MECFS",25.4697067410638,38.8735080406207,5.64626333966966,5,"P13473"
"Healthy",44.2785934716845,35.6096983448838,32.2744140624371,5,"P08185"
"MECFS",25.3848073172104,30.0267599778162,25.3848073172104,2,"P08185"
"Healthy",0,0,0,5,"P20851"
"MECFS",0.588471085079777,1.31586134903144,0,5,"P20851"
"Healthy",21.507286663735,35.1443284653757,10.8429093343721,5,"P01860"
