"","HC13_Healthy","HC14_Healthy","HC20_Healthy","HC22_Healthy","HC25_Healthy","M1_MECFS","M10_MECFS","M11_MECFS","M12_MECFS","M15_MECFS"
"P01031_FALSE",6.65821148275179,6.58106884651495,6.65821148275179,6.65821148275179,6.47094214297615,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179
"P01031_TRUE",NA,2.64587287393943,NA,NA,3.73282106985325,NA,NA,NA,NA,NA
"P04114_FALSE",6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.50041819329016,6.65821148275179
"P04114_TRUE",NA,NA,NA,NA,NA,NA,NA,NA,3.51905021416763,NA
"P02763_FALSE",6.50991746251011,6.61040921507277,6.57753625982492,6.43334312694391,6.52143231765235,6.29933708599526,6.54086009228067,6.5109444497489,6.42682108337125,6.51948171174114
"P02763_TRUE",3.44174924142107,2.10154921886971,2.69886037431538,3.96134705743035,3.34137466020648,4.53872156081987,3.15222661072857,3.43310691930402,3.99700605233775,3.35893459914745
"P10909_FALSE",6.62302575285213,6.64336783468239,6.63141731211897,6.63430081021475,6.63505394450569,6.61671378486161,6.61251067609372,6.64488656896552,6.63508525906191,6.60302480458675
"P10909_TRUE",1.77967250544869,1.02420935704145,1.51525376617889,1.41150210985154,1.38309192915652,1.95001327935084,2.05285830967691,0.947519577090057,1.38189813692433,2.26018844593785
"P10721_FALSE",6.57565853467379,6.65821148275179,6.13182700332221,6.64387547123761,6.30688232436411,5.21440150708308,6.20034085617625,5.71443751548414,6.65821148275179,5.52853864709145
"P10721_TRUE",2.72620206584529,NA,4.99441934069979,0.999035598147024,4.51285764330172,6.01954358033408,4.83116452765507,5.62915295810494,NA,5.80325404392311
"P01871_FALSE",3.35588051051643,3.1017963890116,3.43895067836205,4.09394594227713,3.19280909531217,4.00433494546226,4.26283381198545,3.74520261964422,3.94389303484735,4.60274857455924
