"","HC13_Healthy","HC14_Healthy","HC20_Healthy","HC22_Healthy","HC25_Healthy","M1_MECFS","M10_MECFS","M11_MECFS","M12_MECFS","M15_MECFS"
"P01031_TRUE",6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179
"P04114_TRUE",6.63382128492774,6.65821148275179,6.60065989206865,6.56382438698122,6.65821148275179,6.65821148275179,6.65821148275179,6.62218307818954,6.20774379645223,6.65624395348443
"P04114_FALSE",1.42929626489361,NA,2.30735825052068,2.88680779911321,NA,NA,NA,1.80365602050751,4.81186334151561,0.186055054522737
"P02763_TRUE",6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179
"P10909_TRUE",6.65621853071686,6.64610573207845,6.65679638321056,6.63913464714306,6.6386478356082,6.65669695030745,6.65470409451315,6.63087236390975,6.63861263638881,6.65600622523922
"P10909_FALSE",0.18830722316533,0.882801086573671,0.136217020199299,1.21830842187462,1.23900980156348,0.14531688092386,0.316431389052224,1.53402803474255,1.24049490669424,0.206977526172136
"P10721_TRUE",6.57839782158328,6.62965941797501,6.61625642939892,6.65473620681388,6.65821148275179,6.65821148275179,6.62837940859657,6.62942304210777,6.64118226120041,6.59312929755378
"P10721_FALSE",2.68612742608042,1.57493434933634,1.96158131293033,0.313830763441933,NA,NA,1.61684466851846,1.58276885643935,1.12774615011253,2.44758525378385
"P01871_FALSE",2.94934756391106,2.38609150932592,2.30237951880026,2.74546665843224,2.42167453466416,2.97921305916791,3.0316884294315,2.74504134051899,3.23113734317111,2.99330101217111
"P01871_TRUE",6.55881869241187,6.59652682910615,6.60091335756087,6.57431247787043,6.59457951774622,6.55634420073528,6.55185954775907,6.57434240380448,6.53309484305325,6.55515754458852
"P00748_TRUE",6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179
"P05156_TRUE",6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179
"Q9Y561_TRUE",6.65821148275179,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q9Y561_FALSE",NA,NA,NA,NA,NA,6.65821148275179,NA,6.65821148275179,NA,NA
"P01008_TRUE",6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179
"P00734_TRUE",6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65466972800479,6.64402169482275,6.65821148275179,6.65821148275179,6.65765505265079
"P00734_FALSE",NA,NA,NA,NA,NA,0.319209325169452,0.991700445737197,NA,NA,0.0551220212523295
"O75882_TRUE",6.48004855670648,6.61507746253957,6.31322734747465,6.41629848448196,6.36014697093179,6.37032743136671,6.38101403544629,6.19389734482402,6.38901725870491,6.38315371260306
"O75882_FALSE",3.67054589491427,1.99096396225722,4.49063558507907,4.05242012026421,4.31123966292261,4.2683329454696,4.22153384307102,4.84767762036859,4.18522673051643,4.2119358042032
"P12259_TRUE",6.65821148275179,6.2318563554212,6.59102713895803,6.65821148275179,6.26871541178702,6.65821148275179,6.65821148275179,6.65821148275179,NA,6.63998222073353
"P12259_FALSE",NA,4.74641582982742,2.48429197465081,NA,4.63789901127455,NA,NA,NA,6.65821148275179,1.18152424033749
"P08571_TRUE",6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,5.73071977934267,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179
"P08571_FALSE",NA,NA,NA,NA,NA,5.61167587563705,NA,NA,NA,NA
"Q16610_TRUE",6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,NA,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179
"P43652_TRUE",6.65821148275179,6.65229028033522,6.65821148275179,6.64006552785821,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179
"P43652_FALSE",NA,0.499456846008071,NA,1.17785643558389,NA,NA,NA,NA,NA,NA
"Q06033_TRUE",6.65821148275179,NA,6.06700416393479,6.65821148275179,NA,5.61884503309419,6.29436146867042,6.65821148275179,NA,6.65821148275179
"Q06033_FALSE",NA,NA,5.12752987599074,NA,NA,5.7240867819163,4.55545462029706,NA,NA,NA
"P0DOX5_FALSE",6.55291328244555,6.44250878409633,6.5071985618558,6.55490731549904,6.58765716677868,6.55470696104102,6.56616039339175,6.54224938524123,6.54180745779701,6.5844307489556
"P0DOX5_TRUE",3.01954353647248,3.90940934397297,3.46435338873918,2.99625277479421,2.54114894569057,2.99861149020622,2.85659032113234,3.13759528575996,3.14226708423862,2.59344398133201
"P01861_FALSE",6.56619944112605,6.39452234923324,6.52183216209912,6.5836966194408,6.43677875816712,6.54737016324651,6.57530151637541,6.52208261993073,6.5092258446458,6.54749627313063
"P01861_TRUE",2.85607938045248,4.15959055147519,3.33774563400434,2.60506698328065,3.94213574185236,3.08221972563896,2.731338541787,3.33546728238847,3.44753687938211,3.08082627352757
"P0DP01_FALSE",6.65821148275179,NA,NA,NA,NA,6.65821148275179,6.65821148275179,NA,NA,NA
"P13473_FALSE",6.65821148275179,NA,3.52575066779746,NA,2.86362944513465,3.40371730788662,5.85141040854693,6.57722107616206,6.13084381275839,6.33910673914737
"P13473_TRUE",NA,6.65821148275179,6.49956752556201,6.65821148275179,6.56562092267749,6.51438587442744,5.46804737515049,2.70348862886091,4.99657986083296,4.39518071558107
"P08185_TRUE",6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,NA,NA,NA,6.65821148275179,6.65821148275179
"P20851_TRUE",6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179
"P01860_FALSE",6.48145226434304,6.65821148275179,6.50770797071534,6.65821148275179,6.64632957865467,6.5721421278565,3.89577022066383,6.33778255064604,6.65821148275179,5.74335116579299
"P01860_TRUE",3.66066676625596,NA,3.46014841200335,NA,0.870590167545589,2.77595984588639,6.44485216833618,4.40026424320637,NA,5.5978315591359
"P55058_TRUE",6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.58937293742525,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.21850575134947
"P55058_FALSE",NA,NA,NA,NA,2.51249772284561,NA,NA,NA,NA,4.78315368708766
"P02790_TRUE",6.65821148275179,6.65821148275179,6.65821148275179,6.65423541819086,6.65528054702782,6.65821148275179,6.65821148275179,6.65257352183912,6.65041581617231,6.65821148275179
"P02790_FALSE",NA,NA,NA,0.35385687117126,0.269009520564143,NA,NA,0.47915953932435,0.626940069235094,NA
"P01859_FALSE",6.45427521288757,6.29997806985482,6.57381572544045,6.5658780380765,6.36992987533973,6.56386585570136,6.54417278676249,6.58198436805347,6.53713225918133,6.57816228008364
"P01859_TRUE",3.83935131324176,4.5365475142415,2.7525071428992,2.86027916257265,4.27003841973776,2.8862772824746,3.11706719216186,2.63179504769995,3.19070102023365,2.68962040747097
"P98161_TRUE",6.55666786670284,5.38485070854065,6.53139647596673,4.59907473279226,6.09103444692258,6.41994366679269,6.50978881234951,4.39348018527764,6.56124945372994,6.5777872068966
"P98161_FALSE",2.97534447833292,5.91209439705179,3.2477813022042,6.28103207444562,5.08029299383359,4.03350933489386,3.44282778894884,6.33954839290076,2.91934381657981,2.69516401716164
"P05155_FALSE",1.16111837781374,NA,NA,NA,NA,NA,2.4407846661903,NA,NA,NA
"P05155_TRUE",6.64044296321354,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.59351259193432,6.65821148275179,6.65821148275179,6.65821148275179
"P00736_TRUE",6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179
"Q9BXR6_TRUE",6.65821148275179,NA,NA,NA,6.65821148275179,NA,NA,NA,NA,6.65821148275179
"Q9BXR6_FALSE",NA,NA,NA,NA,NA,6.65821148275179,NA,6.65821148275179,NA,NA
