"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Feature","Significant","Direction"
"P02675_hexnac(4)hex(4)neuac(1)",0.46948249843689,0.596284706486759,5.50075738963288,0.000394472661062169,0.221351313249684,0.355919192088738,"P02675_hexnac(4)hex(4)neuac(1)",FALSE,"Up in MECFS"
"P0DOX5_hexnac(4)hex(4)",1.69409194124456,1.82999040882715,5.03738176701201,0.0007257420106547,0.221351313249684,-0.148275635250315,"P0DOX5_hexnac(4)hex(4)",FALSE,"Up in MECFS"
"P00736_hexnac(4)hex(5)neuac(2)",-1.55756773167221,4.88333913554603,-4.94717161096384,0.00116564431308752,0.237014343661129,-0.554261106098337,"P00736_hexnac(4)hex(5)neuac(2)",FALSE,"Down in MECFS"
"P01023_hexnac(4)hex(5)",-1.11980807581346,1.70235206521115,-4.43111955033769,0.00225973513418901,0.296927726481298,-1.10105256215838,"P01023_hexnac(4)hex(5)",FALSE,"Down in MECFS"
"P01859_hexnac(4)hex(5)fuc(1)",-0.91577324639607,4.46549443104011,-4.17973108833886,0.0024338338236172,0.296927726481298,-1.18426288166017,"P01859_hexnac(4)hex(5)fuc(1)",FALSE,"Down in MECFS"
"P01024_hexnac(3)hex(6)",-0.863414271491642,1.20556662363573,-3.44157600451604,0.00749124962653376,0.435509491928781,-2.17687835776674,"P01024_hexnac(3)hex(6)",FALSE,"Down in MECFS"
"P49238_hexnac(3)hex(6)neuac(1)",-0.465435297222572,0.656630974035055,-4.10513235379481,0.00969675351931215,0.435509491928781,-2.2857231350158,"P49238_hexnac(3)hex(6)neuac(1)",FALSE,"Down in MECFS"
"P01591_hexnac(5)hex(5)neuac(1)",0.432514589696495,3.21590533496014,3.3250401438386,0.00900195026701766,0.435509491928781,-2.34073006141209,"P01591_hexnac(5)hex(5)neuac(1)",FALSE,"Up in MECFS"
"P05090_hexnac(5)hex(6)neuac(2)",-0.958043358387908,3.46869959127355,-3.29317470647496,0.00946811182491729,0.435509491928781,-2.38580941505371,"P05090_hexnac(5)hex(6)neuac(2)",FALSE,"Down in MECFS"
"P01871_hexnac(4)hex(5)neuac(1)fuc(1)",-0.522554402106979,5.061894936511,-3.26897951737805,0.00983881554160496,0.435509491928781,-2.4201123129068,"P01871_hexnac(4)hex(5)neuac(1)fuc(1)",FALSE,"Down in MECFS"
