"sample","disease_status","glycan_composition","psm_count","total_psms","relative_percentage"
"HC13","Healthy","hexnac(4)hex(5)neuac(2)",1211,4107,29.4862429997565
"HC13","Healthy","hexnac(4)hex(5)neuac(1)",528,4107,12.8560993425858
"HC13","Healthy","hexnac(5)hex(6)neuac(3)",246,4107,5.98977355734112
"HC13","Healthy","hexnac(4)hex(5)neuac(2)fuc(1)",240,4107,5.8436815193572
"HC13","Healthy","hexnac(4)hex(5)neuac(1)fuc(1)",218,4107,5.30801071341612
"HC13","Healthy","hexnac(4)hex(4)fuc(1)",203,4107,4.94278061845629
"HC13","Healthy","hexnac(4)hex(3)fuc(1)",139,4107,3.38446554662771
"HC13","Healthy","hexnac(4)hex(5)fuc(1)",131,4107,3.18967616264914
"HC13","Healthy","hexnac(5)hex(6)neuac(2)",121,4107,2.94618943267592
"HC13","Healthy","hexnac(5)hex(5)neuac(1)fuc(1)",103,4107,2.50791331872413
"HC13","Healthy","hexnac(5)hex(6)neuac(1)",75,4107,1.82615047479912
"HC13","Healthy","hexnac(5)hex(4)fuc(1)",72,4107,1.75310445580716
"HC13","Healthy","hexnac(2)hex(6)",63,4107,1.53396639883126
"HC13","Healthy","hexnac(4)hex(5)",56,4107,1.36352568785001
"HC13","Healthy","hexnac(5)hex(3)fuc(1)",55,4107,1.33917701485269
"HC13","Healthy","hexnac(5)hex(5)fuc(1)",54,4107,1.31482834185537
"HC13","Healthy","hexnac(5)hex(6)neuac(2)fuc(1)",47,4107,1.14438763087412
"HC13","Healthy","hexnac(3)hex(4)neuac(1)",46,4107,1.1200389578768
"HC13","Healthy","hexnac(2)hex(8)",40,4107,0.973946919892866
"HC13","Healthy","hexnac(5)hex(5)neuac(1)",39,4107,0.949598246895544
"HC13","Healthy","hexnac(5)hex(5)neuac(2)fuc(1)",38,4107,0.925249573898223
"HC13","Healthy","hexnac(2)hex(7)",36,4107,0.876552227903579
"HC13","Healthy","hexnac(2)hex(5)",35,4107,0.852203554906258
"HC13","Healthy","hexnac(5)hex(4)neuac(1)fuc(1)",34,4107,0.827854881908936
"HC13","Healthy","hexnac(2)hex(9)",29,4107,0.706111516922328
"HC13","Healthy","hexnac(4)hex(4)",29,4107,0.706111516922328
"HC13","Healthy","hexnac(3)hex(5)",28,4107,0.681762843925006
"HC13","Healthy","hexnac(3)hex(4)neuac(1)fuc(1)",20,4107,0.486973459946433
"HC13","Healthy","hexnac(6)hex(7)neuac(2)fuc(1)",20,4107,0.486973459946433
"HC13","Healthy","hexnac(3)hex(6)neuac(1)",19,4107,0.462624786949111
"HC13","Healthy","hexnac(3)hex(5)neuac(1)",18,4107,0.43827611395179
"HC13","Healthy","hexnac(4)hex(3)",17,4107,0.413927440954468
"HC13","Healthy","hexnac(3)hex(6)",16,4107,0.389578767957146
"HC13","Healthy","hexnac(4)hex(6)neuac(1)",16,4107,0.389578767957146
"HC13","Healthy","hexnac(6)hex(7)neuac(1)",16,4107,0.389578767957146
"HC13","Healthy","hexnac(4)hex(4)neuac(1)",15,4107,0.365230094959825
"HC13","Healthy","hexnac(5)hex(5)",13,4107,0.316532748965181
"HC13","Healthy","hexnac(2)hex(10)",8,4107,0.194789383978573
"HC13","Healthy","hexnac(5)hex(4)",6,4107,0.14609203798393
"HC13","Healthy","hexnac(5)hex(4)neuac(1)",4,4107,0.0973946919892866
"HC13","Healthy","hexnac(5)hex(3)",3,4107,0.0730460189919649
"HC14","Healthy","hexnac(4)hex(5)neuac(2)",977,3166,30.8591282375237
"HC14","Healthy","hexnac(4)hex(5)neuac(1)",405,3166,12.792166771952
"HC14","Healthy","hexnac(5)hex(6)neuac(3)",160,3166,5.05369551484523
"HC14","Healthy","hexnac(4)hex(5)neuac(2)fuc(1)",152,3166,4.80101073910297
"HC14","Healthy","hexnac(4)hex(5)neuac(1)fuc(1)",147,3166,4.64308275426406
"HC14","Healthy","hexnac(4)hex(4)fuc(1)",144,3166,4.54832596336071
"HC14","Healthy","hexnac(4)hex(5)fuc(1)",131,3166,4.13771320277953
"HC14","Healthy","hexnac(5)hex(5)neuac(1)fuc(1)",93,3166,2.93746051800379
"HC14","Healthy","hexnac(2)hex(6)",87,3166,2.74794693619709
"HC14","Healthy","hexnac(4)hex(3)fuc(1)",85,3166,2.68477574226153
"HC14","Healthy","hexnac(2)hex(8)",75,3166,2.3689197725837
"HC14","Healthy","hexnac(2)hex(9)",74,3166,2.33733417561592
"HC14","Healthy","hexnac(5)hex(6)neuac(2)",64,3166,2.02147820593809
"HC14","Healthy","hexnac(2)hex(5)",46,3166,1.452937460518
"HC14","Healthy","hexnac(2)hex(7)",46,3166,1.452937460518
"HC14","Healthy","hexnac(4)hex(5)",45,3166,1.42135186355022
"HC14","Healthy","hexnac(5)hex(6)neuac(1)",45,3166,1.42135186355022
"HC14","Healthy","hexnac(5)hex(4)fuc(1)",42,3166,1.32659507264687
"HC14","Healthy","hexnac(3)hex(5)",41,3166,1.29500947567909
"HC14","Healthy","hexnac(3)hex(4)neuac(1)",38,3166,1.20025268477574
"HC14","Healthy","hexnac(5)hex(3)fuc(1)",26,3166,0.82122552116235
"HC14","Healthy","hexnac(5)hex(5)fuc(1)",26,3166,0.82122552116235
"HC14","Healthy","hexnac(3)hex(6)neuac(1)",25,3166,0.789639924194567
"HC14","Healthy","hexnac(5)hex(4)neuac(1)fuc(1)",24,3166,0.758054327226785
"HC14","Healthy","hexnac(3)hex(4)neuac(1)fuc(1)",21,3166,0.663297536323437
"HC14","Healthy","hexnac(4)hex(4)neuac(1)",20,3166,0.631711939355654
"HC14","Healthy","hexnac(3)hex(6)",17,3166,0.536955148452306
"HC14","Healthy","hexnac(5)hex(5)neuac(2)fuc(1)",17,3166,0.536955148452306
"HC14","Healthy","hexnac(5)hex(4)neuac(1)",14,3166,0.442198357548958
"HC14","Healthy","hexnac(5)hex(5)neuac(1)",14,3166,0.442198357548958
"HC14","Healthy","hexnac(4)hex(4)",13,3166,0.410612760581175
"HC14","Healthy","hexnac(4)hex(6)neuac(1)",11,3166,0.34744156664561
"HC14","Healthy","hexnac(2)hex(10)",9,3166,0.284270372710044
"HC14","Healthy","hexnac(3)hex(5)neuac(1)",9,3166,0.284270372710044
"HC14","Healthy","hexnac(5)hex(6)neuac(2)fuc(1)",8,3166,0.252684775742262
"HC14","Healthy","hexnac(5)hex(5)",6,3166,0.189513581806696
"HC14","Healthy","hexnac(6)hex(7)neuac(1)",6,3166,0.189513581806696
"HC14","Healthy","hexnac(6)hex(7)neuac(2)fuc(1)",2,3166,0.0631711939355654
"HC14","Healthy","hexnac(4)hex(3)",1,3166,0.0315855969677827
"HC20","Healthy","hexnac(4)hex(5)neuac(2)",1339,4419,30.3009730708305
"HC20","Healthy","hexnac(4)hex(5)neuac(1)",546,4419,12.3557365919891
"HC20","Healthy","hexnac(4)hex(5)neuac(2)fuc(1)",261,4419,5.90631364562118
"HC20","Healthy","hexnac(5)hex(6)neuac(3)",249,4419,5.63475899524779
"HC20","Healthy","hexnac(4)hex(5)neuac(1)fuc(1)",229,4419,5.18216791129215
"HC20","Healthy","hexnac(4)hex(4)fuc(1)",220,4419,4.97850192351211
"HC20","Healthy","hexnac(4)hex(5)fuc(1)",189,4419,4.27698574338086
"HC20","Healthy","hexnac(4)hex(3)fuc(1)",167,4419,3.77913555102965
"HC20","Healthy","hexnac(5)hex(6)neuac(2)",113,4419,2.5571396243494
"HC20","Healthy","hexnac(5)hex(5)neuac(1)fuc(1)",96,4419,2.1724372029871
"HC20","Healthy","hexnac(5)hex(4)fuc(1)",77,4419,1.74247567322924
"HC20","Healthy","hexnac(5)hex(6)neuac(1)",74,4419,1.67458701063589
"HC20","Healthy","hexnac(4)hex(5)",65,4419,1.47092102285585
"HC20","Healthy","hexnac(2)hex(6)",56,4419,1.26725503507581
"HC20","Healthy","hexnac(5)hex(3)fuc(1)",56,4419,1.26725503507581
"HC20","Healthy","hexnac(5)hex(5)fuc(1)",50,4419,1.13147770988912
"HC20","Healthy","hexnac(5)hex(5)neuac(2)fuc(1)",49,4419,1.10884815569133
"HC20","Healthy","hexnac(5)hex(6)neuac(2)fuc(1)",44,4419,0.995700384702421
"HC20","Healthy","hexnac(4)hex(4)",43,4419,0.973070830504639
"HC20","Healthy","hexnac(2)hex(7)",42,4419,0.950441276306857
"HC20","Healthy","hexnac(3)hex(4)neuac(1)",42,4419,0.950441276306857
"HC20","Healthy","hexnac(2)hex(8)",40,4419,0.905182167911292
"HC20","Healthy","hexnac(3)hex(5)",39,4419,0.88255261371351
"HC20","Healthy","hexnac(2)hex(5)",34,4419,0.769404842724598
