"","HC13_Healthy","HC14_Healthy","HC20_Healthy","HC22_Healthy","HC25_Healthy","M1_MECFS","M10_MECFS","M11_MECFS","M12_MECFS","M15_MECFS"
"P01031_741_hexnac(4)hex(5)neuac(2)",0.0264411857474224,-0.0507014093892875,0.0264411857474224,0.0264411857474224,-0.160828076590092,0.0264411857474224,0.0264411857474224,0.0264411857474224,0.0264411857474224,0.0264411857474224
"P01031_741_hexnac(4)hex(5)neuac(2)fuc(1)",NA,-0.543473808218325,NA,NA,0.543473808218324,NA,NA,NA,NA,NA
"P04114_3224_hexnac(4)hex(5)neuac(1)",-0.254902694836739,NA,NA,1.63246456243314,-0.501736500618561,NA,NA,NA,NA,-0.87582536697784
"P04114_3224_hexnac(5)hex(6)neuac(3)",1.15685416716871,-0.484133601423141,-0.223773515249944,-1.11160803501813,-0.170266217679551,NA,0.832927202202058,NA,NA,NA
"P04114_3224_hexnac(4)hex(5)neuac(2)",NA,0.0630041448170758,-0.0722012693912883,0.0572652840623525,-0.203851735711327,NA,-1.55706122995001,0.587154904866566,0.587154904866566,0.538534996440065
"P04114_3224_hexnac(3)hex(4)neuac(1)",NA,NA,NA,-0.230756104692559,0.230756104692559,NA,NA,NA,NA,NA
"P04114_3224_hexnac(4)hex(3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.20342650381492e-16
"P02763_56_hexnac(4)hex(5)neuac(1)",-0.0394075824663413,-1.01241159786192,-0.243422614906736,0.797771626293206,0.262177224825634,0.189401238543177,-0.195698066681841,NA,NA,0.24158977225482
"P02763_56_hexnac(4)hex(5)neuac(2)",-0.20581720901052,-0.16745018242726,0.246701081563988,-0.00657157565125118,-0.16539856591218,0.248238648836059,-0.164974406893263,-0.101931658703735,0.0782141894718365,0.238989678726327
"P02763_56_hexnac(5)hex(6)neuac(2)",0.554648654517907,-1.18846030853786,-0.0183360390382046,-0.00519852548138176,-0.156078248451471,NA,0.381499654100073,1.1439039388688,NA,-0.711979125977865
"P02763_56_hexnac(5)hex(6)neuac(3)",0.806613974182125,0.942711922406782,-1.28032105974582,0.106418279300036,0.713335398288299,-1.36271802087144,0.715578415009065,0.487275979298614,0.283596557317321,-1.41249144518498
"P02763_56_hexnac(3)hex(4)neuac(1)",NA,NA,NA,-0.447298427580897,0.447298427580896,NA,NA,NA,NA,NA
"P02763_56_hexnac(4)hex(5)neuac(2)fuc(1)",NA,NA,NA,-0.003972069135283,-0.644985229436775,0.519179372215133,-0.195469223609181,NA,NA,0.325247149966106
"P10909_291_hexnac(5)hex(6)neuac(1)",0.183669600005755,-0.802251897223412,-0.434171700546062,0.26171643647298,0.908736382277788,0.475394797358509,0.253463843096799,0.0600995511106996,-0.70679147253538,-0.199865540017678
"P10909_291_hexnac(4)hex(5)neuac(1)",-0.201748830257954,0.164374424768688,-0.928247753755638,0.664179930313283,0.236540231945985,-0.504881955480679,0.0470074693851673,0.417255902772315,0.354380091816091,-0.248859511507261
"P10909_291_hexnac(4)hex(5)neuac(1)fuc(1)",0.246877173899727,0.521657078853883,-0.434972177015493,NA,0.404198672083733,0.153707788684431,0.115564306732028,-0.333887866825438,-0.459647034463585,-0.213497941949286
"P10909_291_hexnac(4)hex(6)neuac(1)",-0.0132814294926578,0.249358208724908,-0.0469808890033012,0.106698894250383,-0.0379123384267109,-0.113053310070127,0.027431197742093,0.0164313790337372,-0.153099464440999,-0.0355922483173248
"P10909_291_hexnac(6)hex(7)neuac(1)",0.23923381762192,-0.186085709422598,-0.205696296706843,0.0684120307700415,0.437796078976526,-0.283395702551236,-0.00527197037983376,0.461378780258466,-0.277616775724313,-0.24875425284213
"P10909_291_hexnac(4)hex(5)",-0.278534762225285,0.390711287948631,-0.301355532395085,-0.199994471198924,NA,-0.246670268991653,-0.0328768466024894,0.145834824406262,0.753448925198604,-0.23056315614006
"P10909_291_hexnac(5)hex(6)neuac(2)",0.224081291409724,-0.444080865212054,-0.38359962617777,0.337218677431383,-0.325639849778905,0.365521562071465,0.245766695989742,0.302965240614935,-0.31033548242326,-0.011897643925261
"P10909_291_hexnac(6)hex(7)neuac(2)fuc(1)",0.0247942347938989,NA,-0.0479995745214319,NA,NA,-0.0323186496887625,0.116004588938151,-0.0479715622821409,0.00417723448512931,-0.0166862717248439
"P10909_291_hexnac(5)hex(6)neuac(2)fuc(1)",0.929458279856681,NA,-0.416922745291334,-0.566431286718566,0.359123772511535,0.558543316201733,-0.505129942638203,-0.13423816414525,-0.00138194323531553,-0.22302128654128
"P10909_291_hexnac(4)hex(5)neuac(2)",-0.0614809370939648,0.128100770174745,0.29809819816951,-0.275369682397952,-0.167258582521008,0.0712393220753411,0.0305530119173683,-0.211134914475725,0.0456170496075562,0.141635764544123
"P10909_291_hexnac(4)hex(5)neuac(2)fuc(1)",-0.296048193106846,-0.41701431691217,-0.0493239896633829,0.333929983327913,-0.449440894871157,0.825726777149055,-0.290198682721094,-0.147459250091941,0.0166020344560562,0.473226532433568
"P10909_291_hexnac(3)hex(4)neuac(1)",0.234249748947561,0.0899631552727296,-0.380273836819927,0.196360717010523,-0.197987223451703,0.38935304814426,-0.129680530434659,-0.29539521011791,0.287501465079513,-0.194091333630387
"P10909_291_hexnac(5)hex(6)neuac(3)",0.94702642493526,-0.869835097536004,-0.404579343259372,0.584552897436767,0.708018054762658,-0.569687774813624,-0.115636295293124,0.561757680560162,-0.639866699350888,-0.201749847441835
"P10909_291_hexnac(2)hex(10)",NA,NA,NA,-0.0839743546891585,-0.711428225854719,NA,NA,0.795402580543877,NA,NA
"P10909_291_hexnac(2)hex(8)",NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"P10909_291_hexnac(3)hex(6)neuac(1)",NA,NA,NA,NA,NA,NA,NA,-0.044209133441323,0.0442091334413228,NA
"P10909_291_hexnac(4)hex(4)neuac(1)",NA,NA,NA,NA,NA,NA,NA,-0.0402419978726652,0.0402419978726652,NA
"P10909_291_hexnac(3)hex(4)neuac(1)fuc(1)",NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"P10909_291_hexnac(5)hex(5)neuac(1)fuc(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"P10721_486_hexnac(5)hex(6)neuac(1)",-1.05253627018671,1.88011341397942,-1.68837064602635,-3.09124807606313,2.3341020365717,-1.85046879420451,0.146561519946031,0.711598528284057,1.24735206223447,1.36289622546502
"P10721_486_hexnac(4)hex(5)neuac(1)",-2.37218279600804,NA,0.627843520381238,NA,NA,-0.151803994853058,0.100363070101481,NA,2.37509004615598,-0.579309845777599
"P10721_486_hexnac(6)hex(7)neuac(1)",-0.405328459579926,NA,NA,NA,NA,0.477864430044798,-0.345568790162705,-0.119369221434735,NA,0.392402041132569
"P10721_486_hexnac(4)hex(5)",0.825005056588881,-0.32514094338199,0.386381728058367,-1.5848854676438,NA,NA,0.493841843205183,0.310850133023752,-0.772328940346787,0.666276590496396
"P10721_486_hexnac(5)hex(6)neuac(2)",2.15834278516255,NA,-1.78172858959554,-2.29582461983436,0.315637647555433,0.881241354574847,NA,1.10802787174391,-0.385696449606843,NA
"P10721_486_hexnac(6)hex(7)neuac(2)fuc(1)",-1.12819098632653,NA,NA,NA,NA,1.35276935515382,NA,-0.51529066580874,NA,0.290712296981446
"P10721_486_hexnac(4)hex(5)neuac(2)",-0.612849467990885,-0.132775914646716,-1.51363136169895,2.59326141049673,NA,NA,NA,0.162025173074242,-0.49602983923443,NA
"P10721_486_hexnac(4)hex(6)neuac(1)",NA,1.17777458639196,-0.508471784107335,NA,NA,NA,NA,NA,-0.212565028502847,-0.45673777378178
"P10721_486_hexnac(5)hex(6)neuac(3)",NA,0.866296930989453,1.35377084112724,-3.51482126716118,0.444444813433595,NA,1.22368866931593,-0.373379987705041,NA,NA
"P10721_486_hexnac(4)hex(5)neuac(1)fuc(1)",NA,NA,-0.573798971319358,NA,NA,1.07060462368438,-0.835561645574999,-1.29022832628407,NA,1.62898431949405
"P10721_486_hexnac(3)hex(4)neuac(1)",NA,NA,3.20342650381492e-16,NA,NA,NA,NA,NA,NA,NA
"P10721_486_hexnac(5)hex(6)neuac(2)fuc(1)",NA,NA,-0.704631774315986,NA,NA,0.644598124975478,-0.577081466103007,NA,NA,0.637115115443515
"P10721_486_hexnac(4)hex(5)neuac(2)fuc(1)",NA,NA,NA,-2.25062769585532,NA,0.499305612897028,0.574924117213222,NA,NA,1.17639796574507
"P10721_486_hexnac(3)hex(6)neuac(1)",NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"P01871_46_hexnac(2)hex(7)",-0.00777468472247578,NA,-0.0070574679358691,NA,NA,0.012567072528696,0.00197327283427321,0.000291807295375791,NA,NA
"P01871_46_hexnac(2)hex(8)",0.0030513137115443,NA,0.00237627285554919,NA,NA,0.000150377421103778,-0.00209107166188149,-0.00348689232631538,NA,NA
"P01871_46_hexnac(2)hex(6)",-0.104658504070728,-0.0208871466999774,-0.214770772087419,-0.24884860716655,-0.241895472438766,0.175944077205315,-0.166056599721806,-0.259144411875903,1.28897440548966,-0.208656968633825
"P01871_46_hexnac(2)hex(5)",0.193893730204781,-0.179949354265577,-0.304681913028755,0.204478287306867,-0.248968058523424,0.143644187000598,0.0129013995425741,-0.298435630860336,0.124935051973968,0.352182300649305
"P01871_46_hexnac(3)hex(4)neuac(1)fuc(1)",-0.200781155172325,-0.0399849675277065,-0.230938822796425,-0.741744123839615,0.400509751745075,-0.0489521464655449,0.462991261071973,0.0083294267160974,0.0954133182975768,0.295157457970896
"P01871_46_hexnac(3)hex(6)",-0.0360481574416169,NA,-0.041126570950189,NA,0.00271283246224886,0.0558735142754738,-0.0123529775084273,-0.0171097404296313,NA,0.0480510995921418
"P01871_46_hexnac(4)hex(5)",0.0533890250741128,-0.325153489218237,-0.151310272726381,-0.0304609026323964,-0.139808055921201,0.0049358608878324,0.157043230549571,0.0707347400842965,-0.0580870744119947,0.418716938314396
"P01871_46_hexnac(3)hex(5)",0.0134482073585986,NA,-0.00537011630732072,NA,NA,0.000937322902079084,-0.00634364378756661,-0.00267177016579044,NA,NA
"P01871_46_hexnac(5)hex(5)neuac(1)",-0.458978503435214,-1.24718887239841,-0.788050548515683,0.547374350518407,-0.869987296121202,0.335100256969804,0.588895828237058,0.639339638024511,0.293148913026765,0.960346233693969
"P01871_46_hexnac(4)hex(5)fuc(1)",-0.0847063295418765,0.12469238222196,-0.126584791683439,0.0393663790482623,-0.201732321132562,0.492250983226913,0.134476221844881,0.0314336798556234,-0.0481412588529306,-0.361054944986831
"P01871_46_hexnac(4)hex(6)neuac(1)",-0.201824355568869,-0.0824411079338505,0.0800683840439089,0.112552396205433,0.0430062725144738,0.035589407747634,-0.0220931862298129,0.0330455196999972,-0.102262239652014,0.104358909173098
"P01871_46_hexnac(5)hex(5)fuc(1)",0.20475472253805,-0.529911125082636,-0.156577694930268,-0.594380962672549,-0.0979874143099993,0.487002394100599,0.498758101635015,0.159508147842899,0.0815374618015333,-0.052703630922646
"P01871_46_hexnac(3)hex(6)neuac(1)",-0.176438075227099,0.0108917519335481,-0.0422310212881709,-0.168710734862332,-0.243530517810468,0.190298220047654,-0.10841366338426,0.00984907445434267,0.260566273792086,0.267718692344698
"P01871_46_hexnac(4)hex(5)neuac(1)fuc(1)",0.234664330530833,0.478250707983515,0.265846548218976,0.130470962234098,0.0601456031191003,-0.11603003982653,-0.357623274972724,-0.248807958261791,-0.010883628261115,-0.436033250764365
"P01871_46_hexnac(3)hex(5)neuac(1)",-0.159502273542035,-0.0270431837303598,0.0887892413389463,-0.049762654656247,-0.367876433512029,0.0958151578852021,0.0586440362978233,0.0501613061375729,0.118952233946454,0.191822569834672
"P01871_46_hexnac(5)hex(5)neuac(1)fuc(1)",-0.0952104379780497,-0.29203035459899,0.00208916148284338,-0.0698830156375433,0.205185895729927,-0.0580642618488756,0.00997364661535366,0.270647721728407,0.0105855165268781,0.0167061279800464
"P01871_46_hexnac(4)hex(4)",-0.0332418590632503,NA,-0.142733775650273,0.0494364705953057,-0.0943109353194611,-0.0138478774349505,0.144061126520766,0.0212759817637311,-0.0580744334117307,0.127435301999861
"P01871_46_hexnac(3)hex(4)neuac(1)",-0.119284055006892,-0.180757420372345,-0.361032192022406,-0.0462751913058197,-0.287466928690038,0.141090496028867,0.135236771010454,0.154370285331133,0.158954132433141,0.405164102593905
"P01871_46_hexnac(4)hex(5)neuac(1)",-0.547810667641587,-0.482010890602323,-0.443683632237123,0.788257817879631,-0.683172306708585,0.178393258787588,0.515480821653197,-0.00544242644190489,-0.358390086960958,1.03837811227207
"P01871_46_hexnac(5)hex(5)",-0.177795277993771,-0.529806636536373,-0.377401796868805,0.202758262883432,-0.592313304536675,0.0277975655199098,0.644714200476993,0.28989377594618,-0.191219778396607,0.703372989505717
"P01871_46_hexnac(5)hex(4)",-0.115620939666434,NA,-0.278039725938189,-0.0204475809352043,-0.308283590768263,0.131409783470986,0.515252177329263,0.0220613190754862,-0.297871994497027,0.351540551929382
"P01871_46_hexnac(4)hex(4)fuc(1)",0.312301490783223,-0.532274147036855,-0.12194965342116,-0.00790295867612287,-0.25575967300162,0.442858374891372,0.346837636245413,-0.129573956185725,-0.0162546528080141,-0.0382824607905115
"P01871_46_hexnac(5)hex(3)",-0.102178493575642,NA,NA,NA,NA,0.18134417322174,-0.072595488388018,NA,NA,-0.00657019125808031
"P01871_46_hexnac(5)hex(4)fuc(1)",0.180319911071201,-0.427219406188872,0.040158120903007,-0.343800442883926,NA,0.31920686237821,0.567016491525567,-0.125103595419299,-0.315093826250757,0.104515884864869
"P01871_46_hexnac(5)hex(3)fuc(1)",-0.00303856760332953,NA,-0.025683629346854,-0.000322533853295648,-0.00572666921790192,-0.0254570988429828,NA,NA,NA,0.0602284988643645
"P01871_46_hexnac(5)hex(6)neuac(1)",-0.120682453197227,-0.125804314944604,-0.0163264952281003,NA,-0.141098390968444,0.0116085688937967,0.0799812232781068,-0.0241806551766668,NA,0.33650251734314
"P01871_46_hexnac(5)hex(4)neuac(1)",-0.143508967851936,-0.174923819410877,NA,0.0924675377618234,-0.130035248826496,0.181762736040151,0.301039600460634,-0.0556762570679505,-0.0410502013784937,-0.0300753797268543
"P01871_46_hexnac(5)hex(4)neuac(1)fuc(1)",0.943822551640579,-0.521057043598995,-0.244899918687561,-0.155509493614566,0.313482564988677,0.445953168505057,-0.0148024773795551,0.0271272064099984,-0.0529523526205752,-0.74116420564306
"P01871_46_hexnac(4)hex(3)fuc(1)",0.0680058912721397,NA,0.0749643408682086,NA,-0.0551607701671164,-0.0848930091670576,-0.0701157066901106,0.0989555241390713,-0.0317562702551344,NA
"P01871_46_hexnac(4)hex(5)neuac(2)",-0.0794476135243177,-0.0544626365951218,0.00928608753471668,0.312736077062828,-0.141152815323994,-0.0412963933757153,-0.0757935236696015,-0.0965273737447957,-0.131497080285719,0.29815527192172
"P01871_46_hexnac(4)hex(5)neuac(2)fuc(1)",-0.224730654828087,0.273291271388591,0.45091479026295,0.205103016662126,0.214872531912948,0.0168870821820563,-0.361251827413137,-0.473809244114015,0.234000929887158,-0.33527789594059
"P01871_46_hexnac(5)hex(5)neuac(2)fuc(1)",-0.147870700021535,-0.0269338707159293,0.381272792183274,-0.232402211999859,0.0530247492214553,0.0517987096170654,-0.416406573916523,0.337517105632053,NA,NA
"P01871_46_hexnac(2)hex(10)",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"P01871_46_hexnac(4)hex(4)neuac(1)",NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"P01871_46_hexnac(5)hex(6)neuac(2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"P00748_249_hexnac(4)hex(5)neuac(1)",-0.32573237914876,0.363147259015603,-0.79724570803245,-0.276411578839272,-0.226238924558083,-0.404541793301896,0.00987949376882584,0.630127574334666,1.00802166580294,0.0189943909584224
"P00748_249_hexnac(4)hex(5)neuac(2)",0.029924740257255,-0.00415598865965589,0.108677936515292,-0.00831141563670932,0.0763809325633546,0.0879515579909239,-0.176756434767048,-0.0432317432021904,-0.125029757292092,0.0545501722308714
"P00748_249_hexnac(4)hex(5)neuac(2)fuc(1)",0.0153790934514332,-0.634126467293264,NA,0.593844234544395,NA,NA,NA,NA,0.0249031392974348,NA
"P00748_249_hexnac(5)hex(6)neuac(2)",NA,NA,NA,NA,NA,NA,1.11502134552733,-1.11502134552733,NA,NA
"P00748_249_hexnac(5)hex(5)neuac(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"P05156_494_hexnac(4)hex(5)neuac(1)",-0.206930238043158,-1.55772882224028,1.52191444152773,-0.442834976399466,0.0122559228350129,-0.185050692532548,0.493203533987277,0.573296240571894,-0.0461748727981558,-0.161950536908312
"P05156_494_hexnac(4)hex(5)neuac(2)",0.0430808224456499,0.115142978747064,-0.269873823108308,0.0613005193395398,0.0229985155809834,0.0412223171431991,-0.0349156575193823,-0.0468642067912993,0.0286821210673875,0.0392264130951712
"Q9Y561_75_hexnac(4)hex(5)neuac(1)",-4.80513975572238e-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q9Y561_75_hexnac(3)hex(6)",NA,NA,NA,NA,NA,-4.80513975572238e-16,NA,NA,NA,NA
"Q9Y561_75_hexnac(3)hex(5)",NA,NA,NA,NA,NA,NA,NA,-4.80513975572238e-16,NA,NA
"P05156_70_hexnac(4)hex(5)neuac(1)",-0.00854975938941049,-2.63783604656628,0.944281751963332,0.539584797062555,-0.361733720742062,0.944281751963332,0.167959252250403,0.764055464056512,-0.352043490598385,NA
"P05156_70_hexnac(4)hex(5)neuac(2)",0.334967224095065,1.17091726145203,NA,-0.735369547430662,0.63059303349414,NA,0.123565669476093,-1.61880441902859,0.0941307779419239,NA
"P05156_70_hexnac(5)hex(6)neuac(2)",NA,-0.756960892385771,NA,NA,NA,NA,NA,NA,0.756960892385772,NA
"P05156_70_hexnac(4)hex(5)neuac(1)fuc(1)",NA,NA,NA,-1.60171325190746e-16,NA,NA,NA,NA,NA,NA
"P05156_70_hexnac(3)hex(4)neuac(1)",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"P01008_224_hexnac(4)hex(5)neuac(1)",-1.85693495630342,-0.296887064929665,1.17696562712679,-0.734506878249801,-0.782767748086817,0.476563640199247,NA,0.747113969039744,-0.356958732607222,1.62741214381114
"P01008_224_hexnac(4)hex(5)neuac(2)",0.26135323512942,0.131380501265481,-0.0731553342981051,0.208896124963098,0.214702968992895,0.0830059880007096,0.288076088249907,0.0333100970036382,0.156636747380453,-1.30420641668749
"P01008_224_hexnac(5)hex(6)neuac(1)",NA,-0.0937387528131189,NA,NA,NA,NA,NA,NA,0.0937387528131187,NA
"P01008_224_hexnac(4)hex(5)neuac(2)fuc(1)",NA,-1.5066379130202,NA,NA,NA,NA,NA,NA,NA,1.5066379130202
"P01008_224_hexnac(5)hex(6)neuac(2)",NA,-1.20385809935621,NA,NA,NA,NA,NA,NA,-1.29165156473867,2.49550966409488
"P01008_224_hexnac(3)hex(4)neuac(1)",NA,0.109003263191884,NA,-0.328967015654727,NA,NA,NA,NA,0.219963752462843,NA
"P01008_224_hexnac(5)hex(6)neuac(3)",NA,0.015738656698289,NA,NA,NA,NA,NA,NA,-0.0157386566982891,NA
"P00734_121_hexnac(4)hex(5)neuac(1)",-0.0843043360660576,0.468656439710267,0.25812352976517,1.32774962245685,0.675327846052712,-0.487725271844397,-0.190982242038083,-0.882922417479988,-0.750361085210491,-0.33356208534598
"P00734_121_hexnac(4)hex(5)neuac(2)",0.0212214662987068,-0.0219085334216755,0.00572749017605317,-0.340580273557349,-0.122425601368103,0.0821160939833957,0.0397930790969807,0.113585561035176,0.119692414271044,0.102778303485767
"P00734_121_hexnac(3)hex(4)neuac(1)",0.0871979191222915,-0.0220246560381599,-0.662302806356144,1.56374324578462,-0.0963949934938521,0.167065016975506,0.695054229926881,-0.616033656516075,-1.11630429940506,NA
"P00734_121_hexnac(4)hex(5)neuac(2)fuc(1)",0.181697841205324,NA,-0.179587068917963,-0.0361758840393576,1.0500035053599,NA,NA,-0.353229109710158,-0.662709283897741,NA
"P00734_121_hexnac(5)hex(6)neuac(3)",NA,0.12173165978351,-0.12173165978351,NA,NA,NA,NA,NA,NA,NA
"P00734_121_hexnac(4)hex(5)neuac(1)fuc(1)",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"P00734_121_hexnac(4)hex(5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"P10909_86_hexnac(4)hex(5)neuac(2)",0.525878122139955,-0.895835106056081,-1.09828556867276,-0.989702973189769,0.378013734667105,1.14280858922568,0.89516336783471,0.0207179587713153,NA,0.0212418752798393
"P10909_86_hexnac(5)hex(6)neuac(3)",-0.511712708945025,0.050804918271297,0.609423940932891,0.753093859781929,NA,-1.50630140169876,-0.319027107790683,0.920579100414657,-0.787692422515963,0.790831821549656
"P10909_86_hexnac(5)hex(6)neuac(2)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
