"","HC13_Healthy","HC14_Healthy","HC20_Healthy","HC22_Healthy","HC25_Healthy","M1_MECFS","M10_MECFS","M11_MECFS","M12_MECFS","M15_MECFS"
"P01031_741_NeuAc 2",6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179,6.65821148275179
"P04114_3224_NeuAc 1",1.54735703564743,NA,NA,3.64189856773137,2.36162773190101,NA,NA,NA,NA,0.926434363506331
"P04114_3224_NeuAc 3",6.6304810467321,4.98949327814026,5.24985336431345,4.36201884454527,5.30336066188385,NA,6.30655408176546,NA,NA,NA
"P04114_3224_NeuAc 2",NA,6.1340607227023,5.99885530849394,6.12832186194758,5.8672048421739,NA,4.51399534793522,6.65821148275179,6.65821148275179,6.60959157432529
"P04114_3224_NeuAc 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.78512741074011
"P02763_56_NeuAc 1",1.3752724686104,0.40226845321482,1.17125743617001,2.23838700648765,2.07474244086671,1.60408128961992,1.2189819843949,NA,NA,1.65626982333156
"P02763_56_NeuAc 2",6.14499343931618,6.11075660645182,6.55107591313831,6.32262402736438,6.1498208779431,6.54489861194775,6.18676339292752,6.28994288450383,6.34648731675653,6.54661993596523
"P02763_56_NeuAc 3",4.88944385113331,5.02554179935796,2.80250881720536,4.18924815625122,4.79616527523948,2.72011185607974,4.79840829196025,4.5701058562498,4.3664264342685,2.6703384317662
"P10909_291_NeuAc 1",4.34904391942134,4.43647702788381,3.50540952774823,4.95166751755123,4.82254712307762,4.22020456499042,4.47735806034923,4.73042801904498,4.54955951680822,4.11360299395221
"P10909_291_NeuAc 0",0.217323293938466,0.886569344112381,0.194502523768666,1.29915203157339,1.36121419074012,0.249187787172097,0.462981209561261,2.22291303724963,1.24930698136235,0.265294900023691
"P10909_291_NeuAc 2",6.19722790037382,6.28393232586467,6.45845533797758,5.98934067985813,6.03207460810118,6.33983147927382,6.24789657109971,6.04071142504838,6.23229792708387,6.34679825509734
"P10909_291_NeuAc 3",3.18307405275017,1.36621253027891,1.83146828455554,2.82060052525168,2.94406568257757,1.66635985300129,2.12041133252179,2.79780530837508,1.59618092846403,2.03429778037308
"P10721_486_NeuAc 1",2.78861138171842,5.43396660444236,4.65190643212384,0.191714113096019,5.61706422573085,4.79424585226859,4.64277376253308,4.48352817676134,6.27135302404992,5.81125291431146
"P10721_486_NeuAc 0",2.72508017881211,1.57493417884124,2.28645685028159,0.315189654579422,NA,NA,2.39391696542841,2.21092525524698,1.12774618187644,2.56635171271962
"P10721_486_NeuAc 2",6.48346739285891,3.85887618322676,3.73349209514234,6.6371553476902,4.4337433257296,6.21438265627422,4.19491677298163,5.87458502069146,4.55892392324907,5.35492425986743
"P10721_486_NeuAc 3",NA,5.43568192744856,5.92315583758634,1.05456372929792,5.0138298098927,NA,5.79307366577503,4.19600500875406,NA,NA
"P01871_46_NeuAc 0",3.18547617215071,2.33847290791951,2.66652756006806,2.84407848013157,2.4472752861539,3.59929636737515,3.62282846869576,3.04961665433452,3.28620531748461,3.31824220976644
"P01871_46_NeuAc 1",6.51253062971966,6.56010336057208,6.52575209156756,6.52712070631565,6.55550497904789,6.45396707560998,6.46754833019582,6.52183125246574,6.49713314395727,6.50111458188782
"P01871_46_NeuAc 2",1.38030666140011,1.84090428367263,2.17352276092397,1.84491145185918,1.80175217091943,1.68386215824373,1.12722715508545,1.50099779769093,1.54328800158241,1.29036306148015
"P00748_249_NeuAc 1",2.6245569154336,3.31343655359796,2.15304358654991,2.67387771574309,2.72405037002428,2.54574750128047,2.96016878835119,3.58041686891703,3.9583109603853,3.00717055907284
"P00748_249_NeuAc 2",6.58245137974502,6.52448200796893,6.60810472212976,6.57921907574375,6.57580771817782,6.58737834360539,6.55792850575407,6.49245809987578,6.43388967898205,6.55397695784534
"P05156_494_NeuAc 1",2.98655947513219,1.63576089093507,4.71540415470308,2.75065473677588,3.20574563601036,3.0084390206428,3.68669324716262,3.76678595374724,3.14731484037719,3.03153917626703
"P05156_494_NeuAc 2",6.55572690394704,6.62778906024846,6.24277225839308,6.57394660084093,6.53564459708238,6.55386839864459,6.47773042398201,6.46578187471009,6.54132820256878,6.55187249459656
"Q9Y561_75_NeuAc 1",6.65821148275179,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q9Y561_75_NeuAc 0",NA,NA,NA,NA,NA,6.65821148275179,NA,6.65821148275179,NA,NA
"P05156_70_NeuAc 1",5.70537997139905,3.07609368422219,6.65821148275179,6.29047140422851,5.3521960100464,6.65821148275179,5.88188898303887,6.47798519484498,5.48380771749291,NA
"P05156_70_NeuAc 2",5.63870031747872,6.54792357524508,NA,4.56836354595299,5.93432612687779,NA,5.42729876285975,3.68492867435507,5.83921008806153,NA
"P01008_224_NeuAc 1",1.51277907635032,3.1937816766726,4.54667965978052,2.67668377063676,2.58694628456692,3.84627767285299,NA,4.11682800169348,3.18466607249991,4.99712617646488
"P01008_224_NeuAc 2",6.63148862963131,6.53126089296316,6.29698006020378,6.57903151946499,6.58483836349478,6.4531413825026,6.65821148275179,6.40344549150553,6.53261619088269,6.13059486062256
"P01008_224_NeuAc 3",NA,0.441133599548005,NA,NA,NA,NA,NA,NA,0.409656286151427,NA
"P00734_121_NeuAc 1",3.45136925551677,3.90574656586239,3.61277120882795,4.95952906777389,4.08024150688718,3.18347762165022,3.55717846589995,2.57886047947544,2.57768380751561,2.93832268224449
