"Annotation Protein Groups Group ID"	"Checked"	"Tags"	"Annotation Accession"	"Annotation Level"	"Annotation Description"	"Annotation Source"	"# Master Proteins"	"# Proteins"	"# Reference Proteins"	"Coverage [%]"
"1"	"False"	""	"Pf07686"	"LeafAnnotation"	"Immunoglobulin V-set domain"	"Pfam"	"20"	"29"	"338"	"9"
"2"	"False"	""	"GO:0002250"	"IntermediateAnnotation"	"adaptive immune response"	"GOAnnotation"	"51"	"61"	"487"	"13"
"3"	"False"	""	"GO:0006955"	"IntermediateAnnotation"	"immune response"	"GOAnnotation"	"74"	"84"	"960"	"9"
"4"	"False"	""	"GO:0002376"	"IntermediateAnnotation"	"immune system process"	"GOAnnotation"	"79"	"89"	"1274"	"7"
"5"	"False"	""	"GO:0050896"	"IntermediateAnnotation"	"response to stimulus"	"GOAnnotation"	"140"	"150"	"3931"	"4"
"6"	"False"	""	"GO:0008150"	"RootAnnotation"	"biological_process"	"GOAnnotation"	"164"	"174"	"6049"	"3"
"7"	"False"	""	"GO:0005615"	"IntermediateAnnotation"	"extracellular space"	"GOAnnotation"	"112"	"118"	"713"	"17"
"8"	"False"	""	"GO:0110165"	"IntermediateAnnotation"	"cellular anatomical structure"	"GOAnnotation"	"167"	"177"	"6235"	"3"
"9"	"False"	""	"GO:0005576"	"IntermediateAnnotation"	"extracellular region"	"GOAnnotation"	"146"	"156"	"1215"	"13"
"10"	"False"	""	"GO:0005575"	"RootAnnotation"	"cellular_component"	"GOAnnotation"	"167"	"177"	"6235"	"3"
"11"	"False"	""	"GO:0005886"	"IntermediateAnnotation"	"plasma membrane"	"GOAnnotation"	"89"	"99"	"5517"	"2"
"12"	"False"	""	"GO:0016020"	"IntermediateAnnotation"	"membrane"	"GOAnnotation"	"100"	"110"	"5773"	"2"
"13"	"False"	""	"GO:0071944"	"IntermediateAnnotation"	"cell periphery"	"GOAnnotation"	"96"	"106"	"5572"	"2"
"14"	"False"	""	"GO:0019814"	"IntermediateAnnotation"	"immunoglobulin complex"	"GOAnnotation"	"30"	"39"	"165"	"24"
"15"	"False"	""	"GO:0032991"	"IntermediateAnnotation"	"protein-containing complex"	"GOAnnotation"	"80"	"89"	"1916"	"5"
"16"	"False"	""	"Pf07654"	"LeafAnnotation"	"Immunoglobulin C1-set domain"	"Pfam"	"15"	"16"	"66"	"24"
"17"	"False"	""	"GO:0003823"	"IntermediateAnnotation"	"antigen binding"	"GOAnnotation"	"24"	"30"	"164"	"18"
"18"	"False"	""	"GO:0005488"	"IntermediateAnnotation"	"binding"	"GOAnnotation"	"130"	"137"	"4158"	"3"
"19"	"False"	""	"GO:0003674"	"RootAnnotation"	"molecular_function"	"GOAnnotation"	"149"	"156"	"5510"	"3"
"20"	"False"	""	"GO:0006958"	"LeafAnnotation"	"complement activation, classical pathway"	"GOAnnotation"	"24"	"25"	"36"	"69"
"21"	"False"	""	"GO:0006956"	"IntermediateAnnotation"	"complement activation"	"GOAnnotation"	"32"	"33"	"51"	"65"
"22"	"False"	""	"GO:0002455"	"IntermediateAnnotation"	"humoral immune response mediated by circulating immunoglobulin"	"GOAnnotation"	"24"	"25"	"41"	"61"
"23"	"False"	""	"GO:0002252"	"IntermediateAnnotation"	"immune effector process"	"GOAnnotation"	"44"	"49"	"329"	"15"
"24"	"False"	""	"GO:0002253"	"IntermediateAnnotation"	"activation of immune response"	"GOAnnotation"	"37"	"38"	"269"	"14"
"25"	"False"	""	"GO:0006959"	"IntermediateAnnotation"	"humoral immune response"	"GOAnnotation"	"39"	"40"	"117"	"34"
"26"	"False"	""	"GO:0016064"	"IntermediateAnnotation"	"immunoglobulin mediated immune response"	"GOAnnotation"	"33"	"38"	"140"	"27"
"27"	"False"	""	"GO:0050778"	"IntermediateAnnotation"	"positive regulation of immune response"	"GOAnnotation"	"41"	"42"	"422"	"10"
"28"	"False"	""	"GO:0019724"	"IntermediateAnnotation"	"B cell mediated immunity"	"GOAnnotation"	"33"	"38"	"145"	"26"
"29"	"False"	""	"GO:0002684"	"IntermediateAnnotation"	"positive regulation of immune system process"	"GOAnnotation"	"45"	"46"	"616"	"7"
"30"	"False"	""	"GO:0048584"	"IntermediateAnnotation"	"positive regulation of response to stimulus"	"GOAnnotation"	"62"	"63"	"1170"	"5"
"31"	"False"	""	"GO:0050776"	"IntermediateAnnotation"	"regulation of immune response"	"GOAnnotation"	"50"	"51"	"593"	"9"
"32"	"False"	""	"GO:0002449"	"IntermediateAnnotation"	"lymphocyte mediated immunity"	"GOAnnotation"	"33"	"38"	"194"	"20"
"33"	"False"	""	"GO:0002460"	"IntermediateAnnotation"	"adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains"	"GOAnnotation"	"33"	"38"	"197"	"19"
"34"	"False"	""	"GO:0002682"	"IntermediateAnnotation"	"regulation of immune system process"	"GOAnnotation"	"61"	"62"	"879"	"7"
"35"	"False"	""	"GO:0048518"	"IntermediateAnnotation"	"positive regulation of biological process"	"GOAnnotation"	"89"	"90"	"2449"	"4"
"36"	"False"	""	"GO:0048583"	"IntermediateAnnotation"	"regulation of response to stimulus"	"GOAnnotation"	"83"	"84"	"1855"	"5"
"37"	"False"	""	"GO:0002443"	"IntermediateAnnotation"	"leukocyte mediated immunity"	"GOAnnotation"	"35"	"40"	"234"	"17"
"38"	"False"	""	"GO:0050789"	"IntermediateAnnotation"	"regulation of biological process"	"GOAnnotation"	"120"	"121"	"4566"	"3"
"39"	"False"	""	"GO:0065007"	"IntermediateAnnotation"	"biological regulation"	"GOAnnotation"	"128"	"129"	"4751"	"3"
"40"	"False"	""	"GO:0019731"	"IntermediateAnnotation"	"antibacterial humoral response"	"GOAnnotation"	"11"	"11"	"32"	"34"
"41"	"False"	""	"GO:0019730"	"IntermediateAnnotation"	"antimicrobial humoral response"	"GOAnnotation"	"13"	"13"	"50"	"26"
"42"	"False"	""	"GO:0042742"	"IntermediateAnnotation"	"defense response to bacterium"	"GOAnnotation"	"15"	"15"	"146"	"10"
"43"	"False"	""	"GO:0140546"	"IntermediateAnnotation"	"defense response to symbiont"	"GOAnnotation"	"46"	"47"	"415"	"11"
"44"	"False"	""	"GO:0009617"	"IntermediateAnnotation"	"response to bacterium"	"GOAnnotation"	"25"	"26"	"327"	"8"
"45"	"False"	""	"GO:0098542"	"IntermediateAnnotation"	"defense response to other organism"	"GOAnnotation"	"47"	"48"	"470"	"10"
"46"	"False"	""	"GO:0051707"	"IntermediateAnnotation"	"response to other organism"	"GOAnnotation"	"51"	"52"	"622"	"8"
"47"	"False"	""	"GO:0006952"	"IntermediateAnnotation"	"defense response"	"GOAnnotation"	"65"	"66"	"739"	"9"
"48"	"False"	""	"GO:0043207"	"IntermediateAnnotation"	"response to external biotic stimulus"	"GOAnnotation"	"51"	"52"	"623"	"8"
"49"	"False"	""	"GO:0044419"	"IntermediateAnnotation"	"biological process involved in interspecies interaction between organisms"	"GOAnnotation"	"55"	"56"	"734"	"8"
"50"	"False"	""	"GO:0006950"	"IntermediateAnnotation"	"response to stress"	"GOAnnotation"	"92"	"93"	"1334"	"7"
"51"	"False"	""	"GO:0009605"	"IntermediateAnnotation"	"response to external stimulus"	"GOAnnotation"	"56"	"57"	"947"	"6"
"52"	"False"	""	"GO:0009607"	"IntermediateAnnotation"	"response to biotic stimulus"	"GOAnnotation"	"51"	"52"	"640"	"8"
"53"	"False"	""	"GO:0034987"	"IntermediateAnnotation"	"immunoglobulin receptor binding"	"GOAnnotation"	"5"	"5"	"16"	"31"
"54"	"False"	""	"GO:0005102"	"IntermediateAnnotation"	"signaling receptor binding"	"GOAnnotation"	"37"	"37"	"866"	"4"
"55"	"False"	""	"GO:0005515"	"IntermediateAnnotation"	"protein binding"	"GOAnnotation"	"80"	"81"	"2811"	"3"
"56"	"False"	""	"GO:0042571"	"IntermediateAnnotation"	"immunoglobulin complex, circulating"	"GOAnnotation"	"8"	"8"	"12"	"67"
"57"	"False"	""	"GO:0050853"	"IntermediateAnnotation"	"B cell receptor signaling pathway"	"GOAnnotation"	"8"	"8"	"46"	"17"
"58"	"False"	""	"GO:0050851"	"IntermediateAnnotation"	"antigen receptor-mediated signaling pathway"	"GOAnnotation"	"8"	"8"	"123"	"7"
"59"	"False"	""	"GO:0002429"	"IntermediateAnnotation"	"immune response-activating cell surface receptor signaling pathway"	"GOAnnotation"	"11"	"11"	"193"	"6"
"60"	"False"	""	"GO:0002757"	"IntermediateAnnotation"	"immune response-activating signaling pathway"	"GOAnnotation"	"11"	"11"	"231"	"5"
"61"	"False"	""	"GO:0002768"	"IntermediateAnnotation"	"immune response-regulating cell surface receptor signaling pathway"	"GOAnnotation"	"12"	"12"	"226"	"5"
"62"	"False"	""	"GO:0002764"	"IntermediateAnnotation"	"immune response-regulating signaling pathway"	"GOAnnotation"	"13"	"13"	"292"	"4"
"63"	"False"	""	"GO:0007166"	"IntermediateAnnotation"	"cell surface receptor signaling pathway"	"GOAnnotation"	"20"	"20"	"1291"	"2"
"64"	"False"	""	"GO:0007165"	"IntermediateAnnotation"	"signal transduction"	"GOAnnotation"	"41"	"41"	"2793"	"1"
"65"	"False"	""	"GO:0009987"	"IntermediateAnnotation"	"cellular process"	"GOAnnotation"	"125"	"125"	"5636"	"2"
"66"	"False"	""	"GO:0050794"	"IntermediateAnnotation"	"regulation of cellular process"	"GOAnnotation"	"94"	"95"	"4344"	"2"
"67"	"False"	""	"GO:0007154"	"IntermediateAnnotation"	"cell communication"	"GOAnnotation"	"43"	"43"	"3044"	"1"
"68"	"False"	""	"GO:0023052"	"IntermediateAnnotation"	"signaling"	"GOAnnotation"	"43"	"43"	"3016"	"1"
"69"	"False"	""	"GO:0051716"	"IntermediateAnnotation"	"cellular response to stimulus"	"GOAnnotation"	"55"	"55"	"3202"	"2"
"70"	"False"	""	"GO:0071735"	"IntermediateAnnotation"	"IgG immunoglobulin complex"	"GOAnnotation"	"8"	"8"	"12"	"67"
"71"	"False"	""	"Pf00394"	"LeafAnnotation"	"Multicopper oxidase"	"Pfam"	"1"	"1"	"1"	"100"
"72"	"False"	""	"Pf07731"	"LeafAnnotation"	"Multicopper oxidase"	"Pfam"	"1"	"1"	"4"	"25"
"73"	"False"	""	"Pf07732"	"LeafAnnotation"	"Multicopper oxidase"	"Pfam"	"2"	"2"	"5"	"40"
"74"	"False"	""	"GO:0004322"	"LeafAnnotation"	"ferroxidase activity"	"GOAnnotation"	"1"	"1"	"3"	"33"
"75"	"False"	""	"GO:0016724"	"IntermediateAnnotation"	"oxidoreductase activity, acting on metal ions, oxygen as acceptor"	"GOAnnotation"	"1"	"1"	"3"	"33"
