"","HC13_Healthy","HC14_Healthy","HC20_Healthy","HC22_Healthy","HC25_Healthy","M1_MECFS","M10_MECFS","M11_MECFS","M12_MECFS","M15_MECFS"
"P01031_741_TRUE","100","100","100","100","100","100","100","100","100","100"
"P04114_3224_TRUE","100","100","100","100","100",NA,"100","100","100","97.55351"
"P04114_3224_FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.446489"
"P02763_56_TRUE","100","100","100","100","100","100","100","100","100","100"
"P10909_291_TRUE","99.83743","99.15123","99.85567","98.53916","98.43099","99.81146","99.62161","96.33165","98.62273","99.79812"
"P10909_291_FALSE","0.1625746","0.8487746","0.1443295","1.460842","1.569013","0.1885378","0.3783872","3.668351","1.377272","0.2018817"
"P10721_486_TRUE","94.38803","98.02078","96.12144","99.75582","100","100","95.74418","96.37028","98.81483","95.0769"
"P10721_486_FALSE","5.61197","1.979219","3.878565","0.2441752",NA,NA,"4.255824","3.629721","1.185171","4.923097"
"P01871_46_FALSE","8.097538","4.05767","5.348992","6.180471","4.453851","11.11982","11.31913","7.279919","8.755429","8.974484"
"P01871_46_TRUE","91.90246","95.94233","94.65101","93.81953","95.54615","88.88018","88.68087","92.72008","91.24457","91.02552"
"P00748_249_TRUE","100","100","100","100","100","100","100","100","100","100"
"P05156_494_TRUE","100","100","100","100","100","100","100","100","100","100"
"Q9Y561_75_TRUE","100",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q9Y561_75_FALSE",NA,NA,NA,NA,NA,"100",NA,"100",NA,NA
"P05156_70_TRUE","100","100","100","100","100","100","100","100","100",NA
"P01008_224_TRUE","100","100","100","100","100","100","100","100","100","100"
"P00734_121_TRUE","100","100","100","100","100","100","100","100","100","99.92055"
"P00734_121_FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.07944514"
"P10909_86_TRUE","100","100","100","100","100","100","100","100","100","100"
"P10721_352_TRUE","100",NA,"100","100","100","100","100","100",NA,"100"
"O75882_1082_TRUE","100","100","100","100","100","100","100","100","100","100"
"P12259_382_TRUE","100",NA,NA,NA,"61.30292","100","100","100",NA,NA
"P12259_382_FALSE",NA,"100","100",NA,"38.69708",NA,NA,NA,"100","100"
"P08571_151_TRUE","100","100","100","100","100","52.10294","100","100","100","100"
"P08571_151_FALSE",NA,NA,NA,NA,NA,"47.89706",NA,NA,NA,NA
